,0
3,2199770.1428571427
4,2113650.285714286
5,2005426.4285714286
6,1844596.857142857
7,1755674.2857142857
8,1667554.2857142857
9,1537700.2857142857
10,1450556.2857142857
11,1306461.4285714286
12,1237770.857142857
13,1169240.0
14,1092595.7142857143
15,1046113.2857142857
16,1024438.0
17,999752.1428571428
18,1012085.2857142857
19,1086694.2857142857
20,1166293.7142857143
21,1309549.7142857143
22,1489442.7142857143
23,1634356.4285714286
24,1823701.5714285714
25,2018304.7142857143
26,2215918.4285714286
27,2382717.4285714286
28,2506380.4285714286
29,2609404.4285714286
30,2671623.1428571427
31,2697068.4285714286
32,2709939.1428571427
33,2741615.4285714286
34,2759300.8571428573
35,2760857.285714286
36,2749829.8571428573
37,2711284.8571428573
38,2673430.4285714286
39,2626612.5714285714
40,2602032.1428571427
41,2563029.5714285714
42,2537906.8571428573
43,2520235.4285714286
44,2513224.5714285714
45,2483311.8571428573
46,2500363.8571428573
47,2523447.4285714286
48,2484730.5714285714
49,2416717.5714285714
50,2365296.1428571427
51,2279321.285714286
52,2198372.5714285714
53,2108488.285714286
54,2143977.1428571427
