,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
0,57332.465923146825,72529.32556334764,62050.596987911624,56992.089903515545,57778.45242718447,83714.89747128052,2114.802221724007,61748.114715798285,53615.91592314682,72522.66592314682,50188.089903515545,34551.77378640778,84326.44747128051,86472.70087435312,59164.21471579829,18506.122114107857,73807.77556334763,82034.67556334763,38085.339903515545,32238.32211410787
1,56420.253389189376,66552.03835728689,55786.13235722184,54723.47469736736,53828.17427184468,78508.7920372207,-3513.9123979998403,61517.97530980231,52359.45338918937,72906.45338918938,46080.774697367364,32243.841747572813,79101.44203722072,80951.4174170872,56819.97530980231,17609.943552765602,65931.03835728689,74371.2383572869,34176.47469736736,30294.54355276561
2,59653.93608627661,65890.28767942532,54360.29793864823,55301.89324552199,51012.15388349515,77403.34574240337,-3016.506268852725,63735.972007680175,55599.88608627662,76730.08608627663,45772.24324552198,32837.36262135924,78241.69574240336,78873.87820238355,58772.02200768018,19771.680246114964,65355.687679425326,73326.08767942531,34171.693245521994,32450.880246114975
3,60196.3160644899,62652.735180138785,52381.473259537124,51979.36272583225,46919.85922330098,73928.64671903671,-4905.526868691813,60210.508457514625,56150.36606448989,77061.86606448989,42120.312725832264,32860.251941747585,74822.34671903671,74547.5835165101,55650.20845751464,15362.511084236168,62717.53518013879,70920.13518013878,31067.862725832252,28878.71108423618
4,60347.150161200305,57960.21886747972,51022.668631157925,46867.57285481736,45515.70291262136,69423.34547146854,-4116.850526886963,56897.364481714234,56195.900161200305,75311.9001612003,37557.97285481735,30559.716504854383,69651.49547146853,69787.87146623348,53322.56448171423,12091.500680030847,59377.71886747972,67827.36886747972,27751.572854817357,27262.800680030836
5,62849.496214695595,55616.5446252135,51668.38055253088,41743.88947271738,45768.51893203884,67195.67110139673,-2994.629105017513,54937.54928162152,58756.2962146956,75255.9962146956,33579.08947271738,31634.708737864094,66779.87110139673,66395.38699300218,53151.499281621516,10027.100294043994,58676.9946252135,67879.9446252135,25244.189472717386,27930.800294044006
6,68180.96889765182,53811.317440511266,54871.44056698115,39689.91325912515,47239.78252427185,67008.80522821401,1860.321329643033,56457.460544617075,64469.81889765183,77026.16889765182,32633.46325912515,37637.78300970874,66237.95522821402,68568.65196596865,57872.26054461708,11019.768156445418,60115.817440511266,69525.31744051127,27133.563259125156,33755.118156445424
7,73283.11447141774,54258.098501082015,60083.279699414925,38263.06516526334,50222.43009708739,67189.04386006457,5354.439519819738,59117.64904577365,70498.06447141773,77077.96447141774,33100.66516526333,44509.43786407767,65755.34386006457,68738.45424886992,65567.94904577364,13929.821887605212,65241.698501082006,75417.99850108201,31683.16516526333,43177.57188760521
8,76145.76879039974,54605.41499335503,62354.78071762415,33309.57202091722,52282.91310679613,67315.93334762094,5326.99784657445,61088.75924291828,73200.06879039975,75199.41879039974,30276.122020917224,51176.38883495147,65571.73334762093,65728.15051566437,72122.30924291827,12573.732247825421,70021.06499335502,80660.41499335502,31310.22202091723,47515.782247825424
9,73646.06556411256,51909.64122570152,61449.59641890545,26479.582785129336,53073.64954416756,64564.24143491261,11830.897504762717,59451.63283818457,70296.71556411256,69300.41556411257,26381.032785129333,56541.72877285805,62270.5914349126,59664.681485968904,73156.83283818456,9777.306873804555,69968.59122570152,81243.79122570151,27475.882785129324,48016.056873804555
10,58279.78770428252,40899.0342702101,47294.317904556134,9895.816214607505,45553.41902350898,55565.704613428934,12889.508912640682,48059.40167473866,55163.98770428252,52960.78770428252,11545.516214607502,54911.458053925635,52791.454613428934,39144.07730991651,61463.55167473867,2844.095129411333,58423.3842702101,70581.48427021009,12099.016214607502,40112.195129411324
11,38097.06769295658,31590.854881524727,25025.65694869554,-4303.716855917504,32571.222212438428,44994.0654425539,7407.411147519844,33763.244475257736,35228.31769295658,32865.81769295658,-2520.3668559174985,51024.83410848889,41875.5654425539,15539.406363915085,45219.34447525773,-10605.54531652588,46754.054881524724,60510.554881524724,-1941.2168559175043,23619.654683474117
12,27887.31120897975,25394.2803173821,5171.283175190838,-14015.773841133196,24027.38326438283,38492.05498798756,576.8035329439299,25824.22875499582,25400.611208979753,21928.411208979756,-12093.373841133201,47320.94572215855,34845.70498798757,3665.940382156332,35741.32875499581,-20889.4999632267,38641.830317382104,53236.68031738211,-10543.573841133199,11150.050036773304
13,19409.46441845494,23721.897488659495,-2694.899340309843,-11259.78697942174,19829.2160953263,38467.37601334934,-3059.41760590185,26998.817914549218,17140.11441845495,14457.664418454951,-9653.28697942174,42802.45124338646,34999.22601334933,2341.1473161895556,34446.767914549215,-26116.41651873068,34058.84748865949,48795.44748865948,-8577.336979421743,1773.2334812693298
14,14311.904264085257,20306.789987430922,-2876.4022460269916,-10851.94624770926,18825.956294359217,39368.79827530797,-541.3424204918119,29516.59589837896,12527.20426408526,7887.254264085248,-8835.046247709251,45132.682446844854,35723.79827530797,3650.569219233177,37237.245898378955,-35680.8241946605,30450.689987430917,45297.98998743092,-6211.996247709249,-7807.374194660486
15,19501.180761285417,26016.862168261825,7368.308571158355,-4209.095361597283,26270.76068378664,43948.22776516973,7118.60959199231,39992.07193733218,18390.13076128543,12545.98076128542,-1681.895361597286,50827.80096973516,40362.627765169724,16425.9196485618,47700.57193733218,-27396.774357937058,35680.16216826183,50913.56216826182,1635.0546384027257,-7.974357937055174
16,27671.401038148746,40359.798765162144,24894.31560772482,2120.7775283796364,42865.50446343853,57082.67423322551,25971.94481566611,56959.59442203981,27197.551038148755,21231.901038148746,3538.2775283796364,60424.79155210762,53475.47423322551,39265.1078304067,64257.6944220398,-15066.093690773137,49275.19876516214,64700.298765162144,8086.427528379645,11481.656309226863
17,38326.29670271915,53736.98968200187,52633.426904061176,7760.776830383649,58393.97574447575,68899.35686109168,41394.68129251148,69096.69957463768,38253.396702719154,33389.34670271915,7290.976830383646,72871.42966440713,65625.60686109168,58034.067876823916,75399.84957463769,-2637.3787501564657,61780.28968200187,78238.13968200187,12624.826830383652,23903.621249843534
18,36178.29055747267,59598.45435307053,66861.54270755671,14641.937852207877,65638.53786407768,75700.90655631386,46377.769460715695,76086.1419152552,35684.19055747266,34870.14055747266,11207.537852207883,79228.96941747575,72967.15655631386,63526.92517019559,81864.1419152552,6055.8861211134645,67140.90435307052,85033.80435307052,15455.98785220788,33640.43612111347
