,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
0,83945.1743748091,87213.79140378229,66509.35194174758,81007.54644193136,55416.50479415209,67635.60737924368,75441.30737924369,41406.968112266586,93450.16169321723,35243.36175892458,79502.46068602067,55506.95479415209,88974.32905430063,71649.51068602067,75423.83893586784,45117.41387220943,45266.618112266595,65181.5243748091,80982.1914037823,81054.68893586783
1,79713.7500603908,81298.01876427548,61139.688349514574,76791.5090127917,52693.83925466171,63976.550425522706,70825.10042552269,38035.5128543808,87536.85679122442,31115.03153958959,74522.21741537389,52691.13925466171,84422.40490478648,65778.26741537388,69113.61664531041,39132.482747631235,40221.16285438081,60828.6000603908,75244.61876427547,75966.21664531041
2,80142.67450137738,79884.64051763427,59103.6218446602,76613.82075406397,53313.841231575396,63649.23984746373,70519.38984746374,38404.523579220055,86295.05296879576,30366.880841301594,73342.49166641023,53289.54123157539,83716.40124759902,64798.34166641025,68221.96236715493,39018.62091561331,39537.17357922006,61072.57450137738,74194.39051763427,75331.06236715493
3,78758.1614517869,77582.17539032332,55630.85485436894,73196.17808142978,49509.761101241544,59954.70301709439,67722.60301709438,36615.734372024875,83657.2365943463,27916.26393824652,69528.05561995655,49035.91110124154,80332.80191838817,61571.15561995654,65538.60575324678,36537.9080827645,37818.58437202488,59164.2614517869,71782.57539032331,71898.45575324679
4,77204.68437172662,75909.90636076851,53764.38106796117,69819.79220591867,46419.54138660342,54739.90586452608,64481.50586452609,35374.17286078784,81372.70280896327,25114.589211746825,63982.537676846274,44507.941386603416,76383.07122133957,57522.787676846274,62952.07783147678,35521.31986146256,37566.57286078783,57400.184371726624,69547.3563607685,66848.17783147677
5,78582.53347768344,76633.82551946696,53847.03300970874,68739.87276281726,44286.44339412053,50880.216171746506,62903.3161717465,35551.343853980194,81959.51494635771,23828.911456607457,59938.07151227283,42141.29339412052,74187.5023712029,56048.72151227282,63114.40718950446,36826.646137700925,39744.4438539802,57795.23347768343,69619.22551946696,64079.65718950446
6,82687.65542515798,81723.73321944258,55707.97524271846,70696.56237682537,44826.64842172899,49519.91908436787,64878.86908436787,38183.77964940111,85249.76707140432,23915.464502058414,59353.695492737126,41967.34842172899,74158.9518344488,58889.29549273713,66546.61398716814,42230.97812575954,46563.22964940111,60099.45542515799,72681.43321944258,62973.16398716815
7,88746.67353952418,92272.1757317441,58579.85873786409,73848.86211231173,46446.688582614144,48833.242349729364,68009.99234972936,42416.96098296977,91308.16914481515,24264.857239065677,59420.167255726854,43149.98858261415,74286.27635324757,63034.117255726866,72715.94761937739,48814.42447127604,57115.760982969776,62258.32353952419,77084.6757317441,62913.5976193774
8,93115.57001903676,98662.15558904222,61382.555339805825,77090.92553992888,45982.051940028476,46641.98172965509,69258.5317296551,45536.39715733102,96731.76104625029,24890.447054155404,60408.642219057125,42362.70194002847,74455.5689066157,67164.04221905713,77683.8316355299,53446.02066210842,65285.54715733103,64089.22001903676,80096.95558904222,63002.5816355299
9,93881.69735148353,98856.41088117297,63145.88799539993,79187.72530514603,44613.8778395938,43224.08070365045,68498.78070365044,45109.48242976931,98931.50743180118,23863.679470909403,61109.34553226597,40939.1778395938,73162.8143081221,69212.04553226597,79352.56556421664,58150.88007250652,68217.43242976931,64025.09735148352,80955.41088117295,61307.11556421665
10,90253.57213602914,94857.11175945462,63435.46752051437,78416.85795710361,43389.9591851899,38859.40513546784,64867.15513546784,43442.190127349066,98624.3833282868,21631.572821858048,60157.1174840623,40251.2091851899,71631.03439878093,68020.8674840623,77926.44178244911,60395.11983548831,66296.34012734906,61555.272136029154,78469.46175945463,58983.24178244911
11,84968.18313762733,87481.52506491874,60329.21955525025,74650.97725521556,40892.494736839595,35899.57511936558,60638.32511936558,45051.362339874075,96816.86901134916,18816.757848103167,58978.72040754732,37324.44473683959,69621.07817174945,65435.77040754732,75678.31184765174,58880.952356868394,66421.86233987407,56542.58313762734,72352.07506491874,57630.16184765175
12,82674.65257812844,81355.10117666035,59008.13143839621,72647.48130989248,39727.75310956745,34709.18338245758,57930.53338245757,45962.39248289091,96225.15521135654,18942.28291889806,57574.283866166865,35540.05310956745,69271.77333445461,63124.133866166856,74803.55225432536,56900.88010880251,66112.49248289091,54567.652578128436,66966.80117666034,57221.15225432536
