2019-2022;2020;2021;Mean
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,3;0;0,1
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0,3;0,1
0;0;0,3;0,1
0;0;0,2;0,066666667
0;0;0,6;0,2
0;0;0,8;0,266666667
0;0;0,1;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0,1;0;0;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
0,2;0;0;0,066666667
0,7;0;0;0,233333333
0,6;0;0;0,2
0,5;0;0;0,166666667
0;0;0;0
0,4;0;0;0,133333333
0;0;0;0
0,1;0;0;0,033333333
0;0;1,2;0,4
0;0;1,9;0,633333333
0;0;3;1
0;0;0,5;0,166666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1,5;0;0,5
0;1,4;0;0,466666667
0;1,3;0;0,433333333
0;3,1;0;1,033333333
0;1,7;0;0,566666667
0;1,4;0;0,466666667
1,6;2,2;0;1,266666667
0;2,4;0;0,8
0,4;0;0;0,133333333
0;0;0;0
0,1;0,2;0;0,1
0,7;2,7;0;1,133333333
0,7;1,2;0;0,633333333
0,8;0;0;0,266666667
0,3;0,4;0,2;0,3
0,5;1;0;0,5
0;1,4;0;0,466666667
0,8;2,1;0;0,966666667
0,6;2,8;0;1,133333333
0;0,9;0;0,3
0;0;0;0
0;0,5;0,1;0,2
0,2;2;0,5;0,9
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
