2019-2022;2020;2021;Mean;Mean;BEL
3,2;13;12,5;9,566666667;10,13333333;9,849999999
3,4;11,1;12,2;8,9;9,333333333;9,116666667
5,6;6,6;12,1;8,1;8,7;8,4
8,5;9,1;12,7;10,1;10,73333333;10,41666667
11;8,3;12,9;10,73333333;11,4;11,06666667
11,4;9;12,5;10,96666667;11,66666667;11,31666667
11,2;8,4;12,7;10,76666667;11,23333333;11
11,3;4,5;13,1;9,633333333;9,9;9,766666667
10,3;3,3;14,9;9,5;10,33333333;9,916666665
15,3;7,6;13,8;12,23333333;12,83333333;12,53333333
12,7;9,1;11,4;11,06666667;11,93333333;11,5
12,8;8;8,9;9,9;10,4;10,15
13,6;7,3;11,5;10,8;11,3;11,05
12,5;4,2;13,3;10;10,3;10,15
13,5;5,3;14,3;11,03333333;11,36666667;11,2
12,1;8,4;14,6;11,7;11,93333333;11,81666667
9,6;6,4;10,7;8,9;9,2;9,05
11,3;10,3;10,7;10,76666667;10,93333333;10,85
12;10,5;8,3;10,26666667;11,06666667;10,66666667
11,2;13,3;6,3;10,26666667;10,53333333;10,4
11,5;14,6;7,4;11,16666667;12,1;11,63333334
9,9;13;11,1;11,33333333;12,03333333;11,68333333
10,4;11,5;12,3;11,4;11,93333333;11,66666667
12,1;13,6;13,6;13,1;13,43333333;13,26666667
14,2;13,9;12,8;13,63333333;14;13,81666667
12,7;9,7;11,1;11,16666667;11,63333333;11,4
9;6,6;11,4;9;9,533333333;9,266666667
10,2;9,8;6,9;8,966666667;9,366666667;9,166666667
6,4;9,8;5,7;7,3;7,9;7,6
9,4;7;13,2;9,866666667;10,26666667;10,06666667
9,4;3,8;15;9,4;9,833333333;9,616666667
8,5;4,2;12,3;8,333333333;8,7;8,516666667
6,5;5,2;7,8;6,5;6,733333333;6,616666667
8;5,2;6;6,4;6,7;6,55
8,8;8,9;8;8,566666667;8,9;8,733333334
9,8;9,5;7,8;9,033333333;9,5;9,266666667
8,1;10,9;10,5;9,833333333;9,966666667;9,9
9,4;12,6;18,1;13,36666667;12,96666667;13,16666667
6,3;7,3;21;11,53333333;11,63333333;11,58333333
6;5,1;21;10,7;11,23333333;10,96666667
8,6;6,9;19,4;11,63333333;12,83333333;12,23333333
11,3;9;20;13,43333333;14;13,71666667
13,3;9,7;20,3;14,43333333;14,8;14,61666667
8,7;8,8;19,9;12,46666667;12,56666667;12,51666667
5,9;7,2;16,8;9,966666667;10,13333333;10,05
8,1;4,7;11,2;8;8,4;8,2
4,2;2,6;6,9;4,566666667;4,766666667;4,666666667
5,2;7,2;5,5;5,966666667;6,333333333;6,15
6,2;7,9;6,6;6,9;7,466666667;7,183333334
9,2;8,9;8,1;8,733333333;9,033333333;8,883333333
7;7,1;3;5,7;5,733333333;5,716666667
8,7;8,7;4,2;7,2;7,2;7,2
7,9;6,8;2,8;5,833333333;6,266666667;6,05
7,7;5;1,9;4,866666667;5,1;4,983333334
9,1;6,9;1,4;5,8;6,1;5,95
10,5;8,1;3,9;7,5;7,7;7,6
13,1;12;7,4;10,83333333;10,86666667;10,85
12,1;12,5;12,3;12,3;12,23333333;12,26666667
12,4;10,8;9,5;10,9;10,9;10,9
11,1;6,3;10,1;9,166666667;9;9,083333334
9,5;8,2;9,1;8,933333333;8,433333333;8,683333333
10,8;9,3;7,2;9,1;8,066666667;8,583333334
10,8;10,3;10,6;10,56666667;10,36666667;10,46666667
11,8;8,9;11,8;10,83333333;11,46666667;11,15
12,9;9,5;12,9;11,76666667;12,56666667;12,16666667
13,6;9,3;12,8;11,9;12,73333333;12,31666667
12,6;8,2;10,2;10,33333333;10,5;10,41666667
10,1;6,7;9,7;8,833333333;8,433333333;8,633333333
8,6;7,4;8,5;8,166666667;7,466666667;7,816666667
6,4;4,8;5,4;5,533333333;5,3;5,416666667
4;3,2;8,1;5,1;5,233333333;5,166666667
3,9;5,8;8,1;5,933333333;6,233333333;6,083333333
5,9;7,4;8,8;7,366666667;8;7,683333334
8,4;8,3;8,6;8,433333333;8,4;8,416666667
7,4;5,6;9,5;7,5;7,433333333;7,466666667
7,1;6;9,2;7,433333333;7,933333333;7,683333333
7,9;6;10;7,966666667;8,6;8,283333334
5,9;3,9;10,2;6,666666667;7,6;7,133333334
11;5,8;10,4;9,066666667;9,766666667;9,416666667
8,1;8,4;8,8;8,433333333;8;8,216666667
5,7;9,3;8,7;7,9;7,666666667;7,783333334
5,9;9,8;7,2;7,633333333;7,5;7,566666667
5,2;10,5;5,7;7,133333333;7,166666667;7,15
4,6;10,5;5,6;6,9;7,433333333;7,166666667
4,1;9,8;5,8;6,566666667;7,5;7,033333334
5,5;8,4;7,6;7,166666667;8,3;7,733333334
5,3;6,9;5;5,733333333;6,4;6,066666667
5,5;6,8;2,7;5;5,266666667;5,133333334
6,6;9,6;4,6;6,933333333;6,733333333;6,833333333
11;10,9;3,6;8,5;8,433333333;8,466666667
13,7;9,9;3,2;8,933333333;9,433333333;9,183333333
12,4;10,3;9,1;10,6;11,33333333;10,96666667
12;9;7,9;9,633333333;10,4;10,01666667
10;7,2;9,1;8,766666667;9,5;9,133333334
4,6;7,1;11,1;7,6;7,366666667;7,483333334
5,5;5,1;13,5;8,033333333;8,066666667;8,05
5;3;12,2;6,733333333;6,666666667;6,7
9,1;3,3;9,4;7,266666667;7,733333333;7,5
9,1;2;7;6,033333333;6,333333333;6,183333333
8,3;1,3;8,7;6,1;6,466666667;6,283333334
6,1;2,4;10,4;6,3;6,333333333;6,316666667
3,4;2,6;11,1;5,7;6;5,85
2,5;2,9;10,1;5,166666667;5,4;5,283333334
