2019-2022;2020;2021;Mean;Mean;BEL
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0,1;0;0,033333333;0,1;0,066666667
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0,1;0,033333333;0,1;0,066666667
0;0;0,2;0,066666667;0,1;0,083333334
0;0;0,1;0,033333333;0,066666667;0,05
0;0;0,3;0,1;0,2;0,15
0;0;0,6;0,2;0,266666667;0,233333334
0;0;0,2;0,066666667;0,033333333;0,05
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0,1;0;0;0,033333333;0;0,016666667
0,1;0;0;0,033333333;0,033333333;0,033333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0,1;0;0,033333333;0,033333333;0,033333333
0;0;0;0;0;0
0,4;0;0;0,133333333;0,066666667;0,1
0,8;0;0;0,266666667;0,233333333;0,25
0,6;0;0;0,2;0,2;0,2
0,4;0;0;0,133333333;0,166666667;0,15
0,1;0;0;0,033333333;0;0,016666667
0,5;0;0;0,166666667;0,133333333;0,15
0;0;0;0;0;0
0,2;0;0;0,066666667;0,033333333;0,05
0;0;0,8;0,266666667;0,4;0,333333334
0;0;2,2;0,733333333;0,633333333;0,683333333
0;0;2,7;0,9;1;0,95
0;0;0,8;0,266666667;0,166666667;0,216666667
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;1,8;0;0,6;0,5;0,55
0;1,3;0;0,433333333;0,466666667;0,45
0;1,2;0;0,4;0,433333333;0,416666667
0;2,8;0;0,933333333;1,033333333;0,983333333
0;1,6;0;0,533333333;0,566666667;0,55
0,2;1,3;0;0,5;0,466666667;0,483333334
1,4;1,8;0;1,066666667;1,266666667;1,166666667
0;2,3;0;0,766666667;0,8;0,783333334
0,6;0;0;0,2;0,133333333;0,166666667
0,1;0;0;0,033333333;0;0,016666667
0,3;0,2;0;0,166666667;0,1;0,133333334
0,8;2,1;0;0,966666667;1,133333333;1,05
0,9;1,2;0;0,7;0,633333333;0,666666667
1,1;0;0;0,366666667;0,266666667;0,316666667
0,3;0;0,2;0,166666667;0,3;0,233333334
0,7;0,8;0;0,5;0,5;0,5
0,1;1,1;0;0,4;0,466666667;0,433333334
0,9;1,7;0;0,866666667;0,966666667;0,916666667
0,7;2,2;0;0,966666667;1,133333333;1,05
0;0,6;0;0,2;0,3;0,25
0;0;0;0;0;0
0;0,3;0,1;0,133333333;0,2;0,166666667
0,4;1,8;0,6;0,933333333;0,9;0,916666667
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0;0
0,6;0;0;0,2;0,133333333;0,166666667
0,4;0;0;0,133333333;0,033333333;0,083333333
0,2;0;0;0,066666667;0,033333333;0,05
0,3;0;0;0,1;0,166666667;0,133333334
1,3;0;0;0,433333333;0,466666667;0,45
1,2;0,3;0;0,5;0,666666667;0,583333334
1;1,5;0,4;0,966666667;1,133333333;1,05
3;2,1;3,7;2,933333333;3,233333333;3,083333333
3,7;3;1,5;2,733333333;2,933333333;2,833333333
3;1,1;0,2;1,433333333;1,533333333;1,483333333
1,2;0;0;0,4;0,333333333;0,366666667
0,8;0;0;0,266666667;0,366666667;0,316666667
2,2;0;0;0,733333333;0,666666667;0,7
4,9;0;0;1,633333333;1,533333333;1,583333333
4,2;0;0;1,4;1,266666667;1,333333334
4,9;0,1;0;1,666666667;1,433333333;1,55
5,8;1,2;0;2,333333333;2,033333333;2,183333333
3,9;2,6;0;2,166666667;1,866666667;2,016666667
0,8;2,7;0;1,166666667;1,133333333;1,15
1,2;3,5;0;1,566666667;1,5;1,533333334
2,8;5,1;0;2,633333333;2,566666667;2,6
1,5;3,9;0;1,8;1,7;1,75
0;0,8;0;0,266666667;0,3;0,283333334
0,4;0,3;0;0,233333333;0,2;0,216666667
1,1;2,4;0;1,166666667;1,1;1,133333334
0,7;3,5;0;1,4;1,3;1,35
0;2,8;0,4;1,066666667;1,166666667;1,116666667
0;2;1,2;1,066666667;1,233333333;1,15
0;2,7;1,8;1,5;1,833333333;1,666666667
0,6;3,7;3;2,433333333;2,8;2,616666667
0,2;2,7;4;2,3;2,566666667;2,433333334
1,4;4,4;5,2;3,666666667;4,133333333;3,9
5;5,4;4,5;4,966666667;5,4;5,183333334
7,3;2,8;2,9;4,333333333;4,8;4,566666667
2,3;0;0,1;0,8;1;0,9
3,6;0;1,8;1,8;2,066666667;1,933333334
0,5;0,1;2,5;1,033333333;1,433333333;1,233333333
0,3;0,8;3,8;1,633333333;1,966666667;1,8
0,8;0;3,8;1,533333333;1,9;1,716666667
0,1;0;4,5;1,533333333;1,8;1,666666667
0,7;0,1;4,5;1,766666667;2,133333333;1,95
1,2;1,2;1,9;1,433333333;2;1,716666667
0,7;2,6;2,6;1,966666667;2,633333333;2,3
0,2;4,4;5,6;3,4;3,733333333;3,566666667
0,4;3,8;4,3;2,833333333;3,433333333;3,133333333
3;4,9;7,2;5,033333333;5,3;5,166666667
1,3;4,1;8,7;4,7;4,866666667;4,783333334
1,7;2,5;8;4,066666667;4,8;4,433333334
4,3;2,5;3,5;3,433333333;3,9;3,666666667
5,3;2,6;4,4;4,1;4,633333333;4,366666667
4,1;2,4;0,7;2,4;2,666666667;2,533333334
1,8;3,4;0;1,733333333;1,866666667;1,8
1,2;3;0,1;1,433333333;1,7;1,566666667
2,8;5,6;0,9;3,1;3,466666667;3,283333334
6,1;8;0,8;4,966666667;5,366666667;5,166666667
9;8,4;2,8;6,733333333;7;6,866666667
10,2;8,5;3,9;7,533333333;7,966666667;7,75
4,7;5,5;3,5;4,566666667;5,066666667;4,816666667
3,4;2,8;2,9;3,033333333;3,466666667;3,25
4;1,4;0;1,8;1,966666667;1,883333334
8,2;1,5;0,2;3,3;3,433333333;3,366666667
7,1;2,5;2,9;4,166666667;4,4;4,283333334
2,9;2,1;2,3;2,433333333;2,933333333;2,683333333
2,6;2,3;1,9;2,266666667;2,733333333;2,5
1,7;2,2;1,7;1,866666667;1,966666667;1,916666667
2,4;3,3;2,1;2,6;3,033333333;2,816666667
4;0,8;2,7;2,5;2,933333333;2,716666667
3,8;2;2,5;2,766666667;2,933333333;2,85
1,2;0,6;2,2;1,333333333;1,7;1,516666667
0,8;3,3;1,8;1,966666667;2,2;2,083333334
1,4;1,5;2,2;1,7;2;1,85
3;1,3;3,3;2,533333333;2,6;2,566666667
4,2;1,8;1,7;2,566666667;3,2;2,883333334
