2019-2022;2020;2021;Mean
3,3;13,6;13,5;10,13333333
3,5;11,5;13;9,333333333
5,9;7,2;13;8,7
8,6;10,1;13,5;10,73333333
11,6;9,1;13,5;11,4
11,8;10;13,2;11,66666667
11,5;8,7;13,5;11,23333333
11,5;4,8;13,4;9,9
11,1;3,8;16,1;10,33333333
15,4;8;15,1;12,83333333
13,6;10,1;12,1;11,93333333
12,9;8,5;9,8;10,4
13,4;7,8;12,7;11,3
12,1;5;13,8;10,3
13;5,8;15,3;11,36666667
12,2;8;15,6;11,93333333
9,4;6,9;11,3;9,2
10,4;11,2;11,2;10,93333333
11,9;12;9,3;11,06666667
11,7;13;6,9;10,53333333
12,3;16,2;7,8;12,1
10,4;14,4;11,3;12,03333333
10,6;12,8;12,4;11,93333333
12,1;14,1;14,1;13,43333333
14,6;14;13,4;14
13;9,5;12,4;11,63333333
9,4;7,3;11,9;9,533333333
10,8;10,3;7;9,366666667
6,9;10,5;6,3;7,9
10,3;7,5;13;10,26666667
10,3;4,2;15;9,833333333
8,8;4,8;12,5;8,7
6,7;5,7;7,8;6,733333333
8,2;5,8;6,1;6,7
8,8;9,9;8;8,9
10,1;10,5;7,9;9,5
8;11,2;10,7;9,966666667
10;11,4;17,5;12,96666667
6,6;7,5;20,8;11,63333333
6,2;5,7;21,8;11,23333333
9,6;7,5;21,4;12,83333333
11,6;9,8;20,6;14
12,8;10,6;21;14,8
9,1;9,1;19,5;12,56666667
6,3;8;16,1;10,13333333
8,1;5,6;11,5;8,4
4,2;3;7,1;4,766666667
5,4;7,6;6;6,333333333
6,3;8,8;7,3;7,466666667
9,3;9,6;8,2;9,033333333
6,4;7,6;3,2;5,733333333
9;9,3;3,3;7,2
8,2;7,6;3;6,266666667
8;5,4;1,9;5,1
9;7,3;2;6,1
10,9;8,3;3,9;7,7
12,3;12,1;8,2;10,86666667
11,1;13,4;12,2;12,23333333
10,8;11,4;10,5;10,9
9,6;6,8;10,6;9
9,2;8,7;7,4;8,433333333
9,4;9,5;5,3;8,066666667
9,4;11,1;10,6;10,36666667
12,1;9,7;12,6;11,46666667
14,1;9,4;14,2;12,56666667
13,9;10;14,3;12,73333333
