2019-2022;2020;2021;Mean
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0,1;0,033333333
0;0;0;0
0;0;0,3;0,1
0;0;0,5;0,166666667
0;0;0,6;0,2
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,1;0;0,033333333
0;0;0;0
0;0,2;0;0,066666667
0;0;0;0
0;0;0;0
0,2;0;0;0,066666667
0,6;0;0;0,2
0;0;0;0
0,2;0;0;0,066666667
0;0;0,1;0,033333333
0;0;0;0
0,2;0;0;0,066666667
0;0;0,5;0,166666667
0;0;1,6;0,533333333
0;0;2,3;0,766666667
0;0;0,2;0,066666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1,5;0;0,5
0;1,2;0;0,4
0;1,9;0;0,633333333
0;0,4;0;0,133333333
0;0;1;0,333333333
0,1;0;0;0,033333333
1,5;2,2;0;1,233333333
0,2;0;0;0,066666667
0;0;0;0
0;0;0;0
0;0,5;0;0,166666667
0;0,2;0;0,066666667
0;0,3;0;0,1
0;0;0,4;0,133333333
0;0;0,2;0,066666667
0;0,3;0;0,1
0,3;0,7;0;0,333333333
0,2;1,8;0;0,666666667
0;1,9;0;0,633333333
0,1;0;0;0,033333333
0,2;0,4;0;0,2
0,3;2,3;0,4;1
0,7;2,9;0,1;1,233333333
1;0,2;0;0,4
0;0,5;0;0,166666667
1;0,2;0;0,4
