2019-2022;2020;2021;Mean;Mean;Mean;DE
3,7;13,8;14,2;10,56666667;10,56666667;13,4;11,51111111
6,2;15,7;15,7;12,53333333;10,73333333;15,26666667;12,84444444
7;11,1;15,4;11,16666667;8,866666667;12,16666667;10,73333334
9,5;11,3;14,8;11,86666667;11;11,23333333;11,36666667
12,4;14,4;14,1;13,63333333;11,83333333;14,23333333;13,23333333
14,7;11,2;13,6;13,16666667;12,26666667;16,13333333;13,85555556
15,3;13,7;14,5;14,5;11,63333333;16,43333333;14,18888889
14,4;9,4;14,8;12,86666667;10,83333333;15,56666667;13,08888889
14,3;7,3;14,4;12;9,833333333;14,2;12,01111111
13,1;6,3;14,9;11,43333333;12,33333333;15,93333333;13,23333333
18,2;11,2;15,3;14,9;13,66666667;17,23333333;15,26666667
15,2;12,4;14,1;13,9;11,56666667;18;14,48888889
11,5;10,8;14;12,1;11,76666667;15,93333333;13,26666667
10,3;9;14,3;11,2;11,16666667;15,83333333;12,73333333
14,4;5,5;15,7;11,86666667;11,06666667;17,23333333;13,38888889
13,9;8,9;17,1;13,3;11,93333333;15,26666667;13,5
11,4;11,8;17,7;13,63333333;10,36666667;15;13
13,9;11;17,4;14,1;10,46666667;13,56666667;12,71111111
12,2;12,1;13,2;12,5;11,33333333;15,06666667;12,96666667
14,3;13,9;9,7;12,63333333;11,23333333;14,73333333;12,86666666
15,4;14,4;7,2;12,33333333;12,4;16,36666667;13,7
12,7;11,9;8,7;11,1;12,76666667;14,66666667;12,84444445
10,4;12,6;14,1;12,36666667;12,3;15,3;13,32222222
10,5;15,8;14,9;13,73333333;14,66666667;16,16666667;14,85555556
11,7;15,2;14,4;13,76666667;14,36666667;16,9;15,01111111
12,7;16,1;14,9;14,56666667;12,63333333;15,3;14,16666667
11,5;10,5;14,3;12,1;10,1;14,43333333;12,21111111
10,8;9,8;13,9;11,5;9,8;12,2;11,16666667
9,9;11,2;17,1;12,73333333;8,333333333;11;10,68888889
9,8;10,1;16,8;12,23333333;10,3;10,66666667;11,06666667
12,8;6,1;21;13,3;9,866666667;11,4;11,52222222
12,3;4,8;19,9;12,33333333;8,866666667;11,16666667;10,78888889
10,7;8,3;14,7;11,23333333;7,1;8,333333333;8,888888888
11,8;8,4;10,8;10,33333333;6,466666667;8,7;8,499999999
9,2;10,3;14,3;11,26666667;9,166666667;10,1;10,17777778
11,1;12,4;15,7;13,06666667;9,833333333;11,86666667;11,58888889
10;11,2;17,4;12,86666667;10,66666667;12,53333333;12,02222222
11,7;9,9;21,3;14,3;12,93333333;14,53333333;13,92222222
9,6;11,1;24,6;15,1;11,83333333;13,36666667;13,43333333
6,9;6,4;24,1;12,46666667;11,46666667;13,23333333;12,38888889
8,3;8,1;23,3;13,23333333;13,26666667;11,83333333;12,77777778
12,2;10,9;20,1;14,4;14,33333333;16,3;15,01111111
15,4;11,4;20,4;15,73333333;15,06666667;17,8;16,2
12,6;12,2;22,9;15,9;13,46666667;16,76666667;15,37777778
8,8;11,9;21,8;14,16666667;10,6;16,06666667;13,61111111
8,9;10,6;21,6;13,7;9,133333333;14,9;12,57777778
8;3,9;14,3;8,733333333;4,433333333;10,4;7,855555555
6,9;5,8;11,5;8,066666667;6,4;6,866666667;7,111111111
9;8,8;9,3;9,033333333;7,766666667;9,466666667;8,755555556
9,8;10,3;9,7;9,933333333;9,266666667;10,3;9,833333333
9,9;10,8;10,1;10,26666667;5,966666667;9,833333333;8,68888889
9,6;9,6;7,3;8,833333333;7,4;10,66666667;8,966666668
10;7,2;10;9,066666667;6,7;9,666666667;8,477777778
9,5;8,9;6,7;8,366666667;5,033333333;8,266666667;7,222222222
10,1;10,4;4,4;8,3;6,233333333;9,933333333;8,155555555
11,4;7,8;5,5;8,233333333;7,466666667;9,8;8,5
11,5;13,3;8,2;11;11;11,23333333;11,07777778
15,8;12,4;10,7;12,96666667;12,1;13,46666667;12,84444445
14,4;12,1;13,7;13,4;10,83333333;13,93333333;12,72222222
14,4;9;11,6;11,66666667;9,633333333;12,06666667;11,12222222
14,3;9;13,3;12,2;9,133333333;12,1;11,14444444
16,4;10;10,4;12,26666667;9,2;12,73333333;11,4
14,2;11,1;12,2;12,5;10,93333333;11,96666667;11,8
15,4;12,1;13,6;13,7;11,73333333;14,1;13,17777778
14,9;10,9;14,9;13,56666667;13,3;14,83333333;13,9
12,3;9,9;12,5;11,56666667;13,2;13,53333333;12,76666667
12,6;11,5;13,5;12,53333333;11,26666667;14,1;12,63333333
11,6;10,8;15;12,46666667;9,133333333;13,56666667;11,72222222
12,3;8,9;14;11,73333333;8,033333333;12,06666667;10,61111111
13;9,8;9,4;10,73333333;5,866666667;10,46666667;9,022222222
11,1;5,8;8,5;8,466666667;5,566666667;8,4;7,477777778
9,9;5,9;9,6;8,466666667;6,266666667;7,433333333;7,388888889
8,7;9,5;10,5;9,566666667;8,5;9,9;9,322222222
7,7;12,5;10,9;10,36666667;9,166666667;11,36666667;10,3
8,7;10,3;11;10;7,966666667;10,5;9,488888889
8,3;7,1;13,5;9,633333333;8,133333333;10,9;9,555555555
7;7;13,7;9,233333333;8,666666667;10,6;9,5
9,5;5,1;14,5;9,7;8,233333333;10,8;9,577777778
9,5;5,4;14,6;9,833333333;8,566666667;11,06666667;9,822222223
8,9;8,1;10,3;9,1;7,4;10,66666667;9,055555557
7,7;11,7;10,9;10,1;8,3;11,23333333;9,877777777
6,7;14,2;9,6;10,16666667;8,6;12,3;10,35555556
7,6;14,8;7,8;10,06666667;8,3;11,9;10,08888889
7;13,9;7,3;9,4;8,166666667;10,86666667;9,477777779
7,1;12,4;5,3;8,266666667;7,133333333;9,766666667;8,388888889
7,6;10,3;9,1;9;7,9;9,633333333;8,844444444
5,6;6,2;8,3;6,7;5,9;7,5;6,7
7,5;7,2;3;5,9;5,066666667;7;5,988888889
10,7;11,5;3,3;8,5;7,466666667;7,1;7,688888889
12,1;15,2;3,7;10,33333333;8,966666667;9,733333333;9,677777777
11,6;13,8;4,4;9,933333333;9,233333333;11,03333333;10,06666667
13,2;12,4;9;11,53333333;11,86666667;12,4;11,93333333
13,3;9,5;9,5;10,76666667;10,46666667;12,86666667;11,36666667
12,3;8,1;11;10,46666667;9,6;12,1;10,72222222
8,7;8,2;11,8;9,566666667;8,666666667;9,233333333;9,155555556
5,1;6,9;14,1;8,7;8,133333333;8,833333333;8,555555555
5,5;4,2;12,4;7,366666667;7,133333333;8,466666667;7,655555556
8,8;3,5;11,2;7,833333333;7,7;8,766666667;8,1
10,5;4;8;7,5;6,533333333;8,233333333;7,422222222
11;3,9;8,4;7,766666667;6,433333333;7,366666667;7,188888889
9,3;5,7;4,7;6,566666667;6,666666667;6,833333333;6,688888889
6,9;6,1;10,5;7,833333333;6,5;7,933333333;7,422222222
3,6;5;11,5;6,7;5,233333333;7,9;6,611111111
3,3;7;11;7,1;6,933333333;7,1;7,044444444
7,2;9,3;11,4;9,3;8,7;9,2;9,066666667
8,4;6,9;8,7;8;7,733333333;10,9;8,877777778
7,3;4,8;7,2;6,433333333;5,466666667;9,533333333;7,144444444
6,5;4,7;7,9;6,366666667;4,833333333;8,1;6,433333333
6,6;5,2;6,8;6,2;4,866666667;6,666666667;5,911111111
6,2;6,4;4,6;5,733333333;4,3;6,433333333;5,488888889
6,3;6;4,7;5,666666667;4,066666667;6,3;5,344444445
6;4,9;8;6,3;4,9;5,533333333;5,577777778
4,9;4,1;7,1;5,366666667;4,3;5,9;5,188888889
4,4;3,3;8,1;5,266666667;4,566666667;5,966666667;5,266666667
6,9;3,5;9,1;6,5;5,8;5,9;6,066666667
5,1;4,4;10,7;6,733333333;6,6;5,866666667;6,4
3,1;3,8;9,1;5,333333333;5,4;6,233333333;5,655555555
4,3;4;5,8;4,7;4,4;5,166666667;4,755555556
4;1,9;4,6;3,5;4,266666667;4,666666667;4,144444445
3,3;3,8;7,2;4,766666667;5,033333333;5,133333333;4,977777778
3,4;2,4;6,2;4;5,366666667;5,566666667;4,977777778
2,8;2,6;7,4;4,266666667;5,4;6,166666667;5,277777778
3,1;5,8;8,1;5,666666667;5,333333333;5,866666667;5,622222222
3,1;5,3;5,7;4,7;4,533333333;4,633333333;4,622222222
1,6;6,6;6,5;4,9;5,066666667;4,566666667;4,844444445
2,8;8;8,4;6,4;5,6;5,4;5,8
2;4,2;10,2;5,466666667;5,6;5,9;5,655555556
1,3;4,8;6,9;4,333333333;3,8;5,166666667;4,433333333
3,1;3,1;1,6;2,6;2,166666667;3,5;2,755555556
1,7;2,5;0,2;1,466666667;0,933333333;1,866666667;1,422222222
0;1,4;0,1;0,5;1,266666667;1,066666667;0,944444445
0,1;7,4;1,4;2,966666667;3,433333333;3,1;3,166666667
1,8;8,9;3,7;4,8;4,8;5,066666667;4,888888889
1,6;6,1;4,6;4,1;4,366666667;5,033333333;4,5
2,5;5,8;3,1;3,8;4,066666667;4,333333333;4,066666667
1,6;5,7;2,9;3,4;3,533333333;4,4;3,777777778
0,4;3,6;3;2,333333333;3,333333333;3,966666667;3,211111111
1,1;2,8;4,2;2,7;2,666666667;3,7;3,022222222
0,4;2;3,4;1,933333333;2,2;3,7;2,611111111
0;1,5;2,8;1,433333333;1,766666667;2,766666667;1,988888889
0,4;1,7;2;1,366666667;1,366666667;1,9;1,544444445
1,8;2,6;2,8;2,4;2,633333333;2,666666667;2,566666667
1,7;1,7;3,6;2,333333333;1,366666667;2,4;2,033333333
0,1;1,4;2,5;1,333333333;1,7;2,466666667;1,833333333
1,7;3,3;2,5;2,5;3,266666667;3,1;2,955555556
0,5;3,4;3,3;2,4;2,133333333;2,9;2,477777778
1,3;2,4;4;2,566666667;2,7;3,7;2,988888889
4;2,3;3,8;3,366666667;2,9;3,733333333;3,333333333
