2019-2022;2020;2021;Mean;Mean;Mean;DE
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0,2;0;0,066666667
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0,033333333;0;0,011111111
0;0;0;0;0,133333333;0,033333333;0,055555555
0;0;0;0;0,1;0;0,033333333
0;0;0;0;0,333333333;0,1;0,144444444
0;0;0,2;0,066666667;0,366666667;0,166666667;0,2
0;0;0,4;0,133333333;0,233333333;0,2;0,188888889
0;0;0,1;0,033333333;0;0;0,011111111
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0,033333333;0;0,011111111
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0,1;0;0,033333333;0,033333333;0;0,022222222
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0,1;0;0,033333333;0;0,033333333;0,022222222
0;0;0;0;0;0;0
0;0,2;0;0,066666667;0,066666667;0,066666667;0,066666667
0;0,4;0;0,133333333;0;0;0,044444444
0;0,5;0;0,166666667;0,166666667;0;0,111111111
0;0;0;0;0,1;0,066666667;0,055555556
0,4;0;0;0,133333333;0,133333333;0,2;0,155555555
0,7;0;0;0,233333333;0,1;0;0,111111111
0,4;0;0,1;0,166666667;0,1;0,066666667;0,111111111
0,3;0;0,2;0,166666667;0,133333333;0,033333333;0,111111111
0,6;0;0;0,2;0,033333333;0;0,077777778
0,9;0;0;0,3;0,2;0,066666667;0,188888889
0,4;0;0,6;0,333333333;0,5;0,166666667;0,333333333
0;0;1,2;0,4;0,733333333;0,533333333;0,555555555
0;0;1,6;0,533333333;0,966666667;0,766666667;0,755555556
0;0;1,7;0,566666667;0,366666667;0,066666667;0,333333334
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0,1;0,1;0;0,066666667;0,3;0;0,122222222
0;1,2;0;0,4;0,833333333;0,5;0,577777778
0;1,4;0;0,466666667;0,4;0,4;0,422222222
0;1,5;0,1;0,533333333;0,866666667;0,633333333;0,677777778
0;1,8;0,2;0,666666667;0,533333333;0,133333333;0,444444444
0;1,6;1;0,866666667;0,433333333;0,333333333;0,544444444
0,5;1,2;0;0,566666667;1,466666667;0,033333333;0,688888889
1,1;1,9;0;1;1,133333333;1,233333333;1,122222222
2,1;1,2;0;1,1;0,233333333;0,066666667;0,466666667
0,9;0;0;0,3;0;0;0,1
0;0;0;0;0,166666667;0;0,055555556
0;1,5;0;0,5;0,933333333;0,166666667;0,533333333
0;2,6;0;0,866666667;0,7;0,066666667;0,544444445
0;2;0;0,666666667;0,366666667;0,1;0,377777778
0;1;0;0,333333333;0,233333333;0,133333333;0,233333333
0;0,2;0;0,066666667;0,4;0,066666667;0,177777778
0;0,7;0;0,233333333;0,566666667;0,1;0,3
0;1;0;0,333333333;0,8;0,333333333;0,488888889
0;1;0,3;0,433333333;0,9;0,666666667;0,666666667
0;1,9;0;0,633333333;0,533333333;0,633333333;0,6
0;0,8;0;0,266666667;0;0,033333333;0,1
0;0,7;0;0,233333333;0,233333333;0,2;0,222222222
0,1;1;0,8;0,633333333;1,1;1;0,911111111
0,4;1,1;0;0,5;0,233333333;1,233333333;0,655555555
0;0;0,3;0,1;0,033333333;0,4;0,177777778
0;0,1;0;0,033333333;0;0,166666667;0,066666667
0,3;0;0;0,1;0,233333333;0,4;0,244444444
1,1;0;0;0,366666667;0,2;0,233333333;0,266666667
0,8;0;0,5;0,433333333;0,133333333;0,433333333;0,333333333
1;0,1;0;0,366666667;0,266666667;0,266666667;0,3
0;0;0;0;0,5;0,5;0,333333333
0;0;0;0;0,7;0,866666667;0,522222222
0,1;0,8;0,1;0,333333333;0,833333333;0,5;0,555555555
1,7;3;3,7;2,8;3,566666667;2,7;3,022222222
2,8;3,8;5,2;3,933333333;3,566666667;4,533333333;4,011111111
4,7;1,5;0,6;2,266666667;2,233333333;5,2;3,233333333
4,5;0,2;0;1,566666667;0,7;0,466666667;0,911111111
1,2;0;0;0,4;0,566666667;0,4;0,455555556
2,5;0;0,2;0,9;0,7;0,566666667;0,722222222
3,3;0;0,1;1,133333333;1,4;0,933333333;1,155555555
1,9;0;0,2;0,7;1,1;1,533333333;1,111111111
2,9;0,2;0;1,033333333;1,733333333;0,966666667;1,244444444
3,1;1,5;0;1,533333333;2,8;1,366666667;1,9
5,7;2,5;0;2,733333333;2,5;2,9;2,711111111
8;3,6;0;3,866666667;2,066666667;2,266666667;2,733333334
3,3;1,5;0;1,6;1,133333333;1,4;1,377777778
3,1;2,5;0,2;1,933333333;2,466666667;1;1,8
2,6;4,3;0;2,3;2,2;2,1;2,2
0;1,9;0,2;0,7;0,366666667;1,9;0,988888889
0,7;0,2;0;0,3;0,566666667;0,566666667;0,477777778
1,7;0,1;0;0,6;1,133333333;0,633333333;0,788888889
1,9;0,3;0;0,733333333;1;0,666666667;0,8
0;1,2;0;0,4;1,266666667;0,966666667;0,877777778
0;0,1;0,2;0,1;0,966666667;0,5;0,522222222
0,4;0;0,3;0,233333333;1,5;0,866666667;0,866666667
1,5;0;0,5;0,666666667;2,2;1,266666667;1,377777778
1,9;0,3;1,6;1,266666667;2,133333333;2,133333333;1,844444444
2,5;2,3;3,1;2,633333333;3,866666667;2,633333333;3,044444444
5,7;3,1;4,4;4,4;4,833333333;7,033333333;5,422222222
5,7;4,4;4,3;4,8;4,733333333;5,2;4,911111111
6,4;1;3,2;3,533333333;2,2;6,5;4,077777778
2,7;0,1;0,5;1,1;0,4;4,5;2
4,2;0,9;3,2;2,766666667;1,2;3,666666667;2,544444445
1,6;0;3,7;1,766666667;1,4;3,466666667;2,211111111
