2019-2022;2020;2021;Mean
8,2;15;17;13,4
10;18,6;17,2;15,26666667
5,8;14,4;16,3;12,16666667
6,4;11,1;16,2;11,23333333
13,3;13,1;16,3;14,23333333
15;16,9;16,5;16,13333333
17,6;15,6;16,1;16,43333333
15,6;14,7;16,4;15,56666667
13,9;10;18,7;14,2
14,3;10,1;23,4;15,93333333
15,3;12,4;24;17,23333333
19,1;17,7;17,2;18
18,5;14,2;15,1;15,93333333
16,7;15,2;15,6;15,83333333
17,2;14,7;19,8;17,23333333
14,9;13,1;17,8;15,26666667
12,5;12,7;19,8;15
13,7;12,2;14,8;13,56666667
15,4;14,6;15,2;15,06666667
14,1;15,1;15;14,73333333
16,5;16,9;15,7;16,36666667
15,3;18,4;10,3;14,66666667
14;17,9;14;15,3
16,8;16,3;15,4;16,16666667
17,1;15,1;18,5;16,9
16;13,5;16,4;15,3
14,8;10,8;17,7;14,43333333
13,5;11,6;11,5;12,2
11,8;13;8,2;11
11,4;10,2;10,4;10,66666667
13,6;4,7;15,9;11,4
14,1;5,9;13,5;11,16666667
11,8;5,4;7,8;8,333333333
10,9;8,8;6,4;8,7
11,5;10,9;7,9;10,1
12,8;13,8;9;11,86666667
11,4;15,8;10,4;12,53333333
13,8;16,5;13,3;14,53333333
11,7;15,2;13,2;13,36666667
11,5;11,6;16,6;13,23333333
11,5;5,9;18,1;11,83333333
11,9;11,5;25,5;16,3
15,4;12,5;25,5;17,8
14,3;11,7;24,3;16,76666667
13,9;9,8;24,5;16,06666667
11,2;11,9;21,6;14,9
9,4;9,2;12,6;10,4
5;5,8;9,8;6,866666667
6,5;9,6;12,3;9,466666667
10;11,1;9,8;10,3
8,8;11,5;9,2;9,833333333
9,6;10,3;12,1;10,66666667
10,6;7,2;11,2;9,666666667
9,5;4,8;10,5;8,266666667
10,3;9,9;9,6;9,933333333
13;7;9,4;9,8
13,9;12,1;7,7;11,23333333
15,2;13,2;12;13,46666667
15,2;13,2;13,4;13,93333333
15,8;8,8;11,6;12,06666667
16,7;8,1;11,5;12,1
15,8;9,4;13;12,73333333
15,6;11,5;8,8;11,96666667
16,3;12,8;13,2;14,1
16;12,4;16,1;14,83333333
17;9,1;14,5;13,53333333
16,3;11,9;14,1;14,1
14,5;11,7;14,5;13,56666667
12,8;10,6;12,8;12,06666667
13;10,8;7,6;10,46666667
12,4;3,6;9,2;8,4
10,6;3,8;7,9;7,433333333
9,2;8,2;12,3;9,9
9,2;12,1;12,8;11,36666667
8,1;10,5;12,9;10,5
9,3;8,9;14,5;10,9
9;7,8;15;10,6
10,3;6,6;15,5;10,8
9,1;7;17,1;11,06666667
10,6;6,3;15,1;10,66666667
9,6;11,4;12,7;11,23333333
10,2;14,6;12,1;12,3
9,2;16,1;10,4;11,9
8,1;15,7;8,8;10,86666667
7,5;14,8;7;9,766666667
8,4;12,7;7,8;9,633333333
8,1;6,8;7,6;7,5
6;7,9;7,1;7
5,6;8,5;7,2;7,1
8,2;14,3;6,7;9,733333333
12,2;15,8;5,1;11,03333333
16;14,5;6,7;12,4
15,7;12,5;10,4;12,86666667
14,6;10,2;11,5;12,1
9,1;8,1;10,5;9,233333333
4,3;6,3;15,9;8,833333333
3,8;5,9;15,7;8,466666667
6,7;5,9;13,7;8,766666667
10,3;4,6;9,8;8,233333333
12;4,8;5,3;7,366666667
10;5,3;5,2;6,833333333
7,2;5,3;11,3;7,933333333
5,6;5,3;12,8;7,9
4;4,1;13,2;7,1
2,1;11,8;13,7;9,2
8,7;9,8;14,2;10,9
10,7;6,5;11,4;9,533333333
9,6;4,2;10,5;8,1
8,3;2,5;9,2;6,666666667
9,5;2;7,8;6,433333333
7,4;3,8;7,7;6,3
6,2;3,4;7;5,533333333
5,6;3,1;9;5,9
5,6;4,4;7,9;5,966666667
5,2;5,1;7,4;5,9
7,3;3;7,3;5,866666667
7,6;4,7;6,4;6,233333333
6,9;3,1;5,5;5,166666667
6,2;4,1;3,7;4,666666667
5,9;4,6;4,9;5,133333333
5,7;4,8;6,2;5,566666667
4,6;5;8,9;6,166666667
3,3;6,5;7,8;5,866666667
2,5;6,2;5,2;4,633333333
2,2;4;7,5;4,566666667
3,2;4,9;8,1;5,4
3;7,1;7,6;5,9
2,5;5,8;7,2;5,166666667
2,9;3,8;3,8;3,5
2,7;1,5;1,4;1,866666667
0,8;0,8;1,6;1,066666667
0,3;3,8;5,2;3,1
0,5;9,5;5,2;5,066666667
2,8;8,5;3,8;5,033333333
2,8;6,4;3,8;4,333333333
1,9;6,8;4,5;4,4
0,8;6;5,1;3,966666667
1,7;4,4;5;3,7
1,7;3,7;5,7;3,7
0,2;2,5;5,6;2,766666667
0,2;0,5;5;1,9
1,9;2;4,1;2,666666667
0,2;2,1;4,9;2,4
1,1;1,9;4,4;2,466666667
1,7;3,1;4,5;3,1
1,9;2,2;4,6;2,9
1,7;3,8;5,6;3,7
2,9;4,4;3,9;3,733333333
7,3;3;3,6;4,633333333
5,4;4,4;4,6;4,8
3,5;4,9;4,5;4,3
2;3,4;3,8;3,066666667
1,4;2,3;3,1;2,266666667
1,2;2,7;2,1;2
0,3;2,1;1,2;1,2
0,7;1;0,3;0,666666667
0,3;2,1;0,9;1,1
1,4;0,9;0,3;0,866666667
0,8;4,1;0,8;1,9
1,9;3,5;0,9;2,1
0,5;2,8;1;1,433333333
0,2;2;0,7;0,966666667
0,5;1,6;0,4;0,833333333
1,3;1,7;0,2;1,066666667
1,1;1;2,2;1,433333333
0;1;2;1
0,3;1,6;1;0,966666667
1,5;1;1;1,166666667
0,3;0,6;0,4;0,433333333
0;1;0;0,333333333
0;1,5;0;0,5
0,7;1,2;0;0,633333333
0,2;0,9;0,1;0,4
0,3;0,7;0;0,333333333
0,1;0,4;0,2;0,233333333
0;1,2;0,4;0,533333333
0;0,6;1;0,533333333
0;1,6;0,7;0,766666667
0,5;0;0,3;0,266666667
0,7;0,1;0,4;0,4
1;0,1;0,9;0,666666667
0;0,5;1,6;0,7
0;0,8;1,1;0,633333333
0,7;0;1,6;0,766666667
1;0,2;0,1;0,433333333
1,4;1,2;0,5;1,033333333
0,4;0,2;0,9;0,5
0;0,1;0;0,033333333
0,6;2,1;0;0,9
1,1;2,2;0,5;1,266666667
2;0,4;1,5;1,3
2,1;0,5;0,4;1
0,7;0,5;1,4;0,866666667
0,8;2,4;0,4;1,2
0,8;2,2;0,8;1,266666667
1,1;2,1;0,5;1,233333333
1,2;0,5;0,5;0,733333333
1,4;1;0;0,8
0,9;1;0;0,633333333
0,3;1,5;0,5;0,766666667
0,3;0,3;0,5;0,366666667
0;0,1;1,5;0,533333333
0,1;0,6;1,2;0,633333333
0,3;0,1;0,5;0,3
0;0,5;0,5;0,333333333
0;0,4;0,1;0,166666667
0;0;0,1;0,033333333
0;0,6;0,3;0,3
0;0,7;0;0,233333333
0;0,1;0,5;0,2
0;0;0,9;0,3
0;0,6;0;0,2
0,5;0,3;0,6;0,466666667
0,2;0,2;1;0,466666667
0,3;0;1,1;0,466666667
0,4;0;1,1;0,5
0,7;1,7;1,1;1,166666667
0;1,8;0,8;0,866666667
0;1,3;1,4;0,9
0,3;0,1;0,4;0,266666667
0,8;0,6;1;0,8
0;0,5;1,2;0,566666667
0,2;0,4;0,2;0,266666667
0,2;0,1;0,4;0,233333333
0,4;0;0;0,133333333
1,4;0,2;0;0,533333333
2,4;0;0;0,8
0,4;0;0;0,133333333
1,7;0,3;1,7;1,233333333
0;0;1,7;0,566666667
0;0,1;0,4;0,166666667
0,2;0,5;0,2;0,3
0,9;1;1,2;1,033333333
0,9;0;0,2;0,366666667
1;0;0,7;0,566666667
0,2;0,3;1,3;0,6
0;1,2;2;1,066666667
0,2;1,3;2,5;1,333333333
0;0;2,1;0,7
0,1;1,3;2,9;1,433333333
0;1,7;2,9;1,533333333
