2019-2022;2020;2021;Mean
3,2;14,8;13,7;10,56666667
4;14,5;13,7;10,73333333
5,8;7,4;13,4;8,866666667
8,9;10,2;13,9;11
12,4;9,2;13,9;11,83333333
12,6;10,5;13,7;12,26666667
12;8,9;14;11,63333333
12,5;5,5;14,5;10,83333333
11,1;3,6;14,8;9,833333333
14,5;7,7;14,8;12,33333333
15,6;11,1;14,3;13,66666667
14;10,3;10,4;11,56666667
14,2;8,4;12,7;11,76666667
14,3;5,2;14;11,16666667
13,9;3,9;15,4;11,06666667
12,4;7,9;15,5;11,93333333
10,2;7,2;13,7;10,36666667
9,5;11;10,9;10,46666667
11,9;12,7;9,4;11,33333333
12,5;14;7,2;11,23333333
13;17,2;7;12,4
11;16,5;10,8;12,76666667
11;13,9;12;12,3
13,3;16,1;14,6;14,66666667
14;14,2;14,9;14,36666667
13,7;10,9;13,3;12,63333333
10,4;7,8;12,1;10,1
10,5;9,9;9;9,8
7,4;10,8;6,8;8,333333333
10,5;6,9;13,5;10,3
11,1;3,2;15,3;9,866666667
10;4,5;12,1;8,866666667
7,3;5,8;8,2;7,1
8,5;5,5;5,4;6,466666667
8,7;11;7,8;9,166666667
10,3;11,6;7,6;9,833333333
8,8;12,9;10,3;10,66666667
11;13;14,8;12,93333333
7,1;9;19,4;11,83333333
7,2;5;22,2;11,46666667
10,6;7,4;21,8;13,26666667
12,5;10,5;20;14,33333333
14;10,7;20,5;15,06666667
10,3;10,6;19,5;13,46666667
6,4;8,8;16,6;10,6
8,1;7,1;12,2;9,133333333
3,9;1,8;7,6;4,433333333
5,9;7;6,3;6,4
6,1;8,5;8,7;7,766666667
9,4;10,2;8,2;9,266666667
6,1;7,5;4,3;5,966666667
9,8;9,5;2,9;7,4
8,3;7;4,8;6,7
8;5,1;2;5,033333333
8,9;7,6;2,2;6,233333333
11,6;7,7;3,1;7,466666667
13;12,2;7,8;11
12;13,4;10,9;12,1
11;11,4;10,1;10,83333333
11,3;6,7;10,9;9,633333333
11;8,4;8;9,133333333
11,7;9,3;6,6;9,2
12,2;10,8;9,8;10,93333333
12,5;9,6;13,1;11,73333333
15;10;14,9;13,3
14,4;10,3;14,9;13,2
11,7;9,1;13;11,26666667
9,4;6,6;11,4;9,133333333
7,9;7,9;8,3;8,033333333
7,2;4,9;5,5;5,866666667
5,4;2,9;8,4;5,566666667
5,4;5,3;8,1;6,266666667
