2019-2022;2020;2021;Mean
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0,1;0,033333333
0;0;0;0
0;0;0,3;0,1
0;0;0,1;0,033333333
0;0;0,1;0,033333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0,1;0,1;0;0,066666667
0;0;0;0
0,2;0;0;0,066666667
0,3;0;0;0,1
0,1;0;0;0,033333333
0,2;0;0;0,066666667
0,7;0;0;0,233333333
0,8;0;0;0,266666667
0;0,3;0,8;0,366666667
0;0;1,8;0,6
0;0;2,4;0,8
0;0;2;0,666666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0,7;0;0,233333333
0;1,2;0;0,4
0;2;0;0,666666667
0;2,2;0;0,733333333
0;2,7;0;0,9
0;2,2;0;0,733333333
1,1;2,2;0;1,1
1,3;2,1;0;1,133333333
0,6;0;0;0,2
0,5;0;0;0,166666667
0;0,4;0;0,133333333
0,1;1,6;0;0,566666667
0,3;2,7;0;1
0,6;1,5;0;0,7
0;0,4;0;0,133333333
0;0,6;0;0,2
0,1;1,2;0;0,433333333
0,1;1,8;0;0,633333333
0;2,1;0,1;0,733333333
0;2,1;0;0,7
0;0,4;0;0,133333333
0;1,1;0,1;0,4
0,9;1,5;0,4;0,933333333
0,4;0;0;0,133333333
0;0;0;0
0;0;0;0
