2019-2022;2020;2021;Mean
6,9;15,3;14,7;12,3
7,8;15,1;16,3;13,06666667
7;9,7;15,5;10,73333333
9,3;12,3;15,6;12,4
14,1;11,5;15;13,53333333
13,6;14,9;14,7;14,4
14,9;11,6;15,7;14,06666667
14,3;9,7;15,8;13,26666667
13,3;6,8;16;12,03333333
16,5;9,4;16,4;14,1
18;12,7;17,3;16
17,1;13,5;13,4;14,66666667
14,8;10,8;14,5;13,36666667
12,2;8,3;16;12,16666667
17;6,7;17,6;13,76666667
16,2;7,5;18,8;14,16666667
14,1;9,7;15,5;13,1
11,6;13,5;14;13,03333333
14,3;14;14,2;14,16666667
13,9;13,7;10,6;12,73333333
14,2;14,6;8,4;12,4
12,6;14,7;12;13,1
12,8;15,1;13,6;13,83333333
14,1;16,8;15,7;15,53333333
17,1;14,9;15,8;15,93333333
16,7;13,3;15,7;15,23333333
15,5;10,3;15,4;13,73333333
13,7;12,3;9,1;11,7
11,3;12,6;7,9;10,6
11,9;10,6;11,4;11,3
12,6;5,4;15,4;11,13333333
12,4;6;11,5;9,966666667
8,3;6,3;8,6;7,733333333
10,3;7;6,5;7,933333333
11,2;12;9,4;10,86666667
13,6;11,8;8,8;11,4
10,5;13,1;10,3;11,3
12,7;13,9;12,1;12,9
10,9;13;17,1;13,66666667
8,9;7,6;20,4;12,3
11,4;8,5;22,7;14,2
13,7;11,7;21,2;15,53333333
15,3;13,6;22;16,96666667
12,4;12,2;21,6;15,4
8,6;9,3;18,3;12,06666667
10,4;9;14,1;11,16666667
7;4,2;9,8;7
7,2;8,9;9;8,366666667
7,9;10,6;9,7;9,4
11,5;11,1;9,3;10,63333333
8,8;9,9;5,8;8,166666667
11,2;11,9;4,9;9,333333333
10,4;9,7;6,4;8,833333333
9,3;7;3,4;6,566666667
9,8;8,6;4,3;7,566666667
13,9;9,3;4,7;9,3
13,8;13,5;9,3;12,2
12,4;15,1;11,7;13,06666667
11,9;13,4;10,7;12
11,8;8,8;9,3;9,966666667
13,1;10,2;7;10,1
11,4;11,1;6,5;9,666666667
12;13,1;9,2;11,43333333
13,8;11,9;13,3;13
14,5;10,2;14,9;13,2
16;11,3;13,8;13,7
12,6;11;14;12,53333333
10,5;9;12,9;10,8
8,2;9,9;10,1;9,4
6,9;7,8;8,3;7,666666667
6,7;3,9;10,7;7,1
7,4;7,3;10,3;8,333333333
8,4;10,6;12,4;10,46666667
10,3;10,5;11;10,6
8,8;7,2;12,3;9,433333333
8,2;5;12,2;8,466666667
8,4;4,8;13;8,733333333
8,7;5,6;13,4;9,233333333
11;4,2;12,5;9,233333333
5;4,4;11,2;6,866666667
5,4;11,7;11,6;9,566666667
4,8;11,7;9,4;8,633333333
3,8;12,5;7,6;7,966666667
4,8;11,9;8,1;8,266666667
4,9;11,6;7;7,833333333
3,6;10,9;10,4;8,3
3;7,1;7,4;5,833333333
3,7;4,5;4,6;4,266666667
7,9;11,8;2,7;7,466666667
10,9;13;1,5;8,466666667
15;11,1;1,5;9,2
15,5;10,6;8,8;11,63333333
14,1;9;9,6;10,9
13,1;9,4;9,1;10,53333333
9,3;7,3;13,4;10
7,4;4,1;15,4;8,966666667
6,6;2,8;14,6;8
12,7;1,3;12,6;8,866666667
12,9;1,1;7,9;7,3
11,2;0,8;7,7;6,566666667
6,6;0,9;10,2;5,9
2,7;1,2;12,6;5,5
1,4;1,1;12,4;4,966666667
1,9;4,3;12,4;6,2
2,5;10;12,2;8,233333333
5,5;6,2;11,6;7,766666667
6,2;2,6;8,5;5,766666667
4,8;1,1;7,2;4,366666667
3,6;0,8;6,8;3,733333333
5,6;2,6;5,8;4,666666667
4,8;3,2;4;4
4,6;2,6;7,7;4,966666667
4,2;2,1;6,9;4,4
4,4;1,5;5,6;3,833333333
5,9;1,9;7,3;5,033333333
7,7;3,5;7,3;6,166666667
5,2;3,2;6,2;4,866666667
3,4;2,6;4,4;3,466666667
3,1;2,5;6,5;4,033333333
6;3,7;9,2;6,3
5,7;5,8;7,6;6,366666667
3,1;6,9;8,5;6,166666667
1,8;7,5;7,8;5,7
2,2;5,3;7,8;5,1
2,3;3,3;10,2;5,266666667
1,9;5;10,5;5,8
1,6;4,4;8,7;4,9
1,5;2,9;5,5;3,3
1,6;1,2;1,7;1,5
0,4;0,9;1,3;0,866666667
0,3;1;4,5;1,933333333
0,6;7,9;4,3;4,266666667
1,9;8;5,1;5
1,7;6;5,8;4,5
0,9;6,3;6,8;4,666666667
0;4,6;5,6;3,4
0,7;3,5;5,7;3,3
0;3,3;6,5;3,266666667
0;1,8;6,6;2,8
0,2;0,8;5;2
2;0,2;3,9;2,033333333
1,2;0,3;6,3;2,6
0,7;0;5,4;2,033333333
2,7;4;6,3;4,333333333
2,4;4,3;7,7;4,8
1,2;2,4;6,7;3,433333333
1,7;1,4;5,9;3
3,5;1,1;4,1;2,9
5,6;0,5;2,5;2,866666667
4,8;1,2;2,4;2,8
2,8;1,1;1,8;1,9
2;1,2;1,3;1,5
2,5;0,9;0,6;1,333333333
0;0;0;0
0,2;0,2;0;0,133333333
0;2,5;0,5;1
3,5;6;1,3;3,6
3,2;4,1;0,5;2,6
2,8;3,7;0,1;2,2
1,8;2,2;0,2;1,4
0,9;2,4;0;1,1
2,2;1,4;0;1,2
2,2;0,9;0;1,033333333
2,1;1,1;0,9;1,366666667
0,9;1;0,5;0,8
0,2;0,3;0;0,166666667
0,5;0,7;0;0,4
0,4;0,4;0;0,266666667
0;0,8;0;0,266666667
0;1,3;0;0,433333333
0,1;1,1;0;0,4
0,7;1;0;0,566666667
0,6;0,5;1,6;0,9
0;0,9;0,7;0,533333333
0;0;0,9;0,3
0;0;0,7;0,233333333
0;0;0,9;0,3
0;0;0;0
0;0;0;0
0;0,1;0,5;0,2
0;0,9;2,3;1,066666667
0;1,8;1,9;1,233333333
0,3;0,3;1,7;0,766666667
0,2;0;0,4;0,2
0,6;1,2;0,1;0,633333333
0,1;1;0,4;0,5
0,1;0;0,1;0,066666667
0,2;1,4;1;0,866666667
1,3;2;0,2;1,166666667
1,8;0,8;0,6;1,066666667
0,9;0,1;0,5;0,5
0,1;0,1;0,9;0,366666667
0,2;1,4;0,5;0,7
1,1;0,9;0,2;0,733333333
0,7;0,2;0,7;0,533333333
1,2;0,2;0,2;0,533333333
1,8;0,7;0;0,833333333
0,5;1,3;0,2;0,666666667
0;0,7;0,1;0,266666667
0;0;0;0
0;0;0,6;0,2
0;0;0,5;0,166666667
0;0,5;0,1;0,2
0;0,5;0,1;0,2
0;0,3;0;0,1
0;0;0,4;0,133333333
0;0,1;0,2;0,1
0;0;0,4;0,133333333
0;0,1;0,6;0,233333333
0,8;0;0,5;0,433333333
0;1,2;1,1;0,766666667
0;0;0,8;0,266666667
0,6;0;1;0,533333333
0;0;1,3;0,433333333
0,2;0;1,3;0,5
0,1;0,3;1;0,466666667
0;1;0,5;0,5
0;0,5;0,4;0,3
0;0;0,7;0,233333333
0,4;0;1,4;0,6
0;0;1,3;0,433333333
0;0;0,7;0,233333333
0,3;0;0,2;0,166666667
1,4;0;0,1;0,5
1,7;0;0;0,566666667
1,3;0;0;0,433333333
0,2;0;0;0,066666667
1,3;0;1,1;0,8
0;0;3,5;1,166666667
0;0;1,1;0,366666667
0,5;0;0,2;0,233333333
1,5;0,2;1;0,9
1,3;0;0,5;0,6
0,3;0;0,1;0,133333333
0;0;0,3;0,1
0;0;1;0,333333333
0;0,3;1,5;0,6
0;0,8;1,1;0,633333333
0;0;2,1;0,7
0;1,4;1,9;1,1
0;0,7;1,7;0,8
0,2;1,8;0,6;0,866666667
0;1,5;0,9;0,8
0,2;1,6;1,4;1,066666667
1,4;1,8;2;1,733333333
1,4;1,3;0,9;1,2
1,3;0,9;0,4;0,866666667
2,7;0;0,3;1
