2019-2022;2020;2021;Mean;Mean;NE
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0;0
0;0;0,1;0,033333333;0,033333333;0,033333333
0;0;0,4;0,133333333;0,133333333;0,133333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0,1;0;0;0,033333333;0,033333333;0,033333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0,8;0;0;0,266666667;0,3;0,283333334
0,8;0;0;0,266666667;0,166666667;0,216666667
0,4;0;0;0,133333333;0,166666667;0,15
0;0;0;0;0;0
0,2;0;0;0,066666667;0,1;0,083333334
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0,2;0,066666667;0,066666667;0,066666667
0;0;1,5;0,5;0,6;0,55
0;0;1,9;0,633333333;0,733333333;0,683333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;1,1;0;0,366666667;0,5;0,433333334
0;0,9;0;0,3;0,233333333;0,266666667
0;0,6;0;0,2;0,233333333;0,216666667
0;1,8;0;0,6;0,633333333;0,616666667
0;1;0;0,333333333;0,366666667;0,35
0;0,1;0;0,033333333;0,166666667;0,1
1,1;1,2;0;0,766666667;0,866666667;0,816666667
0,1;1,5;0;0,533333333;0,633333333;0,583333333
0,4;0;0;0,133333333;0,133333333;0,133333333
0;0;0;0;0;0
0,1;0;0;0,033333333;0;0,016666667
0,5;0,7;0;0,4;0,566666667;0,483333334
0,9;0;0;0,3;0,3;0,3
0,5;0;0;0,166666667;0,233333333;0,2
0,1;0,2;0,2;0,166666667;0,2;0,183333334
0,3;0,5;0;0,266666667;0,333333333;0,3
0,3;0,8;0;0,366666667;0,366666667;0,366666667
0,6;1,6;0;0,733333333;0,766666667;0,75
0,1;2,1;0;0,733333333;0,7;0,716666667
0;0,4;0;0,133333333;0,1;0,116666667
0;0;0;0;0;0
0;0;0;0;0;0
0;0,6;0;0,2;0,3;0,25
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0,1;0;0;0,033333333;0,066666667;0,05
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0,6;0;0;0,2;0,133333333;0,166666667
1,2;0;0;0,4;0,466666667;0,433333334
0,8;0,1;0;0,3;0,4;0,35
0;0,8;0;0,266666667;0,533333333;0,4
1,8;2,2;2,6;2,2;2,466666667;2,333333334
1,6;3,2;0,6;1,8;2,2;2
0,5;0,8;0,2;0,5;0,866666667;0,683333334
0,5;0;0,1;0,2;0,233333333;0,216666667
0,2;0;0,5;0,233333333;0,3;0,266666667
1,5;0;0;0,5;0,5;0,5
3,4;0;0;1,133333333;1,433333333;1,283333333
2,5;0;0;0,833333333;1;0,916666667
3;0;0;1;1,266666667;1,133333334
3;0,6;0;1,2;1,333333333;1,266666667
2,3;0,7;0;1;1,266666667;1,133333334
0,5;1,4;0;0,633333333;0,7;0,666666667
0,1;2,3;0;0,8;1,033333333;0,916666667
2;4,6;0;2,2;2,566666667;2,383333334
1,3;3,4;0;1,566666667;1,633333333;1,6
0;0,4;0;0,133333333;0,233333333;0,183333333
0,3;0;0;0,1;0,1;0,1
0,7;1,2;0;0,633333333;0,733333333;0,683333333
0;2,3;0;0,766666667;0,933333333;0,85
0;1,3;0,6;0,633333333;0,733333333;0,683333333
0;0,8;0,2;0,333333333;0,566666667;0,45
0;1,4;1,2;0,866666667;1,2;1,033333334
0,2;3,2;2,4;1,933333333;2,3;2,116666667
0;2,4;4,2;2,2;2,4;2,3
0,8;3,2;5,3;3,1;3,566666667;3,333333334
1,7;4,2;4,3;3,4;4,333333333;3,866666667
3,2;1,7;4,2;3,033333333;4,533333333;3,783333333
0,7;0;0,1;0,266666667;0,566666667;0,416666667
0,7;0;1,9;0,866666667;1,766666667;1,316666667
1,4;0;2,8;1,4;1,2;1,3
0,4;0;4;1,466666667;1,566666667;1,516666667
1,1;0,2;3,7;1,666666667;1,633333333;1,65
2,2;0,1;3,6;1,966666667;1,4;1,683333334
0,8;0,7;2,7;1,4;1,166666667;1,283333334
0,1;0,8;1,4;0,766666667;1,333333333;1,05
0,3;4,1;2,8;2,4;2,366666667;2,383333334
1,7;4,5;4,5;3,566666667;3,033333333;3,3
0,9;2,7;2,9;2,166666667;2,066666667;2,116666667
2;2,8;6,4;3,733333333;4,033333333;3,883333333
3,8;2,6;7,6;4,666666667;3,866666667;4,266666667
4,7;4;5,9;4,866666667;4,1;4,483333334
3,4;2,5;2,3;2,733333333;2,933333333;2,833333333
1,6;2,5;2,5;2,2;3,1;2,65
1,3;2,1;0;1,133333333;1,966666667;1,55
2,6;3,2;0,3;2,033333333;1,733333333;1,883333333
6,4;2,4;0,3;3,033333333;1,333333333;2,183333333
10;4,6;1;5,2;2,833333333;4,016666667
10,3;7,9;0,9;6,366666667;5;5,683333334
3,5;8,7;3,6;5,266666667;7,133333333;6,2
1,6;9,3;4,8;5,233333333;7,966666667;6,6
2,7;4,4;4,6;3,9;3,966666667;3,933333334
8;2,3;1,4;3,9;2,2;3,05
5,1;0,8;0;1,966666667;1,266666667;1,616666667
2,6;0,8;0,5;1,3;3,166666667;2,233333334
2,2;2,5;1,9;2,2;3,4;2,8
1,3;2,2;3,4;2,3;2,633333333;2,466666667
1,9;2,1;2,8;2,266666667;2,266666667;2,266666667
2,8;1,2;1,7;1,9;1,566666667;1,733333334
1,5;2,6;2,4;2,166666667;2,266666667;2,216666667
0,5;0,3;2,3;1,033333333;1,8;1,416666667
0,1;0,7;2,7;1,166666667;1,9;1,533333334
1,5;0;2,3;1,266666667;1,266666667;1,266666667
0,3;1,2;2,2;1,233333333;1,333333333;1,283333333
3,1;0,4;2,4;1,966666667;1,5;1,733333334
1,5;1;3,9;2,133333333;1,766666667;1,95
1,4;1,3;3,6;2,1;2,666666667;2,383333334
0,5;3,2;2,5;2,066666667;2,266666667;2,166666667
0,3;1,5;2,9;1,566666667;1,733333333;1,65
1,1;1,7;2,8;1,866666667;1,433333333;1,65
3,4;1,3;4,6;3,1;1,833333333;2,466666667
3,5;2,9;4,6;3,666666667;2,933333333;3,3
3,3;3,4;3;3,233333333;3,666666667;3,45
