2019-2022;2020;2021;Mean;Mean;NE
3,8;13,5;13,4;10,23333333;9,666666667;9,949999999
3,9;11,6;12,8;9,433333333;9;9,216666667
5,9;7,7;11,7;8,433333333;8,333333333;8,383333333
8,7;8,3;12;9,666666667;9,7;9,683333334
10;8,5;12,3;10,26666667;10,36666667;10,31666667
12,1;9,3;13;11,46666667;11,1;11,28333334
11,2;8,6;12,4;10,73333333;10,76666667;10,75
11,9;5,1;13,4;10,13333333;9,933333333;10,03333333
10,4;4,2;15,4;10;9,8;9,9
13;8,4;13,1;11,5;11,06666667;11,28333334
13;9,1;9,7;10,6;10,6;10,6
11,7;7,7;9,9;9,766666667;9,5;9,633333334
10;8,3;10,9;9,733333333;9,733333333;9,733333333
9,9;5,1;13,5;9,5;9,766666667;9,633333334
12,5;5,9;13,8;10,73333333;10,86666667;10,8
9,2;8,4;14,5;10,7;10,43333333;10,56666667
8,7;6,9;11,6;9,066666667;9,066666667;9,066666667
12,4;10,4;10,5;11,1;11,1;11,1
10,5;10,6;7,6;9,566666667;9,833333333;9,7
11,3;11,6;6,7;9,866666667;9,766666667;9,816666667
11;13,2;8,3;10,83333333;10,8;10,81666667
8,7;9,9;11;9,866666667;10,33333333;10,1
9,2;9,7;12,3;10,4;10,43333333;10,41666667
10,8;12,1;13,8;12,23333333;12,13333333;12,18333333
12,4;12,6;13,5;12,83333333;12,46666667;12,65
10,8;10,5;10,9;10,73333333;10,53333333;10,63333333
8,1;7,5;10,6;8,733333333;8,566666667;8,65
8,8;9,7;10,7;9,733333333;9,4;9,566666667
6,1;9,1;8,2;7,8;7,366666667;7,583333334
9,4;6,9;14,8;10,36666667;10,16666667;10,26666667
9,6;5,1;16,4;10,36666667;10,13333333;10,25
8;4,9;14,7;9,2;8,766666667;8,983333334
7,1;6,8;11,7;8,533333333;7,633333333;8,083333333
7,8;6,4;7,2;7,133333333;6,833333333;6,983333333
8,7;9,9;8,6;9,066666667;8,733333333;8,9
8,9;10,7;8,9;9,5;9;9,25
8;10,3;12,4;10,23333333;9,666666667;9,949999999
9,2;11,1;19,2;13,16666667;12,93333333;13,05
5,5;9;20,1;11,53333333;11,36666667;11,45
6,4;6,1;18,2;10,23333333;10,63333333;10,43333333
8,6;7,5;18,6;11,56666667;11,6;11,58333334
10,9;9,3;20,5;13,56666667;13,6;13,58333334
12,7;10;20,4;14,36666667;14,1;14,23333334
10,3;10;20,1;13,46666667;13;13,23333334
6,3;8,2;16,5;10,33333333;9,933333333;10,13333333
8;5,3;12,9;8,733333333;8,533333333;8,633333333
4,9;3,8;8,8;5,833333333;5,4;5,616666667
6,7;7,4;6,7;6,933333333;6,566666667;6,75
7,3;7,6;7,1;7,333333333;7,033333333;7,183333333
9,2;9,1;8,8;9,033333333;8,8;8,916666667
7,5;7,5;3,8;6,266666667;5,8;6,033333334
9;7,9;4,5;7,133333333;6,833333333;6,983333333
8,4;6;4,1;6,166666667;5,833333333;6
7,7;7;3,3;6;5,466666667;5,733333334
9,1;8,2;2,6;6,633333333;6,066666667;6,35
10;8,7;5,3;8;7,566666667;7,783333334
11,9;11,3;9,5;10,9;11,03333333;10,96666667
10,7;12,4;10,6;11,23333333;11,23333333;11,23333333
10,9;11;11,6;11,16666667;10,56666667;10,86666667
10,9;6,8;9,8;9,166666667;9,133333333;9,15
8,9;9,3;8,8;9;9,1;9,05
9,8;10,4;11,3;10,5;10,23333333;10,36666667
10,3;11,1;11,1;10,83333333;10,7;10,76666667
13,1;9;12,3;11,46666667;11,23333333;11,35
12;9,7;13,8;11,83333333;12,03333333;11,93333333
12;8,8;13;11,26666667;11,46666667;11,36666667
10,5;8,9;10,7;10,03333333;9,966666667;9,999999999
8,5;6,6;9,8;8,3;7,866666667;8,083333334
6,5;7,5;10;8;7,7;7,85
5,5;5,2;6,6;5,766666667;5,633333333;5,7
4,6;4,7;8,6;5,966666667;5,666666667;5,816666667
3,3;6,8;8,7;6,266666667;6,066666667;6,166666667
5,9;8,3;8,8;7,666666667;7,7;7,683333334
6,4;8,9;8,9;8,066666667;7,966666667;8,016666667
5,9;6,1;9,9;7,3;7,166666667;7,233333334
7,4;8;10,1;8,5;8,2;8,35
7;7,5;10,9;8,466666667;8,133333333;8,3
6,3;5,7;10,5;7,5;7,5;7,5
10,3;7,1;11,4;9,6;9,633333333;9,616666667
7,7;8,4;9,1;8,4;8,166666667;8,283333334
4,7;10,1;10;8,266666667;8,066666667;8,166666667
4,6;10,5;9,2;8,1;8,4;8,25
5;10,6;8,3;7,966666667;7,933333333;7,95
6,1;9,6;7,4;7,7;7,333333333;7,516666667
5,1;9,3;5,7;6,7;6,733333333;6,716666667
5,1;8,9;8,7;7,566666667;7,433333333;7,5
6,6;7,5;5,8;6,633333333;6,633333333;6,633333333
7;7,9;3,7;6,2;6,166666667;6,183333334
8,9;10,1;4,5;7,833333333;7,4;7,616666667
13,1;11,5;3,3;9,3;9,066666667;9,183333334
12,7;10,7;5,5;9,633333333;9,6;9,616666667
11,6;11,5;9,9;11;10,93333333;10,96666667
12,1;7,8;8,5;9,466666667;9,6;9,533333334
8,3;8,4;9,3;8,666666667;8,466666667;8,566666667
5,6;7,1;10,8;7,833333333;7,566666667;7,7
5,2;3,8;12,8;7,266666667;7,5;7,383333334
6,8;2,5;11,7;7;6,633333333;6,816666667
8,9;4,3;10,1;7,766666667;7,766666667;7,766666667
9,7;2,4;8;6,7;6,4;6,55
9;3,2;10,3;7,5;7,366666667;7,433333334
6;4,9;11,1;7,333333333;7,1;7,216666667
2,9;3,6;12,2;6,233333333;6,2;6,216666667
2,1;3,1;10,7;5,3;5,5;5,4
3,4;7,4;10,9;7,233333333;7,1;7,166666667
5,8;8,9;10,3;8,333333333;8,3;8,316666667
4,3;7,4;8,8;6,833333333;6,9;6,866666667
4;3,9;8,5;5,466666667;5,666666667;5,566666667
3,3;5,1;7,3;5,233333333;5,266666667;5,25
3,2;4,4;6,1;4,566666667;5,166666667;4,866666667
3,5;3,3;4,2;3,666666667;4,233333333;3,95
3,3;3,5;7,3;4,7;4,866666667;4,783333334
2,2;2,5;9,1;4,6;4,733333333;4,666666667
2;1,9;8,2;4,033333333;4,4;4,216666667
3,3;2;7,5;4,266666667;4,5;4,383333334
6,3;3,3;8,3;5,966666667;6,4;6,183333334
5,9;5,9;8,6;6,8;6,766666667;6,783333334
7,4;6,2;6,1;6,566666667;7,266666667;6,916666667
7;4;5;5,333333333;5,7;5,516666667
6,5;6,2;7,6;6,766666667;6,666666667;6,716666667
6,7;4,7;7,8;6,4;6,333333333;6,366666667
6,2;4,1;8,1;6,133333333;6,333333333;6,233333333
4,3;5,2;8,7;6,066666667;6,1;6,083333334
6;4,8;5,8;5,533333333;5,333333333;5,433333333
5,3;4,2;6,4;5,3;4,766666667;5,033333334
3,5;4,3;8,2;5,333333333;5,133333333;5,233333333
2,8;6;8,4;5,733333333;5,866666667;5,8
1,6;4,6;8,5;4,9;5;4,95
3,7;4;6,4;4,7;4,1;4,4
2,8;2,5;1;2,1;2,2;2,15
0,6;1,3;0,7;0,866666667;1;0,933333334
0,9;2,6;2,4;1,966666667;2,033333333;2
2,2;7;3,7;4,3;4,2;4,25
1,4;7,6;3,5;4,166666667;4,166666667;4,166666667
1,6;7,7;4,5;4,6;4,2;4,4
1,3;7,9;5;4,733333333;4,5;4,616666667
0;6,7;3,9;3,533333333;3,333333333;3,433333333
