2019-2022;2020;2021;Mean
3,4;12,7;12,9;9,666666667
3,8;11,1;12,1;9
5,6;7,5;11,9;8,333333333
8,5;8,3;12,3;9,7
10,3;8,3;12,5;10,36666667
11,5;9;12,8;11,1
11,1;9;12,2;10,76666667
11,5;5,2;13,1;9,933333333
10,3;4,1;15;9,8
11,9;8,5;12,8;11,06666667
12,8;9;10;10,6
11,5;7,3;9,7;9,5
10,6;7,8;10,8;9,733333333
11;5;13,3;9,766666667
12,8;5,8;14;10,86666667
9,5;7,7;14,1;10,43333333
9,8;6,6;10,8;9,066666667
12,5;10,3;10,5;11,1
11,1;10,6;7,8;9,833333333
10,8;11,7;6,8;9,766666667
10,9;13,2;8,3;10,8
9,2;10,8;11;10,33333333
9,3;10,2;11,8;10,43333333
10,8;12,3;13,3;12,13333333
12;12,7;12,7;12,46666667
10,9;10;10,7;10,53333333
8;7;10,7;8,566666667
9,2;9,6;9,4;9,4
6,2;9;6,9;7,366666667
9,1;7,2;14,2;10,16666667
9,1;4,9;16,4;10,13333333
7,8;4,9;13,6;8,766666667
6,8;6,4;9,7;7,633333333
7,6;6,2;6,7;6,833333333
8,4;9,6;8,2;8,733333333
8,9;10,1;8;9
7,6;9,9;11,5;9,666666667
9,2;10,5;19,1;12,93333333
5,7;7,9;20,5;11,36666667
6,4;5,9;19,6;10,63333333
8,5;7,2;19,1;11,6
10,9;9,3;20,6;13,6
11,8;9,8;20,7;14,1
9,3;9,6;20,1;13
6;8;15,8;9,933333333
8,1;5,4;12,1;8,533333333
4,7;3,4;8,1;5,4
6,2;7,4;6,1;6,566666667
6,8;7,6;6,7;7,033333333
9,3;8,8;8,3;8,8
7,3;7,2;2,9;5,8
8,6;7,9;4;6,833333333
8,1;6,2;3,2;5,833333333
7,9;6,3;2,2;5,466666667
8,7;7,9;1,6;6,066666667
9,9;8,6;4,2;7,566666667
12;12;9,1;11,03333333
10,6;12,1;11;11,23333333
9,6;10,9;11,2;10,56666667
9,7;6,8;10,9;9,133333333
8,7;9,2;9,4;9,1
10;9,8;10,9;10,23333333
10,2;10,7;11,2;10,7
12,8;8,3;12,6;11,23333333
12,3;9,7;14,1;12,03333333
12,4;9;13;11,46666667
10,4;8,8;10,7;9,966666667
7,4;6,6;9,6;7,866666667
6,2;7,6;9,3;7,7
4,9;5,6;6,4;5,633333333
4,1;4,4;8,5;5,666666667
3,1;6,9;8,2;6,066666667
6,2;8,2;8,7;7,7
6,5;8,6;8,8;7,966666667
5,9;5,8;9,8;7,166666667
7,1;8;9,5;8,2
7,1;7,2;10,1;8,133333333
6,6;5,5;10,4;7,5
10,7;7;11,2;9,633333333
7;8,5;9;8,166666667
4,5;10,5;9,2;8,066666667
5,9;10,7;8,6;8,4
5,9;10,1;7,8;7,933333333
6,2;8,9;6,9;7,333333333
5,4;9,3;5,5;6,733333333
4,7;9,3;8,3;7,433333333
6,6;7,8;5,5;6,633333333
7;7,6;3,9;6,166666667
8,3;9,9;4;7,4
12,5;11,4;3,3;9,066666667
13;11;4,8;9,6
11,6;11,5;9,7;10,93333333
12,2;8,3;8,3;9,6
8,3;7,8;9,3;8,466666667
5;6,8;10,9;7,566666667
5,6;3,7;13,2;7,5
6,3;1,8;11,8;6,633333333
8,9;4,1;10,3;7,766666667
9;2,6;7,6;6,4
8,8;3,2;10,1;7,366666667
5,9;4,5;10,9;7,1
2,9;3,4;12,3;6,2
2,2;3,6;10,7;5,5
3,5;7;10,8;7,1
5,6;8,9;10,4;8,3
4,1;7,5;9,1;6,9
3,9;4,5;8,6;5,666666667
2,8;4,7;8,3;5,266666667
3,6;5,5;6,4;5,166666667
3,7;3,9;5,1;4,233333333
3,6;3,7;7,3;4,866666667
2,7;2,5;9;4,733333333
2,4;2,6;8,2;4,4
3,3;2,7;7,5;4,5
6,5;4,2;8,5;6,4
6;6;8,3;6,766666667
7,9;6,8;7,1;7,266666667
6,7;4,6;5,8;5,7
6,4;6,1;7,5;6,666666667
7,1;4;7,9;6,333333333
6,7;3,9;8,4;6,333333333
4,8;4,8;8,7;6,1
5,7;4,6;5,7;5,333333333
5,2;3,1;6;4,766666667
3,3;3,8;8,3;5,133333333
2,7;6,1;8,8;5,866666667
1,4;4,9;8,7;5
3,1;3,7;5,5;4,1
3,1;2,8;0,7;2,2
0,5;1,8;0,7;1
0,7;2,7;2,7;2,033333333
2,2;6,6;3,8;4,2
1,4;7,2;3,9;4,166666667
1,7;7,3;3,6;4,2
1,5;7,4;4,6;4,5
0;6,3;3,7;3,333333333
0,1;4,8;4;2,966666667
0,2;3,3;3,3;2,266666667
0,3;1,9;4,1;2,1
2,4;1,3;3,5;2,4
1,3;1,3;2,3;1,633333333
2,1;0,7;4,8;2,533333333
0,9;0;4,1;1,666666667
1,9;0,9;4,1;2,3
1,9;1,8;5,1;2,933333333
0,3;1,2;4,5;2
1,1;2;4,6;2,566666667
3;1,6;3,6;2,733333333
4,7;1,9;2,6;3,066666667
4,3;2,5;2,5;3,1
3,2;1,4;1,4;2
3;0,9;1;1,633333333
2,7;0,8;0,4;1,3
0,2;0,8;0;0,333333333
1,3;1,1;0,2;0,866666667
0,3;2,2;0,8;1,1
1,5;5,2;1,7;2,8
1,6;3,8;1,3;2,233333333
1,3;3,1;0,5;1,633333333
1,4;1,9;0,6;1,3
0,4;2,5;0,4;1,1
1;2,7;0,2;1,3
2,1;0,8;0,4;1,1
1,6;0,5;1,5;1,2
1;0,1;0,3;0,466666667
0,9;0,1;0;0,333333333
0,5;0,1;0,3;0,3
0,7;0;0;0,233333333
0,6;0,1;0;0,233333333
0;0,1;0;0,033333333
0,1;0,7;0,1;0,3
0,9;0,6;1;0,833333333
1,8;0,1;1,1;1
0,2;0,4;1,2;0,6
0;0,7;1,5;0,733333333
0;0;0,9;0,3
0;0;0,1;0,033333333
0,2;0;0;0,066666667
0,3;0;0;0,1
0,2;0;0;0,066666667
0;0,3;1,4;0,566666667
0,1;0;0,9;0,333333333
0,4;0;0,2;0,2
1,7;0;0,4;0,7
1,9;0,4;0;0,766666667
0,1;0,1;0;0,066666667
0,4;0;0;0,133333333
1,7;0,7;0;0,8
1,7;1,2;0,3;1,066666667
2,2;0,6;0,7;1,166666667
0,6;0;0,4;0,333333333
0;0,4;0;0,133333333
0;1,9;0,1;0,666666667
0;1,9;0;0,633333333
0,4;1,5;0;0,633333333
0,7;0,2;0;0,3
0,6;1,3;0;0,633333333
1,4;0,2;0,2;0,6
0;0;0,3;0,1
0;0,1;0,1;0,066666667
0;0,5;0,6;0,366666667
0;1,1;0,2;0,433333333
0;1,9;0,1;0,666666667
0,1;1,5;0,7;0,766666667
0;0,6;0,1;0,233333333
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0,2;0,066666667
0;0,4;0,1;0,166666667
0;0,3;0;0,1
0;0;0,1;0,033333333
0;0;0,9;0,3
0,2;0,1;1,4;0,566666667
0,3;0,7;0,8;0,6
0;1,3;0,7;0,666666667
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0,1;0,033333333
0;0;0,1;0,033333333
0;0;0,4;0,133333333
0,1;0;0,3;0,133333333
1,3;0;0;0,433333333
1;0;0;0,333333333
0;0;0;0
0,8;0;0,1;0,3
0;0;0,6;0,2
0;0;0;0
0,1;0;0,1;0,066666667
0,5;0;0,2;0,233333333
1,1;0;0,4;0,5
1,3;0;0;0,433333333
0,6;0;0;0,2
0,5;0;0,2;0,233333333
0,2;0,1;0,7;0,333333333
0;0;0;0
0;0;1,1;0,366666667
0;0,3;0,3;0,2
0,1;0;0;0,033333333
0,5;0,6;0;0,366666667
0,7;0,7;0,6;0,666666667
0,5;1,4;0;0,633333333
1,5;2,1;0,1;1,233333333
0,1;2,7;1,1;1,3
0,4;0,6;1,1;0,7
1,5;0;1,3;0,933333333
1,9;0,7;1,3;1,3
1,7;1,8;0,5;1,333333333
2,6;1,3;0,1;1,333333333
3;0;0;1
3,1;0,2;0;1,1
0,4;2,3;0;0,9
0;1,7;0,3;0,666666667
0,5;0,9;1,4;0,933333333
2,4;0,2;0,9;1,166666667
1,6;1,1;0,1;0,933333333
0,9;0,1;0,9;0,633333333
2,7;0;0,4;1,033333333
3;2;0,6;1,866666667
2,6;3,2;1,2;2,333333333
3,7;2,5;1,9;2,7
1,9;2,1;3,8;2,6
0,4;2,9;2,2;1,833333333
0,1;2,5;0,4;1
0,1;0,1;0,5;0,233333333
0,3;1,3;0;0,533333333
0,1;3,9;0,1;1,366666667
0,3;3;0,4;1,233333333
0,5;0,7;1,2;0,8
0,6;0,7;2,4;1,233333333
0,6;0,4;2,7;1,233333333
0,6;0,7;1,7;1
4,6;1,2;1,9;2,566666667
3,9;3,1;1,9;2,966666667
3,9;2,3;1,8;2,666666667
6;3,5;2,2;3,9
5,8;3,2;2,7;3,9
5,3;2,2;1,7;3,066666667
1,8;2,7;4,8;3,1
3;2;4,5;3,166666667
2,6;3,3;4,9;3,6
1;6;3,3;3,433333333
2,8;6,2;3,7;4,233333333
1,1;4,9;4,4;3,466666667
1,3;4,7;1,4;2,466666667
0,5;6,4;3;3,3
2,3;5,6;5,3;4,4
2,1;7,5;3,4;4,333333333
2,7;6,7;3,1;4,166666667
3,1;5;0,2;2,766666667
