"Time (CET/CEST)","BZN|AT > BZN|DE-LU Day Ahead [MW]","BZN|AT > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|AT Day Ahead [MW]","BZN|DE-LU > BZN|AT Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","61","61","4940","4940"
"01.01.2019 01:00 - 01.01.2019 02:00","60","60","5073","5073"
"01.01.2019 02:00 - 01.01.2019 03:00","20","20","4284","4284"
"01.01.2019 03:00 - 01.01.2019 04:00","3","3","4273","4273"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","4961","4961"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","4984","4984"
"01.01.2019 06:00 - 01.01.2019 07:00","2","2","4819","4819"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","4751","4751"
"01.01.2019 08:00 - 01.01.2019 09:00","1","1","4676","4676"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0","5170","5170"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0","5513","5513"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0","5590","5590"
"01.01.2019 12:00 - 01.01.2019 13:00","12","12","5506","5506"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0","5126","5126"
"01.01.2019 14:00 - 01.01.2019 15:00","1","1","4930","4930"
"01.01.2019 15:00 - 01.01.2019 16:00","11","11","4813","4813"
"01.01.2019 16:00 - 01.01.2019 17:00","16","16","4807","4807"
"01.01.2019 17:00 - 01.01.2019 18:00","33","33","4354","4354"
"01.01.2019 18:00 - 01.01.2019 19:00","16","16","4381","4381"
"01.01.2019 19:00 - 01.01.2019 20:00","3","3","4296","4296"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","4090","4090"
"01.01.2019 21:00 - 01.01.2019 22:00","206","206","4304","4304"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","4299","4299"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","3917","3917"
"02.01.2019 00:00 - 02.01.2019 01:00","0","82","3513","3519"
"02.01.2019 01:00 - 02.01.2019 02:00","0","149","3493","3493"
"02.01.2019 02:00 - 02.01.2019 03:00","0","68","3510","3510"
"02.01.2019 03:00 - 02.01.2019 04:00","0","54","3489","3512"
"02.01.2019 04:00 - 02.01.2019 05:00","0","4","3484","3486"
"02.01.2019 05:00 - 02.01.2019 06:00","0","1","3474","3474"
"02.01.2019 06:00 - 02.01.2019 07:00","0","86","3920","3920"
"02.01.2019 07:00 - 02.01.2019 08:00","0","97","3743","3743"
"02.01.2019 08:00 - 02.01.2019 09:00","0","134","2516","2516"
"02.01.2019 09:00 - 02.01.2019 10:00","0","153","2841","2841"
"02.01.2019 10:00 - 02.01.2019 11:00","0","183","3083","3083"
"02.01.2019 11:00 - 02.01.2019 12:00","0","33","3244","3244"
"02.01.2019 12:00 - 02.01.2019 13:00","0","31","3350","3350"
"02.01.2019 13:00 - 02.01.2019 14:00","0","20","2967","2967"
"02.01.2019 14:00 - 02.01.2019 15:00","0","102","2934","2934"
"02.01.2019 15:00 - 02.01.2019 16:00","0","23","2560","2560"
"02.01.2019 16:00 - 02.01.2019 17:00","0","10","2697","2697"
"02.01.2019 17:00 - 02.01.2019 18:00","0","15","2573","2573"
"02.01.2019 18:00 - 02.01.2019 19:00","0","14","2384","2384"
"02.01.2019 19:00 - 02.01.2019 20:00","0","5","2112","2112"
"02.01.2019 20:00 - 02.01.2019 21:00","0","9","1926","1926"
"02.01.2019 21:00 - 02.01.2019 22:00","0","20","2008","2008"
"02.01.2019 22:00 - 02.01.2019 23:00","0","11","2041","2041"
"02.01.2019 23:00 - 03.01.2019 00:00","0","0","1802","1802"
"03.01.2019 00:00 - 03.01.2019 01:00","0","0","2240","2240"
"03.01.2019 01:00 - 03.01.2019 02:00","0","0","1330","1330"
"03.01.2019 02:00 - 03.01.2019 03:00","0","0","987","987"
"03.01.2019 03:00 - 03.01.2019 04:00","0","0","651","651"
"03.01.2019 04:00 - 03.01.2019 05:00","0","0","939","939"
"03.01.2019 05:00 - 03.01.2019 06:00","0","0","1701","1701"
"03.01.2019 06:00 - 03.01.2019 07:00","0","43","1613","1613"
"03.01.2019 07:00 - 03.01.2019 08:00","0","1","1192","1192"
"03.01.2019 08:00 - 03.01.2019 09:00","0","0","1130","1130"
"03.01.2019 09:00 - 03.01.2019 10:00","0","0","2530","2636"
"03.01.2019 10:00 - 03.01.2019 11:00","0","0","2646","2646"
"03.01.2019 11:00 - 03.01.2019 12:00","0","0","1910","1910"
"03.01.2019 12:00 - 03.01.2019 13:00","0","964","2000","2000"
"03.01.2019 13:00 - 03.01.2019 14:00","0","1219","1596","1596"
"03.01.2019 14:00 - 03.01.2019 15:00","0","200","1540","1541"
"03.01.2019 15:00 - 03.01.2019 16:00","0","16","803","803"
"03.01.2019 16:00 - 03.01.2019 17:00","0","93","629","631"
"03.01.2019 17:00 - 03.01.2019 18:00","0","22","0","1"
"03.01.2019 18:00 - 03.01.2019 19:00","0","0","740","740"
"03.01.2019 19:00 - 03.01.2019 20:00","0","0","614","629"
"03.01.2019 20:00 - 03.01.2019 21:00","0","0","1064","1214"
"03.01.2019 21:00 - 03.01.2019 22:00","0","0","1689","1771"
"03.01.2019 22:00 - 03.01.2019 23:00","0","24","1758","1782"
"03.01.2019 23:00 - 04.01.2019 00:00","0","0","1041","1350"
"04.01.2019 00:00 - 04.01.2019 01:00","0","26","1571","1571"
"04.01.2019 01:00 - 04.01.2019 02:00","0","0","1251","1251"
"04.01.2019 02:00 - 04.01.2019 03:00","0","56","1256","1311"
"04.01.2019 03:00 - 04.01.2019 04:00","0","42","1276","1319"
"04.01.2019 04:00 - 04.01.2019 05:00","0","162","2128","2174"
"04.01.2019 05:00 - 04.01.2019 06:00","0","0","1797","1965"
"04.01.2019 06:00 - 04.01.2019 07:00","0","0","2144","2432"
"04.01.2019 07:00 - 04.01.2019 08:00","0","0","2533","2601"
"04.01.2019 08:00 - 04.01.2019 09:00","0","0","2929","2951"
"04.01.2019 09:00 - 04.01.2019 10:00","0","0","3131","3189"
"04.01.2019 10:00 - 04.01.2019 11:00","0","25","3333","3333"
"04.01.2019 11:00 - 04.01.2019 12:00","0","106","3514","3514"
"04.01.2019 12:00 - 04.01.2019 13:00","0","0","3514","3514"
"04.01.2019 13:00 - 04.01.2019 14:00","0","0","3680","3680"
"04.01.2019 14:00 - 04.01.2019 15:00","0","0","4144","4144"
"04.01.2019 15:00 - 04.01.2019 16:00","0","7","4184","4185"
"04.01.2019 16:00 - 04.01.2019 17:00","0","8","4470","4471"
"04.01.2019 17:00 - 04.01.2019 18:00","0","26","4737","4737"
"04.01.2019 18:00 - 04.01.2019 19:00","0","213","4527","4527"
"04.01.2019 19:00 - 04.01.2019 20:00","0","182","4219","4228"
"04.01.2019 20:00 - 04.01.2019 21:00","0","52","4000","4007"
"04.01.2019 21:00 - 04.01.2019 22:00","0","189","3557","3603"
"04.01.2019 22:00 - 04.01.2019 23:00","0","0","4511","4511"
"04.01.2019 23:00 - 05.01.2019 00:00","0","489","4524","4524"
"05.01.2019 00:00 - 05.01.2019 01:00","0","11","4093","4095"
"05.01.2019 01:00 - 05.01.2019 02:00","0","29","3987","3987"
"05.01.2019 02:00 - 05.01.2019 03:00","0","1","3577","3577"
"05.01.2019 03:00 - 05.01.2019 04:00","0","8","3480","3480"
"05.01.2019 04:00 - 05.01.2019 05:00","0","2","3630","3630"
"05.01.2019 05:00 - 05.01.2019 06:00","0","1","3301","3301"
"05.01.2019 06:00 - 05.01.2019 07:00","0","1","3190","3190"
"05.01.2019 07:00 - 05.01.2019 08:00","0","10","3529","3529"
"05.01.2019 08:00 - 05.01.2019 09:00","0","7","3764","3764"
"05.01.2019 09:00 - 05.01.2019 10:00","0","3","3920","3921"
"05.01.2019 10:00 - 05.01.2019 11:00","0","5","4203","4206"
"05.01.2019 11:00 - 05.01.2019 12:00","0","1","4024","4024"
"05.01.2019 12:00 - 05.01.2019 13:00","0","0","3809","3909"
"05.01.2019 13:00 - 05.01.2019 14:00","0","0","3727","3827"
"05.01.2019 14:00 - 05.01.2019 15:00","0","0","3553","3703"
"05.01.2019 15:00 - 05.01.2019 16:00","0","0","3619","3699"
"05.01.2019 16:00 - 05.01.2019 17:00","0","0","3813","3895"
"05.01.2019 17:00 - 05.01.2019 18:00","0","0","3830","3851"
"05.01.2019 18:00 - 05.01.2019 19:00","0","0","3553","3634"
"05.01.2019 19:00 - 05.01.2019 20:00","0","1","3260","3261"
"05.01.2019 20:00 - 05.01.2019 21:00","0","0","3183","3473"
"05.01.2019 21:00 - 05.01.2019 22:00","0","0","2804","3052"
"05.01.2019 22:00 - 05.01.2019 23:00","0","0","3018","3338"
"05.01.2019 23:00 - 06.01.2019 00:00","0","1","2404","2405"
"06.01.2019 00:00 - 06.01.2019 01:00","0","0","2008","2434"
"06.01.2019 01:00 - 06.01.2019 02:00","0","0","2606","2606"
"06.01.2019 02:00 - 06.01.2019 03:00","0","0","2392","2660"
"06.01.2019 03:00 - 06.01.2019 04:00","0","0","2127","2448"
"06.01.2019 04:00 - 06.01.2019 05:00","0","0","1984","1984"
"06.01.2019 05:00 - 06.01.2019 06:00","0","3","2446","2756"
"06.01.2019 06:00 - 06.01.2019 07:00","0","0","2243","2893"
"06.01.2019 07:00 - 06.01.2019 08:00","0","0","2096","2687"
"06.01.2019 08:00 - 06.01.2019 09:00","0","41","2830","2835"
"06.01.2019 09:00 - 06.01.2019 10:00","0","0","3096","3318"
"06.01.2019 10:00 - 06.01.2019 11:00","0","0","3127","3225"
"06.01.2019 11:00 - 06.01.2019 12:00","0","0","2735","2770"
"06.01.2019 12:00 - 06.01.2019 13:00","0","15","2557","2676"
