"Time (CET/CEST)","BZN|CH > BZN|DE-LU Day Ahead [MW]","BZN|CH > BZN|DE-LU Total [MW]","BZN|DE-LU > BZN|CH Day Ahead [MW]","BZN|DE-LU > BZN|CH Total [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","0","800","800"
"01.01.2019 01:00 - 01.01.2019 02:00","1","1","801","801"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0","800","800"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0","800","800"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0","800","800"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0","800","800"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0","800","800"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","800","800"
"01.01.2019 08:00 - 01.01.2019 09:00","0","0","800","800"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0","800","800"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0","800","800"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0","800","800"
"01.01.2019 12:00 - 01.01.2019 13:00","0","0","800","800"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0","800","800"
"01.01.2019 14:00 - 01.01.2019 15:00","0","0","800","800"
"01.01.2019 15:00 - 01.01.2019 16:00","0","0","800","800"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","800","800"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","800","800"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","800","800"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","800","800"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","800","800"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","800","800"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","800","800"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","800","800"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0","800","800"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0","800","800"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0","800","800"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0","800","800"
"02.01.2019 04:00 - 02.01.2019 05:00","0","0","800","800"
"02.01.2019 05:00 - 02.01.2019 06:00","0","0","800","800"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0","800","800"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0","800","800"
"02.01.2019 08:00 - 02.01.2019 09:00","0","0","800","800"
"02.01.2019 09:00 - 02.01.2019 10:00","0","0","800","800"
"02.01.2019 10:00 - 02.01.2019 11:00","0","0","800","800"
"02.01.2019 11:00 - 02.01.2019 12:00","0","0","800","800"
"02.01.2019 12:00 - 02.01.2019 13:00","0","0","799","800"
"02.01.2019 13:00 - 02.01.2019 14:00","0","0","800","800"
"02.01.2019 14:00 - 02.01.2019 15:00","1","1","800","801"
"02.01.2019 15:00 - 02.01.2019 16:00","0","0","800","800"
"02.01.2019 16:00 - 02.01.2019 17:00","0","4","800","800"
"02.01.2019 17:00 - 02.01.2019 18:00","51","51","799","851"
"02.01.2019 18:00 - 02.01.2019 19:00","50","50","750","850"
"02.01.2019 19:00 - 02.01.2019 20:00","0","0","750","800"
"02.01.2019 20:00 - 02.01.2019 21:00","0","0","749","800"
"02.01.2019 21:00 - 02.01.2019 22:00","0","0","750","800"
"02.01.2019 22:00 - 02.01.2019 23:00","0","2","775","802"
"02.01.2019 23:00 - 03.01.2019 00:00","1","1","800","801"
"03.01.2019 00:00 - 03.01.2019 01:00","0","0","1199","1200"
"03.01.2019 01:00 - 03.01.2019 02:00","0","0","1199","1194"
"03.01.2019 02:00 - 03.01.2019 03:00","1","10","1200","1200"
"03.01.2019 03:00 - 03.01.2019 04:00","1","116","1200","1200"
"03.01.2019 04:00 - 03.01.2019 05:00","0","96","1200","1200"
"03.01.2019 05:00 - 03.01.2019 06:00","1","31","1135","1216"
"03.01.2019 06:00 - 03.01.2019 07:00","0","10","1200","1210"
"03.01.2019 07:00 - 03.01.2019 08:00","100","100","1150","1300"
"03.01.2019 08:00 - 03.01.2019 09:00","100","100","1149","1300"
"03.01.2019 09:00 - 03.01.2019 10:00","0","0","1175","1200"
"03.01.2019 10:00 - 03.01.2019 11:00","0","0","1200","1200"
"03.01.2019 11:00 - 03.01.2019 12:00","0","10","1357","1400"
"03.01.2019 12:00 - 03.01.2019 13:00","0","212","1400","1400"
"03.01.2019 13:00 - 03.01.2019 14:00","50","322","1235","1450"
"03.01.2019 14:00 - 03.01.2019 15:00","86","176","1299","1479"
"03.01.2019 15:00 - 03.01.2019 16:00","0","117","1039","1400"
"03.01.2019 16:00 - 03.01.2019 17:00","25","25","1350","1825"
"03.01.2019 17:00 - 03.01.2019 18:00","0","25","1505","1798"
"03.01.2019 18:00 - 03.01.2019 19:00","25","29","1431","1829"
"03.01.2019 19:00 - 03.01.2019 20:00","25","25","1512","1821"
"03.01.2019 20:00 - 03.01.2019 21:00","0","0","1719","1798"
"03.01.2019 21:00 - 03.01.2019 22:00","25","25","1650","1766"
"03.01.2019 22:00 - 03.01.2019 23:00","0","6","1725","1799"
"03.01.2019 23:00 - 04.01.2019 00:00","0","0","1716","1799"
"04.01.2019 00:00 - 04.01.2019 01:00","0","0","1400","1400"
"04.01.2019 01:00 - 04.01.2019 02:00","0","0","1400","1400"
"04.01.2019 02:00 - 04.01.2019 03:00","0","0","1400","1400"
"04.01.2019 03:00 - 04.01.2019 04:00","0","0","1400","1400"
"04.01.2019 04:00 - 04.01.2019 05:00","0","484","1400","1382"
"04.01.2019 05:00 - 04.01.2019 06:00","0","480","1200","1200"
"04.01.2019 06:00 - 04.01.2019 07:00","0","0","1199","1200"
"04.01.2019 07:00 - 04.01.2019 08:00","0","0","1200","1200"
"04.01.2019 08:00 - 04.01.2019 09:00","0","0","800","800"
"04.01.2019 09:00 - 04.01.2019 10:00","0","0","800","800"
"04.01.2019 10:00 - 04.01.2019 11:00","0","0","800","800"
"04.01.2019 11:00 - 04.01.2019 12:00","0","0","799","800"
"04.01.2019 12:00 - 04.01.2019 13:00","0","0","799","800"
"04.01.2019 13:00 - 04.01.2019 14:00","0","0","800","800"
"04.01.2019 14:00 - 04.01.2019 15:00","0","0","799","800"
"04.01.2019 15:00 - 04.01.2019 16:00","0","0","800","800"
"04.01.2019 16:00 - 04.01.2019 17:00","0","0","799","800"
"04.01.2019 17:00 - 04.01.2019 18:00","1","2","800","795"
"04.01.2019 18:00 - 04.01.2019 19:00","0","0","800","800"
"04.01.2019 19:00 - 04.01.2019 20:00","0","0","800","800"
"04.01.2019 20:00 - 04.01.2019 21:00","0","0","800","800"
"04.01.2019 21:00 - 04.01.2019 22:00","0","0","799","800"
"04.01.2019 22:00 - 04.01.2019 23:00","0","0","800","800"
"04.01.2019 23:00 - 05.01.2019 00:00","0","0","800","800"
"05.01.2019 00:00 - 05.01.2019 01:00","1","1","800","801"
"05.01.2019 01:00 - 05.01.2019 02:00","0","0","800","800"
"05.01.2019 02:00 - 05.01.2019 03:00","0","0","800","800"
"05.01.2019 03:00 - 05.01.2019 04:00","0","0","800","800"
"05.01.2019 04:00 - 05.01.2019 05:00","0","0","800","800"
"05.01.2019 05:00 - 05.01.2019 06:00","0","0","800","800"
"05.01.2019 06:00 - 05.01.2019 07:00","0","0","800","800"
"05.01.2019 07:00 - 05.01.2019 08:00","0","0","800","800"
"05.01.2019 08:00 - 05.01.2019 09:00","1","1","799","801"
"05.01.2019 09:00 - 05.01.2019 10:00","1","1","800","801"
"05.01.2019 10:00 - 05.01.2019 11:00","1","1","800","801"
"05.01.2019 11:00 - 05.01.2019 12:00","0","0","800","800"
"05.01.2019 12:00 - 05.01.2019 13:00","0","0","800","800"
"05.01.2019 13:00 - 05.01.2019 14:00","0","0","800","800"
"05.01.2019 14:00 - 05.01.2019 15:00","0","0","800","800"
"05.01.2019 15:00 - 05.01.2019 16:00","1","1","800","799"
"05.01.2019 16:00 - 05.01.2019 17:00","1","1","800","801"
"05.01.2019 17:00 - 05.01.2019 18:00","1","1","800","801"
"05.01.2019 18:00 - 05.01.2019 19:00","1","1","800","801"
"05.01.2019 19:00 - 05.01.2019 20:00","1","1","800","801"
"05.01.2019 20:00 - 05.01.2019 21:00","0","0","800","800"
"05.01.2019 21:00 - 05.01.2019 22:00","1","1","800","801"
"05.01.2019 22:00 - 05.01.2019 23:00","0","0","800","800"
"05.01.2019 23:00 - 06.01.2019 00:00","0","0","800","800"
"06.01.2019 00:00 - 06.01.2019 01:00","0","0","1198","1200"
"06.01.2019 01:00 - 06.01.2019 02:00","0","0","1199","1200"
"06.01.2019 02:00 - 06.01.2019 03:00","0","300","1199","1200"
"06.01.2019 03:00 - 06.01.2019 04:00","1","409","1200","1200"
"06.01.2019 04:00 - 06.01.2019 05:00","0","800","1200","1200"
"06.01.2019 05:00 - 06.01.2019 06:00","0","809","1400","1400"
"06.01.2019 06:00 - 06.01.2019 07:00","1","809","1400","1340"
"06.01.2019 07:00 - 06.01.2019 08:00","0","801","1400","1400"
"06.01.2019 08:00 - 06.01.2019 09:00","0","800","1400","1400"
"06.01.2019 09:00 - 06.01.2019 10:00","0","800","1800","1800"
"06.01.2019 10:00 - 06.01.2019 11:00","1","801","1799","1801"
"06.01.2019 11:00 - 06.01.2019 12:00","12","32","1775","1812"
"06.01.2019 12:00 - 06.01.2019 13:00","0","18","1792","1805"
"06.01.2019 13:00 - 06.01.2019 14:00","75","75","1775","1875"
"06.01.2019 14:00 - 06.01.2019 15:00","0","0","1800","1800"
"06.01.2019 15:00 - 06.01.2019 16:00","0","0","1745","1800"
"06.01.2019 16:00 - 06.01.2019 17:00","175","130","1466","1646"
"06.01.2019 17:00 - 06.01.2019 18:00","176","180","1610","1610"
"06.01.2019 18:00 - 06.01.2019 19:00","89","89","1490","1574"
"06.01.2019 19:00 - 06.01.2019 20:00","0","0","1797","1800"
"06.01.2019 20:00 - 06.01.2019 21:00","32","32","1800","1832"
"06.01.2019 21:00 - 06.01.2019 22:00","101","101","1799","1901"
"06.01.2019 22:00 - 06.01.2019 23:00","50","60","1800","1850"
"06.01.2019 23:00 - 07.01.2019 00:00","0","800","1800","1800"
"07.01.2019 00:00 - 07.01.2019 01:00","0","0","1765","1800"
