"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","N/A","810","n/e","0"
"01.01.2017 01:00 - 01.01.2017 02:00","N/A","819","n/e","0"
"01.01.2017 02:00 - 01.01.2017 03:00","N/A","884","n/e","0"
"01.01.2017 03:00 - 01.01.2017 04:00","N/A","900","n/e","0"
"01.01.2017 04:00 - 01.01.2017 05:00","N/A","961","n/e","0"
"01.01.2017 05:00 - 01.01.2017 06:00","N/A","875","n/e","0"
"01.01.2017 06:00 - 01.01.2017 07:00","N/A","875","n/e","0"
"01.01.2017 07:00 - 01.01.2017 08:00","N/A","875","n/e","0"
"01.01.2017 08:00 - 01.01.2017 09:00","N/A","940","n/e","0"
"01.01.2017 09:00 - 01.01.2017 10:00","N/A","661","n/e","0"
"01.01.2017 10:00 - 01.01.2017 11:00","N/A","860","n/e","0"
"01.01.2017 11:00 - 01.01.2017 12:00","N/A","732","n/e","0"
"01.01.2017 12:00 - 01.01.2017 13:00","N/A","787","n/e","0"
"01.01.2017 13:00 - 01.01.2017 14:00","N/A","864","n/e","0"
"01.01.2017 14:00 - 01.01.2017 15:00","N/A","494","n/e","10"
"01.01.2017 15:00 - 01.01.2017 16:00","N/A","945","n/e","49"
"01.01.2017 16:00 - 01.01.2017 17:00","N/A","1022","n/e","0"
"01.01.2017 17:00 - 01.01.2017 18:00","N/A","1047","n/e","0"
"01.01.2017 18:00 - 01.01.2017 19:00","N/A","825","n/e","0"
"01.01.2017 19:00 - 01.01.2017 20:00","N/A","827","n/e","0"
"01.01.2017 20:00 - 01.01.2017 21:00","N/A","747","n/e","0"
"01.01.2017 21:00 - 01.01.2017 22:00","N/A","950","n/e","0"
"01.01.2017 22:00 - 01.01.2017 23:00","N/A","983","n/e","0"
"01.01.2017 23:00 - 02.01.2017 00:00","N/A","912","n/e","0"
"02.01.2017 00:00 - 02.01.2017 01:00","N/A","1156","n/e","0"
"02.01.2017 01:00 - 02.01.2017 02:00","N/A","1115","n/e","0"
"02.01.2017 02:00 - 02.01.2017 03:00","N/A","1115","n/e","0"
"02.01.2017 03:00 - 02.01.2017 04:00","N/A","1091","n/e","0"
"02.01.2017 04:00 - 02.01.2017 05:00","N/A","1105","n/e","0"
"02.01.2017 05:00 - 02.01.2017 06:00","N/A","1070","n/e","0"
"02.01.2017 06:00 - 02.01.2017 07:00","N/A","1090","n/e","0"
"02.01.2017 07:00 - 02.01.2017 08:00","N/A","875","n/e","0"
"02.01.2017 08:00 - 02.01.2017 09:00","N/A","525","n/e","0"
"02.01.2017 09:00 - 02.01.2017 10:00","N/A","768","n/e","0"
"02.01.2017 10:00 - 02.01.2017 11:00","N/A","798","n/e","0"
"02.01.2017 11:00 - 02.01.2017 12:00","N/A","905","n/e","0"
"02.01.2017 12:00 - 02.01.2017 13:00","N/A","619","n/e","0"
"02.01.2017 13:00 - 02.01.2017 14:00","N/A","499","n/e","0"
"02.01.2017 14:00 - 02.01.2017 15:00","N/A","870","n/e","0"
"02.01.2017 15:00 - 02.01.2017 16:00","N/A","772","n/e","0"
"02.01.2017 16:00 - 02.01.2017 17:00","N/A","1077","n/e","0"
"02.01.2017 17:00 - 02.01.2017 18:00","N/A","1104","n/e","0"
"02.01.2017 18:00 - 02.01.2017 19:00","N/A","1079","n/e","0"
"02.01.2017 19:00 - 02.01.2017 20:00","N/A","1046","n/e","0"
"02.01.2017 20:00 - 02.01.2017 21:00","N/A","772","n/e","0"
"02.01.2017 21:00 - 02.01.2017 22:00","N/A","980","n/e","0"
"02.01.2017 22:00 - 02.01.2017 23:00","N/A","1018","n/e","0"
"02.01.2017 23:00 - 03.01.2017 00:00","N/A","955","n/e","0"
"03.01.2017 00:00 - 03.01.2017 01:00","N/A","1340","n/e","0"
"03.01.2017 01:00 - 03.01.2017 02:00","N/A","1335","n/e","0"
"03.01.2017 02:00 - 03.01.2017 03:00","N/A","1336","n/e","0"
"03.01.2017 03:00 - 03.01.2017 04:00","N/A","1330","n/e","0"
"03.01.2017 04:00 - 03.01.2017 05:00","N/A","1260","n/e","0"
"03.01.2017 05:00 - 03.01.2017 06:00","N/A","1090","n/e","0"
"03.01.2017 06:00 - 03.01.2017 07:00","N/A","925","n/e","0"
"03.01.2017 07:00 - 03.01.2017 08:00","N/A","810","n/e","0"
"03.01.2017 08:00 - 03.01.2017 09:00","N/A","833","n/e","0"
"03.01.2017 09:00 - 03.01.2017 10:00","N/A","1001","n/e","0"
"03.01.2017 10:00 - 03.01.2017 11:00","N/A","840","n/e","0"
"03.01.2017 11:00 - 03.01.2017 12:00","N/A","740","n/e","0"
"03.01.2017 12:00 - 03.01.2017 13:00","N/A","255","n/e","0"
"03.01.2017 13:00 - 03.01.2017 14:00","N/A","75","n/e","0"
"03.01.2017 14:00 - 03.01.2017 15:00","N/A","75","n/e","0"
"03.01.2017 15:00 - 03.01.2017 16:00","N/A","225","n/e","0"
"03.01.2017 16:00 - 03.01.2017 17:00","N/A","225","n/e","0"
"03.01.2017 17:00 - 03.01.2017 18:00","N/A","457","n/e","0"
"03.01.2017 18:00 - 03.01.2017 19:00","N/A","350","n/e","0"
"03.01.2017 19:00 - 03.01.2017 20:00","N/A","150","n/e","0"
"03.01.2017 20:00 - 03.01.2017 21:00","N/A","0","n/e","0"
"03.01.2017 21:00 - 03.01.2017 22:00","N/A","0","n/e","0"
"03.01.2017 22:00 - 03.01.2017 23:00","N/A","0","n/e","0"
"03.01.2017 23:00 - 04.01.2017 00:00","N/A","0","n/e","0"
"04.01.2017 00:00 - 04.01.2017 01:00","N/A","0","n/e","0"
"04.01.2017 01:00 - 04.01.2017 02:00","N/A","0","n/e","0"
"04.01.2017 02:00 - 04.01.2017 03:00","N/A","0","n/e","0"
"04.01.2017 03:00 - 04.01.2017 04:00","N/A","0","n/e","0"
"04.01.2017 04:00 - 04.01.2017 05:00","N/A","705","n/e","0"
"04.01.2017 05:00 - 04.01.2017 06:00","N/A","635","n/e","0"
"04.01.2017 06:00 - 04.01.2017 07:00","N/A","100","n/e","0"
"04.01.2017 07:00 - 04.01.2017 08:00","N/A","170","n/e","0"
"04.01.2017 08:00 - 04.01.2017 09:00","N/A","600","n/e","0"
"04.01.2017 09:00 - 04.01.2017 10:00","N/A","580","n/e","0"
"04.01.2017 10:00 - 04.01.2017 11:00","N/A","515","n/e","0"
"04.01.2017 11:00 - 04.01.2017 12:00","N/A","540","n/e","0"
"04.01.2017 12:00 - 04.01.2017 13:00","N/A","677","n/e","200"
"04.01.2017 13:00 - 04.01.2017 14:00","N/A","692","n/e","200"
"04.01.2017 14:00 - 04.01.2017 15:00","N/A","670","n/e","200"
"04.01.2017 15:00 - 04.01.2017 16:00","N/A","760","n/e","200"
"04.01.2017 16:00 - 04.01.2017 17:00","N/A","832","n/e","0"
"04.01.2017 17:00 - 04.01.2017 18:00","N/A","915","n/e","0"
"04.01.2017 18:00 - 04.01.2017 19:00","N/A","852","n/e","0"
"04.01.2017 19:00 - 04.01.2017 20:00","N/A","951","n/e","0"
"04.01.2017 20:00 - 04.01.2017 21:00","N/A","1130","n/e","0"
