"Time (CET/CEST),""BZN|PL > BZN|DE-AT-LU Day Ahead [MW]"",""BZN|PL > BZN|DE-AT-LU Total [MW]"",""BZN|DE-AT-LU > BZN|PL Day Ahead [MW]"",""BZN|DE-AT-LU > BZN|PL Total [MW]"""
"01.01.2018 00:00 - 01.01.2018 01:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 01:00 - 01.01.2018 02:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 02:00 - 01.01.2018 03:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 03:00 - 01.01.2018 04:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 04:00 - 01.01.2018 05:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 05:00 - 01.01.2018 06:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 06:00 - 01.01.2018 07:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 07:00 - 01.01.2018 08:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 08:00 - 01.01.2018 09:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 09:00 - 01.01.2018 10:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 10:00 - 01.01.2018 11:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 11:00 - 01.01.2018 12:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 12:00 - 01.01.2018 13:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 13:00 - 01.01.2018 14:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 14:00 - 01.01.2018 15:00,""0"",""0"",""n/e"",""0"""
"01.01.2018 15:00 - 01.01.2018 16:00,""0"",""0"",""n/e"",""56"""
"01.01.2018 16:00 - 01.01.2018 17:00,""0"",""0"",""n/e"",""204"""
"01.01.2018 17:00 - 01.01.2018 18:00,""0"",""0"",""n/e"",""444"""
"01.01.2018 18:00 - 01.01.2018 19:00,""0"",""0"",""n/e"",""425"""
"01.01.2018 19:00 - 01.01.2018 20:00,""0"",""0"",""n/e"",""400"""
"01.01.2018 20:00 - 01.01.2018 21:00,""259"",""259"",""n/e"",""401"""
"01.01.2018 21:00 - 01.01.2018 22:00,""174"",""174"",""n/e"",""402"""
"01.01.2018 22:00 - 01.01.2018 23:00,""200"",""200"",""n/e"",""400"""
"01.01.2018 23:00 - 02.01.2018 00:00,""25"",""25"",""n/e"",""201"""
"02.01.2018 00:00 - 02.01.2018 01:00,""0"",""0"",""0"",""0"""
"02.01.2018 01:00 - 02.01.2018 02:00,""0"",""0"",""0"",""0"""
"02.01.2018 02:00 - 02.01.2018 03:00,""0"",""0"",""0"",""0"""
"02.01.2018 03:00 - 02.01.2018 04:00,""0"",""0"",""0"",""0"""
"02.01.2018 04:00 - 02.01.2018 05:00,""0"",""0"",""0"",""0"""
"02.01.2018 05:00 - 02.01.2018 06:00,""0"",""0"",""0"",""0"""
"02.01.2018 06:00 - 02.01.2018 07:00,""0"",""0"",""29"",""29"""
"02.01.2018 07:00 - 02.01.2018 08:00,""0"",""0"",""251"",""251"""
"02.01.2018 08:00 - 02.01.2018 09:00,""0"",""0"",""385"",""385"""
"02.01.2018 09:00 - 02.01.2018 10:00,""0"",""0"",""400"",""400"""
"02.01.2018 10:00 - 02.01.2018 11:00,""0"",""0"",""395"",""395"""
"02.01.2018 11:00 - 02.01.2018 12:00,""0"",""0"",""349"",""349"""
"02.01.2018 12:00 - 02.01.2018 13:00,""0"",""0"",""350"",""350"""
"02.01.2018 13:00 - 02.01.2018 14:00,""0"",""0"",""425"",""425"""
"02.01.2018 14:00 - 02.01.2018 15:00,""0"",""0"",""400"",""400"""
"02.01.2018 15:00 - 02.01.2018 16:00,""130"",""130"",""370"",""500"""
"02.01.2018 16:00 - 02.01.2018 17:00,""75"",""75"",""400"",""425"""
"02.01.2018 17:00 - 02.01.2018 18:00,""131"",""131"",""278"",""376"""
"02.01.2018 18:00 - 02.01.2018 19:00,""140"",""140"",""250"",""250"""
"02.01.2018 19:00 - 02.01.2018 20:00,""105"",""105"",""250"",""450"""
"02.01.2018 20:00 - 02.01.2018 21:00,""0"",""0"",""350"",""350"""
"02.01.2018 21:00 - 02.01.2018 22:00,""0"",""0"",""402"",""425"""
"02.01.2018 22:00 - 02.01.2018 23:00,""0"",""0"",""350"",""350"""
"02.01.2018 23:00 - 03.01.2018 00:00,""0"",""0"",""370"",""370"""
