"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"01.01.2016 00:00 - 01.01.2016 01:00","n/e","0","n/e","3200"
"01.01.2016 01:00 - 01.01.2016 02:00","n/e","140","n/e","3200"
"01.01.2016 02:00 - 01.01.2016 03:00","n/e","159","n/e","3205"
"01.01.2016 03:00 - 01.01.2016 04:00","n/e","140","n/e","3200"
"01.01.2016 04:00 - 01.01.2016 05:00","n/e","189","n/e","3200"
"01.01.2016 05:00 - 01.01.2016 06:00","n/e","209","n/e","3200"
"01.01.2016 06:00 - 01.01.2016 07:00","n/e","175","n/e","3205"
"01.01.2016 07:00 - 01.01.2016 08:00","n/e","264","n/e","3200"
"01.01.2016 08:00 - 01.01.2016 09:00","n/e","211","n/e","3194"
"01.01.2016 09:00 - 01.01.2016 10:00","n/e","157","n/e","3215"
"01.01.2016 10:00 - 01.01.2016 11:00","n/e","153","n/e","3200"
"01.01.2016 11:00 - 01.01.2016 12:00","n/e","71","n/e","3218"
"01.01.2016 12:00 - 01.01.2016 13:00","n/e","165","n/e","3215"
"01.01.2016 13:00 - 01.01.2016 14:00","n/e","50","n/e","3250"
"01.01.2016 14:00 - 01.01.2016 15:00","n/e","0","n/e","3200"
"01.01.2016 15:00 - 01.01.2016 16:00","n/e","0","n/e","3200"
"01.01.2016 16:00 - 01.01.2016 17:00","n/e","0","n/e","3200"
"01.01.2016 17:00 - 01.01.2016 18:00","n/e","1","n/e","3201"
"01.01.2016 18:00 - 01.01.2016 19:00","n/e","4","n/e","3204"
"01.01.2016 19:00 - 01.01.2016 20:00","n/e","1","n/e","3201"
"01.01.2016 20:00 - 01.01.2016 21:00","n/e","0","n/e","3200"
"01.01.2016 21:00 - 01.01.2016 22:00","n/e","0","n/e","3200"
"01.01.2016 22:00 - 01.01.2016 23:00","n/e","0","n/e","3200"
"01.01.2016 23:00 - 02.01.2016 00:00","n/e","1","n/e","3201"
"02.01.2016 00:00 - 02.01.2016 01:00","n/e","0","n/e","3200"
"02.01.2016 01:00 - 02.01.2016 02:00","n/e","0","n/e","3200"
"02.01.2016 02:00 - 02.01.2016 03:00","n/e","0","n/e","3200"
"02.01.2016 03:00 - 02.01.2016 04:00","n/e","0","n/e","3200"
"02.01.2016 04:00 - 02.01.2016 05:00","n/e","0","n/e","3200"
"02.01.2016 05:00 - 02.01.2016 06:00","n/e","0","n/e","3200"
"02.01.2016 06:00 - 02.01.2016 07:00","n/e","0","n/e","3200"
"02.01.2016 07:00 - 02.01.2016 08:00","n/e","0","n/e","3200"
"02.01.2016 08:00 - 02.01.2016 09:00","n/e","1","n/e","3201"
"02.01.2016 09:00 - 02.01.2016 10:00","n/e","0","n/e","3200"
"02.01.2016 10:00 - 02.01.2016 11:00","n/e","0","n/e","3200"
"02.01.2016 11:00 - 02.01.2016 12:00","n/e","0","n/e","3200"
"02.01.2016 12:00 - 02.01.2016 13:00","n/e","0","n/e","3200"
"02.01.2016 13:00 - 02.01.2016 14:00","n/e","0","n/e","3200"
"02.01.2016 14:00 - 02.01.2016 15:00","n/e","0","n/e","3200"
"02.01.2016 15:00 - 02.01.2016 16:00","n/e","0","n/e","3200"
"02.01.2016 16:00 - 02.01.2016 17:00","n/e","0","n/e","3200"
"02.01.2016 17:00 - 02.01.2016 18:00","n/e","4","n/e","3204"
"02.01.2016 18:00 - 02.01.2016 19:00","n/e","1","n/e","3201"
"02.01.2016 19:00 - 02.01.2016 20:00","n/e","1","n/e","3201"
"02.01.2016 20:00 - 02.01.2016 21:00","n/e","20","n/e","3220"
"02.01.2016 21:00 - 02.01.2016 22:00","n/e","15","n/e","3215"
"02.01.2016 22:00 - 02.01.2016 23:00","n/e","0","n/e","3200"
"02.01.2016 23:00 - 03.01.2016 00:00","n/e","1","n/e","3201"
"03.01.2016 00:00 - 03.01.2016 01:00","n/e","0","n/e","3200"
"03.01.2016 01:00 - 03.01.2016 02:00","n/e","25","n/e","3028"
"03.01.2016 02:00 - 03.01.2016 03:00","n/e","25","n/e","3009"
"03.01.2016 03:00 - 03.01.2016 04:00","n/e","16","n/e","3009"
"03.01.2016 04:00 - 03.01.2016 05:00","n/e","26","n/e","3009"
"03.01.2016 05:00 - 03.01.2016 06:00","n/e","15","n/e","3024"
"03.01.2016 06:00 - 03.01.2016 07:00","n/e","0","n/e","3009"
"03.01.2016 07:00 - 03.01.2016 08:00","n/e","0","n/e","2968"
"03.01.2016 08:00 - 03.01.2016 09:00","n/e","115","n/e","3019"
"03.01.2016 09:00 - 03.01.2016 10:00","n/e","0","n/e","3200"
"03.01.2016 10:00 - 03.01.2016 11:00","n/e","0","n/e","3200"
"03.01.2016 11:00 - 03.01.2016 12:00","n/e","0","n/e","3200"
"03.01.2016 12:00 - 03.01.2016 13:00","n/e","0","n/e","3200"
"03.01.2016 13:00 - 03.01.2016 14:00","n/e","0","n/e","3200"
"03.01.2016 14:00 - 03.01.2016 15:00","n/e","0","n/e","3200"
"03.01.2016 15:00 - 03.01.2016 16:00","n/e","0","n/e","3200"
"03.01.2016 16:00 - 03.01.2016 17:00","n/e","0","n/e","3200"
"03.01.2016 17:00 - 03.01.2016 18:00","n/e","1","n/e","3201"
"03.01.2016 18:00 - 03.01.2016 19:00","n/e","4","n/e","3204"
"03.01.2016 19:00 - 03.01.2016 20:00","n/e","1","n/e","3201"
"03.01.2016 20:00 - 03.01.2016 21:00","n/e","0","n/e","3200"
"03.01.2016 21:00 - 03.01.2016 22:00","n/e","0","n/e","3200"
"03.01.2016 22:00 - 03.01.2016 23:00","n/e","0","n/e","3200"
"03.01.2016 23:00 - 04.01.2016 00:00","n/e","1","n/e","3201"
"04.01.2016 00:00 - 04.01.2016 01:00","n/e","25","n/e","3066"
"04.01.2016 01:00 - 04.01.2016 02:00","n/e","50","n/e","3056"
"04.01.2016 02:00 - 04.01.2016 03:00","n/e","51","n/e","3056"
"04.01.2016 03:00 - 04.01.2016 04:00","n/e","25","n/e","3075"
"04.01.2016 04:00 - 04.01.2016 05:00","n/e","25","n/e","3056"
"04.01.2016 05:00 - 04.01.2016 06:00","n/e","75","n/e","3056"
"04.01.2016 06:00 - 04.01.2016 07:00","n/e","25","n/e","3200"
"04.01.2016 07:00 - 04.01.2016 08:00","n/e","0","n/e","3200"
"04.01.2016 08:00 - 04.01.2016 09:00","n/e","0","n/e","3200"
"04.01.2016 09:00 - 04.01.2016 10:00","n/e","0","n/e","3200"
"04.01.2016 10:00 - 04.01.2016 11:00","n/e","0","n/e","3200"
"04.01.2016 11:00 - 04.01.2016 12:00","n/e","0","n/e","3200"
"04.01.2016 12:00 - 04.01.2016 13:00","n/e","0","n/e","3200"
"04.01.2016 13:00 - 04.01.2016 14:00","n/e","0","n/e","3200"
"04.01.2016 14:00 - 04.01.2016 15:00","n/e","0","n/e","3200"
"04.01.2016 15:00 - 04.01.2016 16:00","n/e","0","n/e","3200"
"04.01.2016 16:00 - 04.01.2016 17:00","n/e","0","n/e","3200"
"04.01.2016 17:00 - 04.01.2016 18:00","n/e","0","n/e","3200"
"04.01.2016 18:00 - 04.01.2016 19:00","n/e","0","n/e","3200"
"04.01.2016 19:00 - 04.01.2016 20:00","n/e","0","n/e","3200"
"04.01.2016 20:00 - 04.01.2016 21:00","n/e","0","n/e","3200"
"04.01.2016 21:00 - 04.01.2016 22:00","n/e","0","n/e","3200"
"04.01.2016 22:00 - 04.01.2016 23:00","n/e","15","n/e","3215"
"04.01.2016 23:00 - 05.01.2016 00:00","n/e","0","n/e","3200"
"05.01.2016 00:00 - 05.01.2016 01:00","n/e","85","n/e","3200"
