"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","n/e","189","n/e","1497"
"01.01.2017 01:00 - 01.01.2017 02:00","n/e","20","n/e","985"
"01.01.2017 02:00 - 01.01.2017 03:00","n/e","449","n/e","829"
"01.01.2017 03:00 - 01.01.2017 04:00","n/e","119","n/e","402"
"01.01.2017 04:00 - 01.01.2017 05:00","n/e","200","n/e","1583"
"01.01.2017 05:00 - 01.01.2017 06:00","n/e","200","n/e","2582"
"01.01.2017 06:00 - 01.01.2017 07:00","n/e","181","n/e","2812"
"01.01.2017 07:00 - 01.01.2017 08:00","n/e","63","n/e","2655"
"01.01.2017 08:00 - 01.01.2017 09:00","n/e","100","n/e","2926"
"01.01.2017 09:00 - 01.01.2017 10:00","n/e","36","n/e","3000"
"01.01.2017 10:00 - 01.01.2017 11:00","n/e","0","n/e","3000"
"01.01.2017 11:00 - 01.01.2017 12:00","n/e","600","n/e","2009"
"01.01.2017 12:00 - 01.01.2017 13:00","n/e","550","n/e","2044"
"01.01.2017 13:00 - 01.01.2017 14:00","n/e","431","n/e","2825"
"01.01.2017 14:00 - 01.01.2017 15:00","n/e","800","n/e","3000"
"01.01.2017 15:00 - 01.01.2017 16:00","n/e","900","n/e","2690"
"01.01.2017 16:00 - 01.01.2017 17:00","n/e","1159","n/e","2057"
"01.01.2017 17:00 - 01.01.2017 18:00","n/e","1263","n/e","746"
"01.01.2017 18:00 - 01.01.2017 19:00","n/e","683","n/e","1802"
"01.01.2017 19:00 - 01.01.2017 20:00","n/e","926","n/e","2423"
"01.01.2017 20:00 - 01.01.2017 21:00","n/e","357","n/e","2647"
"01.01.2017 21:00 - 01.01.2017 22:00","n/e","905","n/e","3043"
"01.01.2017 22:00 - 01.01.2017 23:00","n/e","811","n/e","3000"
"01.01.2017 23:00 - 02.01.2017 00:00","n/e","1108","n/e","2155"
"02.01.2017 00:00 - 02.01.2017 01:00","n/e","984","n/e","147"
"02.01.2017 01:00 - 02.01.2017 02:00","n/e","2552","n/e","243"
"02.01.2017 02:00 - 02.01.2017 03:00","n/e","2650","n/e","230"
"02.01.2017 03:00 - 02.01.2017 04:00","n/e","1905","n/e","313"
"02.01.2017 04:00 - 02.01.2017 05:00","n/e","1597","n/e","95"
"02.01.2017 05:00 - 02.01.2017 06:00","n/e","2650","n/e","400"
"02.01.2017 06:00 - 02.01.2017 07:00","n/e","2200","n/e","250"
"02.01.2017 07:00 - 02.01.2017 08:00","n/e","1222","n/e","45"
"02.01.2017 08:00 - 02.01.2017 09:00","n/e","765","n/e","50"
"02.01.2017 09:00 - 02.01.2017 10:00","n/e","1631","n/e","474"
"02.01.2017 10:00 - 02.01.2017 11:00","n/e","1229","n/e","237"
"02.01.2017 11:00 - 02.01.2017 12:00","n/e","1310","n/e","597"
"02.01.2017 12:00 - 02.01.2017 13:00","n/e","1475","n/e","652"
"02.01.2017 13:00 - 02.01.2017 14:00","n/e","423","n/e","285"
"02.01.2017 14:00 - 02.01.2017 15:00","n/e","61","n/e","878"
"02.01.2017 15:00 - 02.01.2017 16:00","n/e","665","n/e","949"
"02.01.2017 16:00 - 02.01.2017 17:00","n/e","735","n/e","633"
"02.01.2017 17:00 - 02.01.2017 18:00","n/e","2420","n/e","320"
"02.01.2017 18:00 - 02.01.2017 19:00","n/e","2301","n/e","101"
"02.01.2017 19:00 - 02.01.2017 20:00","n/e","2377","n/e","202"
"02.01.2017 20:00 - 02.01.2017 21:00","n/e","440","n/e","646"
"02.01.2017 21:00 - 02.01.2017 22:00","n/e","231","n/e","2600"
"02.01.2017 22:00 - 02.01.2017 23:00","n/e","612","n/e","2575"
"02.01.2017 23:00 - 03.01.2017 00:00","n/e","472","n/e","1239"
"03.01.2017 00:00 - 03.01.2017 01:00","n/e","29","n/e","765"
"03.01.2017 01:00 - 03.01.2017 02:00","n/e","28","n/e","553"
"03.01.2017 02:00 - 03.01.2017 03:00","n/e","185","n/e","493"
"03.01.2017 03:00 - 03.01.2017 04:00","n/e","128","n/e","2385"
"03.01.2017 04:00 - 03.01.2017 05:00","n/e","228","n/e","1944"
"03.01.2017 05:00 - 03.01.2017 06:00","n/e","793","n/e","609"
"03.01.2017 06:00 - 03.01.2017 07:00","n/e","1701","n/e","49"
"03.01.2017 07:00 - 03.01.2017 08:00","n/e","1967","n/e","425"
"03.01.2017 08:00 - 03.01.2017 09:00","n/e","2200","n/e","200"
"03.01.2017 09:00 - 03.01.2017 10:00","n/e","2200","n/e","131"
"03.01.2017 10:00 - 03.01.2017 11:00","n/e","2200","n/e","272"
"03.01.2017 11:00 - 03.01.2017 12:00","n/e","2029","n/e","767"
"03.01.2017 12:00 - 03.01.2017 13:00","n/e","1381","n/e","813"
"03.01.2017 13:00 - 03.01.2017 14:00","n/e","416","n/e","865"
"03.01.2017 14:00 - 03.01.2017 15:00","n/e","0","n/e","617"
"03.01.2017 15:00 - 03.01.2017 16:00","n/e","169","n/e","620"
"03.01.2017 16:00 - 03.01.2017 17:00","n/e","889","n/e","591"
"03.01.2017 17:00 - 03.01.2017 18:00","n/e","2200","n/e","0"
"03.01.2017 18:00 - 03.01.2017 19:00","n/e","2200","n/e","0"
"03.01.2017 19:00 - 03.01.2017 20:00","n/e","2200","n/e","0"
"03.01.2017 20:00 - 03.01.2017 21:00","n/e","2288","n/e","494"
"03.01.2017 21:00 - 03.01.2017 22:00","n/e","121","n/e","1666"
"03.01.2017 22:00 - 03.01.2017 23:00","n/e","291","n/e","1163"
"03.01.2017 23:00 - 04.01.2017 00:00","n/e","324","n/e","1047"
"04.01.2017 00:00 - 04.01.2017 01:00","n/e","262","n/e","2837"
"04.01.2017 01:00 - 04.01.2017 02:00","n/e","60","n/e","2044"
"04.01.2017 02:00 - 04.01.2017 03:00","n/e","672","n/e","1221"
"04.01.2017 03:00 - 04.01.2017 04:00","n/e","810","n/e","2040"
"04.01.2017 04:00 - 04.01.2017 05:00","n/e","1296","n/e","3140"
"04.01.2017 05:00 - 04.01.2017 06:00","n/e","1398","n/e","2382"
"04.01.2017 06:00 - 04.01.2017 07:00","n/e","1263","n/e","0"
"04.01.2017 07:00 - 04.01.2017 08:00","n/e","2581","n/e","200"
"04.01.2017 08:00 - 04.01.2017 09:00","n/e","3024","n/e","100"
"04.01.2017 09:00 - 04.01.2017 10:00","n/e","2257","n/e","300"
"04.01.2017 10:00 - 04.01.2017 11:00","n/e","725","n/e","400"
"04.01.2017 11:00 - 04.01.2017 12:00","n/e","1384","n/e","666"
"04.01.2017 12:00 - 04.01.2017 13:00","n/e","1705","n/e","2006"
"04.01.2017 13:00 - 04.01.2017 14:00","n/e","720","n/e","1900"
"04.01.2017 14:00 - 04.01.2017 15:00","n/e","792","n/e","2503"
"04.01.2017 15:00 - 04.01.2017 16:00","n/e","658","n/e","2579"
"04.01.2017 16:00 - 04.01.2017 17:00","n/e","900","n/e","1344"
"04.01.2017 17:00 - 04.01.2017 18:00","n/e","4322","n/e","810"
"04.01.2017 18:00 - 04.01.2017 19:00","n/e","4540","n/e","140"
"04.01.2017 19:00 - 04.01.2017 20:00","n/e","4540","n/e","710"
"04.01.2017 20:00 - 04.01.2017 21:00","n/e","1105","n/e","1442"
