Time (CET/CEST),BZN|ES > BZN|FR Day Ahead [MW],BZN|ES > BZN|FR Total [MW],BZN|FR > BZN|ES Day Ahead [MW],BZN|FR > BZN|ES Total [MW]
01.01.2022 00:00 - 01.01.2022 01:00,0,0,3330,3330
01.01.2022 01:00 - 01.01.2022 02:00,0,0,3330,3330
01.01.2022 02:00 - 01.01.2022 03:00,0,0,3330,3330
01.01.2022 03:00 - 01.01.2022 04:00,0,0,3145,3145
01.01.2022 04:00 - 01.01.2022 05:00,0,9,3145,3145
01.01.2022 05:00 - 01.01.2022 06:00,0,0,3145,3145
01.01.2022 06:00 - 01.01.2022 07:00,0,0,3145,3145
01.01.2022 07:00 - 01.01.2022 08:00,0,0,3006,3006
01.01.2022 08:00 - 01.01.2022 09:00,0,0,3006,3006
01.01.2022 09:00 - 01.01.2022 10:00,0,0,2949,3006
01.01.2022 10:00 - 01.01.2022 11:00,0,0,1379,2316
01.01.2022 11:00 - 01.01.2022 12:00,0,0,1418,1745
01.01.2022 12:00 - 01.01.2022 13:00,0,177,2245,2261
01.01.2022 13:00 - 01.01.2022 14:00,0,93,3080,3100
01.01.2022 14:00 - 01.01.2022 15:00,0,90,2913,2913
01.01.2022 15:00 - 01.01.2022 16:00,0,0,1085,1387
01.01.2022 16:00 - 01.01.2022 17:00,0,0,707,1283
01.01.2022 17:00 - 01.01.2022 18:00,0,258,2076,2076
01.01.2022 18:00 - 01.01.2022 19:00,0,47,2913,2960
01.01.2022 19:00 - 01.01.2022 20:00,0,39,3237,3276
01.01.2022 20:00 - 01.01.2022 21:00,0,0,3237,3237
01.01.2022 21:00 - 01.01.2022 22:00,0,0,3237,3237
01.01.2022 22:00 - 01.01.2022 23:00,0,9,3237,3246
01.01.2022 23:00 - 02.01.2022 00:00,0,12,3237,3249
02.01.2022 00:00 - 02.01.2022 01:00,0,0,3191,3191
02.01.2022 01:00 - 02.01.2022 02:00,0,0,3191,3191
02.01.2022 02:00 - 02.01.2022 03:00,0,0,3191,3191
02.01.2022 03:00 - 02.01.2022 04:00,0,0,3098,3098
02.01.2022 04:00 - 02.01.2022 05:00,0,0,3098,3098
02.01.2022 05:00 - 02.01.2022 06:00,0,0,3098,3098
02.01.2022 06:00 - 02.01.2022 07:00,0,0,3098,3098
02.01.2022 07:00 - 02.01.2022 08:00,0,0,3098,3098
02.01.2022 08:00 - 02.01.2022 09:00,0,0,3283,3283
02.01.2022 09:00 - 02.01.2022 10:00,0,0,3283,3283
02.01.2022 10:00 - 02.01.2022 11:00,0,0,3283,3283
02.01.2022 11:00 - 02.01.2022 12:00,0,0,3191,3191
02.01.2022 12:00 - 02.01.2022 13:00,0,0,3191,3191
02.01.2022 13:00 - 02.01.2022 14:00,0,0,3191,3191
02.01.2022 14:00 - 02.01.2022 15:00,0,0,3098,3098
02.01.2022 15:00 - 02.01.2022 16:00,0,16,3098,3098
02.01.2022 16:00 - 02.01.2022 17:00,0,0,3098,3098
02.01.2022 17:00 - 02.01.2022 18:00,0,0,3098,3098
02.01.2022 18:00 - 02.01.2022 19:00,0,0,3098,3098
02.01.2022 19:00 - 02.01.2022 20:00,0,0,3422,3422
02.01.2022 20:00 - 02.01.2022 21:00,0,0,3422,3422
02.01.2022 21:00 - 02.01.2022 22:00,0,0,3422,3422
02.01.2022 22:00 - 02.01.2022 23:00,0,0,3422,3422
02.01.2022 23:00 - 03.01.2022 00:00,0,0,3422,3422
03.01.2022 00:00 - 03.01.2022 01:00,0,0,2960,2960
03.01.2022 01:00 - 03.01.2022 02:00,0,0,2960,2960
03.01.2022 02:00 - 03.01.2022 03:00,0,0,2960,2960
03.01.2022 03:00 - 03.01.2022 04:00,0,0,2960,2960
03.01.2022 04:00 - 03.01.2022 05:00,0,0,3145,3145
03.01.2022 05:00 - 03.01.2022 06:00,0,0,3145,3145
03.01.2022 06:00 - 03.01.2022 07:00,0,0,3145,3145
03.01.2022 07:00 - 03.01.2022 08:00,0,0,3607,3607
03.01.2022 08:00 - 03.01.2022 09:00,0,7,3607,3607
03.01.2022 09:00 - 03.01.2022 10:00,0,29,3607,3636
03.01.2022 10:00 - 03.01.2022 11:00,0,0,3607,3607
03.01.2022 11:00 - 03.01.2022 12:00,0,52,3607,3621
03.01.2022 12:00 - 03.01.2022 13:00,0,256,3653,3653
03.01.2022 13:00 - 03.01.2022 14:00,0,131,3653,3658
03.01.2022 14:00 - 03.01.2022 15:00,0,45,3653,3653
03.01.2022 15:00 - 03.01.2022 16:00,0,0,3123,3370
03.01.2022 16:00 - 03.01.2022 17:00,0,1146,3131,3131
03.01.2022 17:00 - 03.01.2022 18:00,0,1099,3283,3283
03.01.2022 18:00 - 03.01.2022 19:00,0,286,1930,1945
03.01.2022 19:00 - 03.01.2022 20:00,0,118,1372,1372
03.01.2022 20:00 - 03.01.2022 21:00,0,18,3422,3439
03.01.2022 21:00 - 03.01.2022 22:00,0,128,3422,3422
03.01.2022 22:00 - 03.01.2022 23:00,0,791,2076,2144
03.01.2022 23:00 - 04.01.2022 00:00,0,925,1471,1471
04.01.2022 00:00 - 04.01.2022 01:00,0,8,688,698
04.01.2022 01:00 - 04.01.2022 02:00,586,586,0,713
04.01.2022 02:00 - 04.01.2022 03:00,1670,1670,0,1975
04.01.2022 03:00 - 04.01.2022 04:00,358,358,0,1372
04.01.2022 04:00 - 04.01.2022 05:00,598,598,0,1683
04.01.2022 05:00 - 04.01.2022 06:00,2559,2559,0,1722
04.01.2022 06:00 - 04.01.2022 07:00,2682,2682,0,359
04.01.2022 07:00 - 04.01.2022 08:00,2682,2814,0,132
04.01.2022 08:00 - 04.01.2022 09:00,1855,2665,0,0
04.01.2022 09:00 - 04.01.2022 10:00,1823,2111,0,47
04.01.2022 10:00 - 04.01.2022 11:00,2004,2172,0,18
04.01.2022 11:00 - 04.01.2022 12:00,1969,2590,0,0
04.01.2022 12:00 - 04.01.2022 13:00,1992,2622,0,32
04.01.2022 13:00 - 04.01.2022 14:00,2395,2590,0,0
04.01.2022 14:00 - 04.01.2022 15:00,2590,2607,0,17
04.01.2022 15:00 - 04.01.2022 16:00,2636,2647,0,11
04.01.2022 16:00 - 04.01.2022 17:00,2636,2638,0,2
04.01.2022 17:00 - 04.01.2022 18:00,2590,2658,0,68
04.01.2022 18:00 - 04.01.2022 19:00,1786,2428,0,0
04.01.2022 19:00 - 04.01.2022 20:00,952,1458,0,54
04.01.2022 20:00 - 04.01.2022 21:00,0,84,1150,1268
04.01.2022 21:00 - 04.01.2022 22:00,0,231,2168,2168
04.01.2022 22:00 - 04.01.2022 23:00,0,515,1240,1240
04.01.2022 23:00 - 05.01.2022 00:00,0,342,220,247
05.01.2022 00:00 - 05.01.2022 01:00,0,303,523,523
05.01.2022 01:00 - 05.01.2022 02:00,0,3,404,569
05.01.2022 02:00 - 05.01.2022 03:00,85,110,0,410
05.01.2022 03:00 - 05.01.2022 04:00,134,134,0,478
05.01.2022 04:00 - 05.01.2022 05:00,0,0,136,551
05.01.2022 05:00 - 05.01.2022 06:00,0,0,535,865
05.01.2022 06:00 - 05.01.2022 07:00,2208,2293,0,17
05.01.2022 07:00 - 05.01.2022 08:00,2913,2914,0,413
05.01.2022 08:00 - 05.01.2022 09:00,2467,2625,0,0
05.01.2022 09:00 - 05.01.2022 10:00,2913,2913,0,0
05.01.2022 10:00 - 05.01.2022 11:00,2913,2913,0,0
05.01.2022 11:00 - 05.01.2022 12:00,2828,2923,0,10
05.01.2022 12:00 - 05.01.2022 13:00,2960,2960,0,0
05.01.2022 13:00 - 05.01.2022 14:00,2861,2960,0,0
05.01.2022 14:00 - 05.01.2022 15:00,2478,2682,0,0
05.01.2022 15:00 - 05.01.2022 16:00,2415,2681,0,57
05.01.2022 16:00 - 05.01.2022 17:00,2279,2686,0,5
05.01.2022 17:00 - 05.01.2022 18:00,2682,2682,0,0
05.01.2022 18:00 - 05.01.2022 19:00,2821,2821,0,0
05.01.2022 19:00 - 05.01.2022 20:00,2821,2821,0,97
05.01.2022 20:00 - 05.01.2022 21:00,1487,1551,0,28
05.01.2022 21:00 - 05.01.2022 22:00,244,599,0,0
05.01.2022 22:00 - 05.01.2022 23:00,0,354,864,864
05.01.2022 23:00 - 06.01.2022 00:00,0,626,1928,1995
06.01.2022 00:00 - 06.01.2022 01:00,0,195,1390,1390
06.01.2022 01:00 - 06.01.2022 02:00,0,18,377,378
06.01.2022 02:00 - 06.01.2022 03:00,66,84,0,9
06.01.2022 03:00 - 06.01.2022 04:00,719,726,0,321
06.01.2022 04:00 - 06.01.2022 05:00,282,282,0,196
06.01.2022 05:00 - 06.01.2022 06:00,1123,1334,0,0
06.01.2022 06:00 - 06.01.2022 07:00,2033,2583,0,0
06.01.2022 07:00 - 06.01.2022 08:00,2867,2867,0,0
06.01.2022 08:00 - 06.01.2022 09:00,2867,2867,0,0
06.01.2022 09:00 - 06.01.2022 10:00,2867,2900,0,43
06.01.2022 10:00 - 06.01.2022 11:00,2867,2874,0,7
06.01.2022 11:00 - 06.01.2022 12:00,2821,2821,0,72
06.01.2022 12:00 - 06.01.2022 13:00,2821,2821,0,70
06.01.2022 13:00 - 06.01.2022 14:00,2821,2821,0,118
06.01.2022 14:00 - 06.01.2022 15:00,2543,2543,0,239
06.01.2022 15:00 - 06.01.2022 16:00,2543,2543,0,0
06.01.2022 16:00 - 06.01.2022 17:00,2543,2543,0,0
06.01.2022 17:00 - 06.01.2022 18:00,2543,2543,0,0
06.01.2022 18:00 - 06.01.2022 19:00,2601,2601,0,756
06.01.2022 19:00 - 06.01.2022 20:00,1492,1492,0,1484
06.01.2022 20:00 - 06.01.2022 21:00,694,694,0,1076
06.01.2022 21:00 - 06.01.2022 22:00,0,0,1537,2265
06.01.2022 22:00 - 06.01.2022 23:00,0,0,1214,2114
06.01.2022 23:00 - 07.01.2022 00:00,37,37,0,1250
07.01.2022 00:00 - 07.01.2022 01:00,0,0,881,1350
07.01.2022 01:00 - 07.01.2022 02:00,0,142,928,965
07.01.2022 02:00 - 07.01.2022 03:00,119,160,0,0
07.01.2022 03:00 - 07.01.2022 04:00,0,0,742,1878
07.01.2022 04:00 - 07.01.2022 05:00,0,58,1078,2050
07.01.2022 05:00 - 07.01.2022 06:00,0,0,245,800
07.01.2022 06:00 - 07.01.2022 07:00,0,249,77,77
07.01.2022 07:00 - 07.01.2022 08:00,938,2035,0,0
07.01.2022 08:00 - 07.01.2022 09:00,2590,2590,0,0
07.01.2022 09:00 - 07.01.2022 10:00,2590,2590,0,84
07.01.2022 10:00 - 07.01.2022 11:00,2590,2590,0,0
07.01.2022 11:00 - 07.01.2022 12:00,2450,2466,0,30
07.01.2022 12:00 - 07.01.2022 13:00,2450,2451,0,1
07.01.2022 13:00 - 07.01.2022 14:00,2450,2450,0,398
07.01.2022 14:00 - 07.01.2022 15:00,1833,2264,0,170
07.01.2022 15:00 - 07.01.2022 16:00,2318,2355,0,39
07.01.2022 16:00 - 07.01.2022 17:00,2229,2259,0,40
07.01.2022 17:00 - 07.01.2022 18:00,1667,2400,0,0
07.01.2022 18:00 - 07.01.2022 19:00,0,1552,357,357
07.01.2022 19:00 - 07.01.2022 20:00,0,1768,1975,1975
07.01.2022 20:00 - 07.01.2022 21:00,0,1385,3191,3191
07.01.2022 21:00 - 07.01.2022 22:00,0,88,3191,3269
07.01.2022 22:00 - 07.01.2022 23:00,0,667,3191,3191
07.01.2022 23:00 - 08.01.2022 00:00,0,796,3191,3191
08.01.2022 00:00 - 08.01.2022 01:00,0,0,2100,2100
08.01.2022 01:00 - 08.01.2022 02:00,0,76,2100,2100
08.01.2022 02:00 - 08.01.2022 03:00,0,20,2100,2100
08.01.2022 03:00 - 08.01.2022 04:00,0,0,2100,2100
08.01.2022 04:00 - 08.01.2022 05:00,0,74,2250,2250
