"Time (CET/CEST)","BZN|GB > BZN|FR Day Ahead [MW]","BZN|GB > BZN|FR Total [MW]","BZN|FR > BZN|GB Day Ahead [MW]","BZN|FR > BZN|GB Total [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","296","2000","2000"
"01.01.2020 01:00 - 01.01.2020 02:00","0","296","2000","2000"
"01.01.2020 02:00 - 01.01.2020 03:00","0","296","2000","2000"
"01.01.2020 03:00 - 01.01.2020 04:00","0","296","2000","2000"
"01.01.2020 04:00 - 01.01.2020 05:00","0","296","2000","2000"
"01.01.2020 05:00 - 01.01.2020 06:00","0","296","2000","2000"
"01.01.2020 06:00 - 01.01.2020 07:00","0","208","1907","1907"
"01.01.2020 07:00 - 01.01.2020 08:00","0","297","2000","2000"
"01.01.2020 08:00 - 01.01.2020 09:00","0","296","2000","2000"
"01.01.2020 09:00 - 01.01.2020 10:00","0","296","2000","2000"
"01.01.2020 10:00 - 01.01.2020 11:00","0","297","2000","2000"
"01.01.2020 11:00 - 01.01.2020 12:00","0","198","2000","2000"
"01.01.2020 12:00 - 01.01.2020 13:00","0","40","2000","2000"
"01.01.2020 13:00 - 01.01.2020 14:00","0","0","2000","2000"
"01.01.2020 14:00 - 01.01.2020 15:00","0","0","2000","2000"
"01.01.2020 15:00 - 01.01.2020 16:00","0","0","2000","2000"
"01.01.2020 16:00 - 01.01.2020 17:00","0","0","2000","2000"
"01.01.2020 17:00 - 01.01.2020 18:00","0","0","2000","2000"
"01.01.2020 18:00 - 01.01.2020 19:00","0","0","2000","2000"
"01.01.2020 19:00 - 01.01.2020 20:00","0","0","2000","2000"
"01.01.2020 20:00 - 01.01.2020 21:00","0","0","2000","2000"
"01.01.2020 21:00 - 01.01.2020 22:00","0","0","2000","2000"
"01.01.2020 22:00 - 01.01.2020 23:00","0","99","2000","2000"
"01.01.2020 23:00 - 02.01.2020 00:00","0","150","1481","1556"
"02.01.2020 00:00 - 02.01.2020 01:00","0","0","654","654"
"02.01.2020 01:00 - 02.01.2020 02:00","0","0","1175","1175"
"02.01.2020 02:00 - 02.01.2020 03:00","0","0","399","399"
"02.01.2020 03:00 - 02.01.2020 04:00","1206","1206","40","40"
"02.01.2020 04:00 - 02.01.2020 05:00","2040","2040","40","444"
"02.01.2020 05:00 - 02.01.2020 06:00","2040","2040","40","444"
"02.01.2020 06:00 - 02.01.2020 07:00","2040","2040","40","697"
"02.01.2020 07:00 - 02.01.2020 08:00","1755","1755","40","40"
"02.01.2020 08:00 - 02.01.2020 09:00","2040","2040","40","1132"
"02.01.2020 09:00 - 02.01.2020 10:00","2040","2040","40","949"
"02.01.2020 10:00 - 02.01.2020 11:00","218","218","40","40"
"02.01.2020 11:00 - 02.01.2020 12:00","0","175","61","61"
"02.01.2020 12:00 - 02.01.2020 13:00","0","225","485","485"
"02.01.2020 13:00 - 02.01.2020 14:00","0","225","753","753"
"02.01.2020 14:00 - 02.01.2020 15:00","0","665","665","665"
"02.01.2020 15:00 - 02.01.2020 16:00","0","330","330","330"
"02.01.2020 16:00 - 02.01.2020 17:00","0","484","771","771"
"02.01.2020 17:00 - 02.01.2020 18:00","0","200","2000","2000"
"02.01.2020 18:00 - 02.01.2020 19:00","0","0","2000","2000"
"02.01.2020 19:00 - 02.01.2020 20:00","0","0","1652","1652"
"02.01.2020 20:00 - 02.01.2020 21:00","0","100","1840","1840"
"02.01.2020 21:00 - 02.01.2020 22:00","0","0","2000","2000"
"02.01.2020 22:00 - 02.01.2020 23:00","0","150","586","586"
"02.01.2020 23:00 - 03.01.2020 00:00","697","717","40","40"
"03.01.2020 00:00 - 03.01.2020 01:00","485","563","0","0"
"03.01.2020 01:00 - 03.01.2020 02:00","699","777","0","0"
"03.01.2020 02:00 - 03.01.2020 03:00","187","312","0","0"
"03.01.2020 03:00 - 03.01.2020 04:00","0","150","825","825"
"03.01.2020 04:00 - 03.01.2020 05:00","0","200","1264","1264"
"03.01.2020 05:00 - 03.01.2020 06:00","0","200","286","286"
"03.01.2020 06:00 - 03.01.2020 07:00","0","245","297","297"
"03.01.2020 07:00 - 03.01.2020 08:00","0","764","2000","2000"
"03.01.2020 08:00 - 03.01.2020 09:00","0","0","2000","2000"
"03.01.2020 09:00 - 03.01.2020 10:00","0","0","2000","2000"
"03.01.2020 10:00 - 03.01.2020 11:00","0","0","2000","2000"
"03.01.2020 11:00 - 03.01.2020 12:00","0","0","2000","2000"
"03.01.2020 12:00 - 03.01.2020 13:00","0","0","2000","2000"
"03.01.2020 13:00 - 03.01.2020 14:00","0","0","2000","2000"
"03.01.2020 14:00 - 03.01.2020 15:00","0","0","2000","2000"
"03.01.2020 15:00 - 03.01.2020 16:00","0","0","2000","2000"
"03.01.2020 16:00 - 03.01.2020 17:00","0","0","2000","2000"
"03.01.2020 17:00 - 03.01.2020 18:00","0","0","2000","2000"
"03.01.2020 18:00 - 03.01.2020 19:00","0","0","2000","2000"
"03.01.2020 19:00 - 03.01.2020 20:00","0","0","2000","2000"
"03.01.2020 20:00 - 03.01.2020 21:00","0","0","2000","2000"
"03.01.2020 21:00 - 03.01.2020 22:00","0","0","2000","2000"
"03.01.2020 22:00 - 03.01.2020 23:00","0","0","641","741"
"03.01.2020 23:00 - 04.01.2020 00:00","0","0","397","447"
"04.01.2020 00:00 - 04.01.2020 01:00","850","850","0","0"
"04.01.2020 01:00 - 04.01.2020 02:00","1037","1037","0","0"
"04.01.2020 02:00 - 04.01.2020 03:00","1148","1148","0","0"
"04.01.2020 03:00 - 04.01.2020 04:00","1854","1854","0","263"
"04.01.2020 04:00 - 04.01.2020 05:00","1890","1890","0","303"
"04.01.2020 05:00 - 04.01.2020 06:00","2000","2000","0","506"
"04.01.2020 06:00 - 04.01.2020 07:00","2000","2000","0","506"
"04.01.2020 07:00 - 04.01.2020 08:00","1576","1576","0","81"
"04.01.2020 08:00 - 04.01.2020 09:00","67","117","0","0"
"04.01.2020 09:00 - 04.01.2020 10:00","0","109","1908","1908"
"04.01.2020 10:00 - 04.01.2020 11:00","0","0","2000","2000"
"04.01.2020 11:00 - 04.01.2020 12:00","0","150","2000","2000"
"04.01.2020 12:00 - 04.01.2020 13:00","0","0","2000","2000"
"04.01.2020 13:00 - 04.01.2020 14:00","0","0","2000","2000"
"04.01.2020 14:00 - 04.01.2020 15:00","0","0","2000","2000"
"04.01.2020 15:00 - 04.01.2020 16:00","0","0","2000","2000"
"04.01.2020 16:00 - 04.01.2020 17:00","0","0","2000","2000"
"04.01.2020 17:00 - 04.01.2020 18:00","0","0","2000","2000"
"04.01.2020 18:00 - 04.01.2020 19:00","0","0","2000","2000"
"04.01.2020 19:00 - 04.01.2020 20:00","0","0","2000","2000"
"04.01.2020 20:00 - 04.01.2020 21:00","0","0","2000","2000"
"04.01.2020 21:00 - 04.01.2020 22:00","0","0","2000","2000"
"04.01.2020 22:00 - 04.01.2020 23:00","0","0","2000","2000"
