Time (CET/CEST),BZN|GB > BZN|FR Day Ahead [MW],BZN|GB > BZN|FR Total [MW],BZN|FR > BZN|GB Day Ahead [MW],BZN|FR > BZN|GB Total [MW]
01.01.2022 00:00 - 01.01.2022 01:00,0,1173,985,985
01.01.2022 01:00 - 01.01.2022 02:00,0,1177,1000,1000
01.01.2022 02:00 - 01.01.2022 03:00,25,1135,975,975
01.01.2022 03:00 - 01.01.2022 04:00,716,1700,934,934
01.01.2022 04:00 - 01.01.2022 05:00,1298,1570,570,570
01.01.2022 05:00 - 01.01.2022 06:00,1535,1535,535,535
01.01.2022 06:00 - 01.01.2022 07:00,1535,1535,535,535
01.01.2022 07:00 - 01.01.2022 08:00,1535,1535,535,535
01.01.2022 08:00 - 01.01.2022 09:00,1535,1535,535,535
01.01.2022 09:00 - 01.01.2022 10:00,1570,1570,570,570
01.01.2022 10:00 - 01.01.2022 11:00,1545,1570,570,570
01.01.2022 11:00 - 01.01.2022 12:00,1114,1600,600,600
01.01.2022 12:00 - 01.01.2022 13:00,703,1654,934,934
01.01.2022 13:00 - 01.01.2022 14:00,8,1534,1000,1000
01.01.2022 14:00 - 01.01.2022 15:00,0,1010,1000,1000
01.01.2022 15:00 - 01.01.2022 16:00,0,1198,1000,1000
01.01.2022 16:00 - 01.01.2022 17:00,145,1239,1000,1025
01.01.2022 17:00 - 01.01.2022 18:00,0,743,1000,1000
01.01.2022 18:00 - 01.01.2022 19:00,0,474,1000,1000
01.01.2022 19:00 - 01.01.2022 20:00,18,1095,1000,1000
01.01.2022 20:00 - 01.01.2022 21:00,70,520,982,982
01.01.2022 21:00 - 01.01.2022 22:00,50,840,981,981
01.01.2022 22:00 - 01.01.2022 23:00,32,567,1000,1000
01.01.2022 23:00 - 02.01.2022 00:00,946,1391,950,950
02.01.2022 00:00 - 02.01.2022 01:00,715,1852,882,882
02.01.2022 01:00 - 02.01.2022 02:00,99,892,705,705
02.01.2022 02:00 - 02.01.2022 03:00,938,1925,925,1105
02.01.2022 03:00 - 02.01.2022 04:00,1097,1580,580,1046
02.01.2022 04:00 - 02.01.2022 05:00,1545,1545,545,868
02.01.2022 05:00 - 02.01.2022 06:00,1545,1545,545,679
02.01.2022 06:00 - 02.01.2022 07:00,1545,1545,545,575
02.01.2022 07:00 - 02.01.2022 08:00,1545,1545,545,920
02.01.2022 08:00 - 02.01.2022 09:00,1545,1545,545,1276
02.01.2022 09:00 - 02.01.2022 10:00,885,1404,595,618
02.01.2022 10:00 - 02.01.2022 11:00,252,1268,977,987
02.01.2022 11:00 - 02.01.2022 12:00,15,757,1015,1015
02.01.2022 12:00 - 02.01.2022 13:00,141,953,955,955
02.01.2022 13:00 - 02.01.2022 14:00,0,217,1000,1000
02.01.2022 14:00 - 02.01.2022 15:00,0,16,1000,1000
02.01.2022 15:00 - 02.01.2022 16:00,0,412,1000,1000
02.01.2022 16:00 - 02.01.2022 17:00,415,1072,931,1181
02.01.2022 17:00 - 02.01.2022 18:00,0,813,1000,1000
02.01.2022 18:00 - 02.01.2022 19:00,0,173,1000,1000
02.01.2022 19:00 - 02.01.2022 20:00,0,72,1000,1000
02.01.2022 20:00 - 02.01.2022 21:00,0,463,1000,1000
02.01.2022 21:00 - 02.01.2022 22:00,0,840,952,952
02.01.2022 22:00 - 02.01.2022 23:00,0,1266,1000,1000
02.01.2022 23:00 - 03.01.2022 00:00,1245,1609,610,610
03.01.2022 00:00 - 03.01.2022 01:00,1365,1469,469,469
03.01.2022 01:00 - 03.01.2022 02:00,1215,1367,447,447
03.01.2022 02:00 - 03.01.2022 03:00,1299,1374,415,450
03.01.2022 03:00 - 03.01.2022 04:00,1300,1375,400,400
03.01.2022 04:00 - 03.01.2022 05:00,1400,1400,400,400
03.01.2022 05:00 - 03.01.2022 06:00,1362,1397,400,400
03.01.2022 06:00 - 03.01.2022 07:00,1400,1400,400,400
03.01.2022 07:00 - 03.01.2022 08:00,1400,1400,400,400
03.01.2022 08:00 - 03.01.2022 09:00,1400,1400,400,400
03.01.2022 09:00 - 03.01.2022 10:00,1400,1400,400,400
03.01.2022 10:00 - 03.01.2022 11:00,1610,1650,660,660
03.01.2022 11:00 - 03.01.2022 12:00,1610,1665,690,690
03.01.2022 12:00 - 03.01.2022 13:00,1449,1549,715,1085
03.01.2022 13:00 - 03.01.2022 14:00,738,988,715,1145
03.01.2022 14:00 - 03.01.2022 15:00,480,705,789,1189
03.01.2022 15:00 - 03.01.2022 16:00,133,233,1096,1133
03.01.2022 16:00 - 03.01.2022 17:00,471,521,1071,1371
03.01.2022 17:00 - 03.01.2022 18:00,426,456,1911,2340
03.01.2022 18:00 - 03.01.2022 19:00,166,166,1974,2155
03.01.2022 19:00 - 03.01.2022 20:00,439,489,1860,2110
03.01.2022 20:00 - 03.01.2022 21:00,145,325,2037,2159
03.01.2022 21:00 - 03.01.2022 22:00,123,123,2029,2132
03.01.2022 22:00 - 03.01.2022 23:00,73,73,2006,2087
03.01.2022 23:00 - 04.01.2022 00:00,212,212,2008,2117
04.01.2022 00:00 - 04.01.2022 01:00,0,483,2014,2014
04.01.2022 01:00 - 04.01.2022 02:00,0,910,2014,2014
04.01.2022 02:00 - 04.01.2022 03:00,0,873,2013,2013
