,0
0,6489.75
1,6574.5
2,6396.25
3,6135.0
4,6754.5
5,6719.5
6,6812.25
7,6909.25
8,6464.25
9,6797.75
10,7105.75
11,6947.75
12,6556.0
13,6484.75
14,6574.0
15,6613.0
16,6832.25
17,6569.75
18,6248.75
19,5785.5
20,6310.0
21,6723.5
22,6767.25
23,6378.25
24,5611.5
25,5459.5
26,5662.25
27,5869.0
28,6028.75
29,6111.25
30,6005.75
31,5754.25
32,5045.25
33,5568.25
34,5641.5
35,5799.5
36,5260.5
37,5480.75
38,5433.25
39,4990.5
40,5081.5
41,4856.0
42,4306.5
43,4434.75
44,4668.0
45,5255.0
46,5124.0
47,4691.75
48,5461.75
49,5004.25
50,4851.25
51,4771.75
52,5134.0
53,5850.5
54,6039.25
55,5689.75
56,5084.25
57,5410.0
58,5360.5
59,4753.75
60,4953.5
61,5121.0
62,5335.0
63,5234.5
64,6158.25
65,4838.75
66,5206.25
67,5157.25
68,5430.25
69,6261.25
70,6042.0
71,5896.25
72,6106.5
73,5926.25
74,6061.75
75,6138.5
76,6729.75
77,6954.25
78,7024.75
79,6499.75
80,6287.0
81,6353.75
82,6531.0
83,6540.75
84,6456.0
85,6696.75
86,7476.5
87,7325.0
88,7525.75
89,6732.25
90,6327.25
91,6465.25
92,6727.0
93,6496.25
94,6729.25
95,6718.5
96,7199.5
97,6977.75
98,7043.0
99,7331.75
100,7381.0
101,6929.75
102,6859.25
103,6712.75
104,5522.0
105,5584.75
106,5570.5
107,5990.25
108,6553.0
109,6036.75
110,6542.75
111,6881.25
112,7113.0
113,5461.0
114,5543.75
115,5766.5
116,6285.5
117,6218.5
118,6181.5
119,5539.75
120,5655.5
121,6089.5
122,6198.75
123,6376.5
124,5962.5
125,6018.25
126,5957.0
127,5737.75
128,5552.5
129,5497.25
130,5354.75
131,5228.5
132,4984.5
133,4942.5
134,5423.5
135,5628.25
136,5792.75
137,5388.25
138,4768.0
139,4626.25
140,5686.0
141,6592.75
142,6107.0
143,5796.75
144,5244.75
145,5846.75
146,5668.25
147,5531.75
148,5675.5
149,6588.0
150,7208.5
151,5371.25
152,3786.0
153,3643.75
154,3935.25
155,4404.25
156,4622.25
157,4981.0
158,6124.75
159,6282.5
160,6165.5
161,5776.5
162,5526.25
163,5947.75
164,5780.25
165,7115.25
166,7088.0
167,7558.25
168,7606.25
169,7521.5
170,7554.5
171,7631.25
172,7727.0
173,8543.25
174,8226.0
175,6073.0
176,5708.5
177,5711.75
178,5849.5
179,5789.75
180,5796.0
181,5803.0
182,5762.0
183,5852.25
184,6094.75
185,5707.75
186,5687.75
187,6003.25
188,6311.25
189,6373.25
190,6666.5
191,6799.75
192,6616.0
193,6564.75
194,6593.0
195,6848.75
196,6898.0
197,7058.5
198,7191.75
199,6507.25
200,6341.0
201,5473.75
202,5806.0
203,5841.5
204,5924.0
205,6190.5
206,6392.25
207,6034.0
208,6517.0
209,6000.25
210,5631.0
211,6012.75
212,6495.75
213,6947.25
214,6761.0
215,6501.5
216,5899.5
217,6047.5
218,6091.5
219,6648.25
220,6821.25
221,7173.25
222,7795.25
223,5592.5
224,5133.0
225,5272.5
226,5669.25
227,5539.75
228,5011.5
229,5305.25
230,5466.5
231,5619.0
232,5811.25
233,5278.0
234,4290.5
235,4787.25
236,4912.25
237,5162.0
238,5821.0
239,6638.5
240,6638.75
241,7171.25
242,6812.0
243,6632.0
244,7180.75
245,7620.25
246,7672.75
247,6642.5
248,6652.25
249,7277.5
250,7934.0
251,8221.5
252,8547.0
253,8610.5
254,8535.25
255,8562.75
256,8866.75
257,8789.5
258,8795.75
259,8764.25
260,8815.25
261,8849.75
262,8527.5
263,8522.25
264,7632.25
265,7811.5
266,8410.25
267,7885.25
268,8435.0
269,8877.75
270,8608.5
271,8411.25
272,8358.25
273,7776.0
274,7672.5
275,7723.0
276,8322.5
277,8879.5
278,8781.25
279,8370.0
280,8502.75
281,8236.0
282,7836.5
283,8498.0
284,9302.25
285,8294.0
286,9068.75
287,9191.0
288,8586.0
289,8182.5
290,7960.5
291,7837.75
292,7971.75
293,8274.0
294,8086.25
295,8051.25
296,8278.5
297,8433.75
298,8679.75
299,8745.5
300,8684.75
301,9018.75
302,8748.75
303,8695.5
304,8596.75
305,8894.25
306,8336.75
307,8617.25
308,8515.75
309,8437.5
310,8350.0
311,8578.25
312,8670.25
313,8643.75
314,8261.25
315,8223.0
316,7898.0
317,8244.75
318,8067.5
319,6947.5
320,6359.25
321,6234.75
322,6117.25
323,6280.75
324,6269.25
325,6334.5
326,6359.0
327,6133.75
328,6078.75
329,5880.75
330,5712.25
331,5828.0
332,6913.5
333,7117.75
334,7029.75
335,6823.5
336,6834.75
337,7143.75
338,7159.5
339,7366.25
340,7594.5
341,8142.5
342,7189.75
343,5176.5
344,4178.25
345,4328.0
346,4638.5
347,4921.0
348,5323.75
349,5831.75
350,6046.25
351,6186.25
352,5681.75
353,5076.5
354,4775.75
355,4509.0
356,5626.25
357,6426.75
358,5768.5
359,6377.25
360,5553.25
361,5902.75
362,6232.25
363,6206.0
364,6727.75
365,7051.5
366,6316.0
367,5129.0
368,5014.75
369,5635.5
370,5760.0
371,5743.0
372,6462.25
373,7068.0
374,7647.25
375,7850.5
376,7318.75
377,6829.75
378,6802.25
379,6929.0
380,7551.25
381,7489.5
382,7176.5
383,7334.5
384,7168.0
385,7471.5
386,7532.75
387,7938.5
388,8032.0
389,8199.5
390,7851.0
391,7014.75
392,7450.5
393,7181.75
394,7510.0
395,7692.25
396,8023.0
397,8179.5
398,8297.0
399,8158.75
400,7700.75
401,6319.0
402,5566.75
403,6514.5
404,6972.75
405,7236.25
406,7311.25
407,6741.25
408,6943.5
409,7476.25
410,7832.75
411,8185.0
412,8240.25
413,7066.25
414,5957.0
415,5517.0
416,4763.0
417,4522.25
418,5425.75
419,5342.0
420,5224.75
421,6062.0
422,6322.75
423,6128.75
424,5990.5
425,5175.75
426,5170.5
427,5680.75
428,6764.25
429,7692.25
430,7776.75
431,7731.0
432,6563.25
433,7530.5
434,8078.75
435,8081.0
436,8379.0
437,7988.75
438,7116.25
439,6834.25
440,6039.0
441,5344.75
442,6554.0
443,7150.25
444,7520.5
445,7432.25
446,6990.75
447,7854.75
448,7801.0
449,6431.0
450,5161.0
451,5363.75
452,5945.0
453,6180.75
454,6969.0
455,6776.0
456,6911.0
457,7591.25
458,7836.0
459,8292.0
460,8300.5
461,8264.25
462,7445.5
463,7231.0
464,7324.25
465,7037.0
466,7315.75
467,7178.5
468,6862.5
469,6998.5
470,8632.0
471,8500.75
472,8067.25
473,6970.75
474,5572.5
475,5311.0
476,5611.5
477,6318.75
478,6586.25
479,6857.0
480,7982.75
481,8555.25
482,8660.5
483,8436.75
484,8522.5
485,8463.75
486,7508.5
487,6022.25
488,5375.0
489,5406.5
490,6073.0
491,6536.25
492,7045.75
493,7216.25
494,7738.75
495,7443.75
496,7144.75
497,6354.5
498,5912.0
499,5879.5
500,6484.5
501,7219.0
502,7731.25
503,7570.0
504,7902.0
505,8232.5
506,8466.75
507,8595.25
508,8612.0
509,8802.25
510,7900.75
511,6637.25
512,6337.75
513,6543.5
514,6967.5
515,7201.0
516,7804.25
517,8142.0
518,8426.25
519,7942.5
520,7568.75
521,6067.25
522,6027.75
523,6330.5
524,6594.75
525,6467.75
526,6390.25
527,6350.5
528,7152.5
529,7441.75
530,7513.0
531,7266.0
532,7469.0
533,7894.25
534,7189.0
535,5324.75
536,4607.5
537,4765.75
538,5114.0
539,5503.75
540,5533.5
541,5831.5
542,6018.0
543,5914.0
544,5216.75
545,4678.0
546,3879.75
547,4392.5
548,5237.75
549,6024.0
550,6923.0
551,6769.5
552,6966.25
553,6780.25
554,6822.5
555,6783.75
556,6854.25
557,6961.25
558,5425.75
559,5305.0
560,4620.5
561,4548.25
562,4315.5
563,4252.25
564,4241.0
565,4747.25
566,4931.25
567,4849.0
568,3909.0
569,2921.75
570,2526.0
571,3266.25
572,3396.5
573,4128.0
574,4009.0
575,4855.75
576,4656.75
577,5298.5
578,5105.0
579,5452.75
580,5973.5
581,5806.25
582,4299.0
583,3012.75
584,3034.25
585,3122.5
586,3934.5
587,4403.25
588,4645.5
589,6604.75
590,6975.5
591,7130.75
592,7369.75
593,5376.0
594,5085.5
595,6614.0
596,6379.5
597,6829.0
598,6959.5
599,6503.5
600,6150.25
601,6020.0
602,5963.0
603,6119.0
604,6271.5
605,6542.75
606,6573.5
607,6141.75
608,7201.5
609,7058.25
610,7204.75
611,6861.5
612,6762.25
613,7328.0
614,7189.75
615,6948.25
616,7233.0
617,6893.0
618,6643.75
619,7228.5
620,7758.75
621,7386.0
622,7173.5
623,7033.25
624,7056.75
625,6950.0
626,6844.5
627,7372.5
628,7275.5
629,7453.75
630,7518.5
631,7853.5
632,6821.0
633,6604.0
634,7027.5
635,7561.5
636,7440.0
637,7244.5
638,8234.25
639,7974.5
640,8272.75
641,7522.75
642,6994.25
643,7809.0
644,8379.0
645,8252.0
646,8223.25
647,8021.25
648,7671.25
649,7682.75
650,7674.25
651,7978.25
652,8322.75
653,8693.75
654,8833.0
655,8584.0
656,7687.5
657,8034.75
658,8257.75
659,8929.0
660,9089.25
661,8860.5
662,8747.0
663,8766.25
664,9326.25
665,8541.75
666,8297.0
667,8269.25
668,8293.5
669,8216.75
670,7805.0
671,6915.0
672,6854.75
673,6814.75
674,7125.0
675,6952.75
676,6926.25
677,7853.0
678,8392.25
679,7413.5
680,6953.25
681,7272.75
682,7528.5
683,7617.75
684,8301.25
685,8405.75
686,8553.0
687,8510.25
688,7847.75
689,7248.0
690,6780.25
691,6616.25
692,7753.25
693,7756.75
694,7514.25
695,6690.75
696,6747.5
697,7149.25
698,7252.75
699,7102.75
700,6999.0
701,7372.75
702,7291.5
703,6813.75
704,6156.5
705,6305.25
706,6308.5
707,6206.75
708,6354.75
709,6801.75
710,6984.0
711,6910.0
712,6427.25
713,5866.75
714,5687.25
715,5800.5
716,6487.0
717,7284.25
718,7124.75
719,6213.5
720,6164.75
721,6540.0
722,6518.75
723,6824.0
724,6932.5
725,7308.25
726,6534.75
727,4929.25
728,4928.0
729,5399.5
730,5540.75
731,5513.75
732,6220.0
733,6472.5
734,6240.5
735,6142.75
736,5657.0
737,5871.0
738,5894.5
739,6292.0
740,7473.5
741,7704.75
742,7847.5
743,7521.25
744,6441.25
745,6165.5
746,6100.25
747,5808.5
748,5943.5
749,7407.5
750,7729.25
751,7419.25
752,6465.5
753,6408.0
754,6614.25
755,6316.75
756,6331.25
757,6203.75
758,6611.5
759,7072.5
760,6957.0
761,5437.0
762,5290.25
763,5499.0
764,7055.75
765,6785.25
766,6349.0
767,6086.75
768,5211.75
769,4930.5
770,5517.75
771,5784.75
772,5926.5
773,6901.25
774,7041.25
775,5956.0
776,5989.75
777,5991.25
778,6013.25
779,6073.0
780,6974.25
781,6777.75
782,7141.0
783,7563.25
784,7657.25
785,7739.25
786,8084.0
787,8080.0
788,7210.5
789,6773.75
790,6518.75
791,6584.25
792,7174.0
793,7322.25
794,7315.0
795,7346.25
796,7197.75
797,7251.75
798,7517.5
799,7569.0
800,8196.5
801,8203.5
802,7958.75
803,7864.5
804,8095.25
805,7586.0
806,7964.0
807,8087.75
808,8293.5
809,7962.0
810,7269.25
811,6880.75
812,7030.0
813,6380.25
814,5378.0
815,5526.5
816,6026.5
817,5985.75
818,5482.5
819,5186.75
820,5140.75
821,5354.0
822,6536.0
823,5380.25
824,5478.75
825,5816.75
826,6445.5
827,6542.5
828,6936.5
829,7384.75
830,7181.75
831,6990.5
832,6546.25
833,6594.5
834,6384.0
835,6530.25
836,6937.25
837,8068.75
838,7991.25
839,7582.75
840,6364.25
841,6291.75
842,6174.75
843,6264.25
844,6503.5
845,6653.75
846,7410.75
847,5169.75
