,0
0,1081.25
1,840.0
2,1043.5
3,764.5
4,827.5
5,870.75
6,745.0
7,799.5
8,618.0
9,444.5
10,541.25
11,666.5
12,675.0
13,694.25
14,646.5
15,777.5
16,1147.5
17,1261.25
18,987.0
19,998.25
20,913.0
21,971.0
22,855.75
23,599.0
24,1042.75
25,766.25
26,715.5
27,693.25
28,685.5
29,708.5
30,524.25
31,712.0
32,957.25
33,1142.25
34,886.0
35,923.25
36,809.0
37,718.0
38,1034.0
39,956.5
40,1437.75
41,1914.5
42,1870.5
43,2046.75
44,717.0
45,820.0
46,852.0
47,1021.5
48,970.75
49,1061.25
50,841.75
51,800.0
52,799.75
53,763.75
54,836.0
55,1184.5
56,1088.75
57,1111.75
58,974.5
59,804.75
60,1244.75
61,1568.25
62,1030.5
63,1167.75
64,1362.5
65,1264.25
66,1376.5
67,1408.0
68,1260.5
69,1214.75
70,1357.5
71,1703.25
72,884.0
73,630.0
74,524.0
75,362.5
76,807.5
77,599.5
78,1145.25
79,1140.75
80,1664.25
81,2081.0
82,1678.25
83,1941.5
84,1654.25
85,2095.25
86,1973.25
87,1475.25
88,1328.0
89,1633.75
90,1247.5
91,1194.0
92,930.5
93,1153.75
94,1199.25
95,1283.0
96,789.0
97,638.25
98,863.5
99,1085.25
100,899.75
101,641.75
102,821.0
103,1712.0
104,1335.25
105,1533.75
106,1369.0
107,1820.0
108,2063.0
109,1876.25
110,1712.25
111,1988.25
112,1722.75
113,1609.25
114,1697.0
115,1928.0
116,1316.75
117,1261.0
118,1374.25
119,1416.0
120,692.5
121,820.75
122,917.5
123,919.0
124,1115.25
125,895.75
126,1020.5
127,1176.0
128,1465.25
129,1874.25
130,1858.5
131,2184.75
132,2894.5
133,2864.0
134,1957.5
135,2014.5
136,1844.0
137,1939.75
138,1969.5
139,1312.0
140,1450.75
141,1198.75
142,1049.5
143,1377.5
144,1060.25
145,862.0
146,689.0
147,533.25
148,516.5
149,622.5
150,672.0
151,1083.5
152,2171.0
153,2101.25
154,2587.5
155,2714.0
156,3047.25
157,3067.0
158,1981.75
159,2155.25
160,2163.0
161,2695.5
162,2319.75
163,2023.25
164,1091.0
165,680.25
166,677.25
167,786.25
168,691.75
169,639.0
170,579.25
171,514.5
172,576.75
173,502.0
174,579.0
175,930.25
176,1798.75
177,2006.25
178,2340.5
179,2340.0
180,2800.25
181,2425.5
182,1743.75
183,1680.5
184,1449.75
185,1873.5
186,2409.0
187,2151.0
188,2263.5
189,885.5
190,1088.75
191,988.5
192,440.25
193,391.5
194,355.25
195,368.5
196,330.5
197,398.75
198,488.5
199,774.75
200,987.75
201,1102.0
202,998.5
203,1078.25
204,1114.25
205,791.25
206,399.25
207,406.25
208,401.25
209,1368.75
210,1619.5
211,994.75
212,838.25
213,676.25
214,1322.0
215,1206.0
216,553.75
217,505.5
218,497.0
219,364.75
220,448.25
221,399.25
222,809.75
223,1124.25
224,1320.0
225,1841.0
226,1590.75
227,1337.25
228,1145.75
229,1123.0
230,1374.25
231,1392.25
232,2466.5
233,2073.25
234,2500.0
235,2432.75
236,1971.75
237,1377.25
238,757.75
239,1102.25
240,476.5
241,434.75
242,471.75
243,341.5
244,527.25
245,345.25
246,562.75
247,995.0
248,1408.25
249,1757.75
250,1603.5
251,1637.0
252,1103.25
253,985.0
254,862.75
255,816.0
256,737.75
257,1128.0
258,1289.0
259,1127.25
260,690.25
261,496.0
262,627.75
263,501.0
264,352.5
265,376.0
266,549.25
267,373.25
268,781.25
269,704.5
270,559.5
271,1203.0
272,1309.75
273,1185.25
274,1428.5
275,1180.5
276,1306.25
277,1315.25
278,437.5
279,324.5
280,429.25
281,727.0
282,1038.25
283,1051.0
284,482.5
285,688.25
286,723.25
287,1045.0
288,809.5
289,693.0
290,465.0
291,441.75
292,367.0
293,451.5
294,537.0
295,893.75
296,656.75
297,488.0
298,532.75
299,563.0
300,653.0
301,418.75
302,224.75
303,141.0
304,117.75
305,340.0
306,535.5
307,746.75
308,353.75
309,367.0
310,772.0
311,784.75
312,153.25
313,139.25
314,205.5
315,283.5
316,129.25
317,107.5
318,294.75
319,1072.75
320,733.0
321,969.0
322,1064.5
323,1350.0
324,1534.75
325,1445.75
326,1667.5
327,1783.75
328,2085.25
329,2698.0
330,2172.0
331,1621.0
332,895.25
333,1309.5
334,1080.5
335,954.0
336,675.5
337,374.75
338,354.75
339,416.5
340,739.25
341,1123.5
342,937.5
343,1363.5
344,1495.0
345,1260.25
346,1228.5
347,1187.25
348,1710.5
349,2115.75
350,1569.0
351,1438.0
352,1825.5
353,2177.0
354,2052.25
355,1705.75
356,970.25
357,815.5
358,670.25
359,943.25
360,470.5
361,425.25
362,469.5
363,409.75
364,431.75
365,555.0
366,331.0
367,818.25
368,838.5
369,1002.0
370,962.5
371,1227.75
372,1199.75
373,824.75
374,817.0
375,583.0
376,473.5
377,699.5
378,811.0
379,1131.0
380,804.0
381,662.25
382,863.0
383,738.75
384,569.25
385,341.75
386,352.75
387,518.25
388,629.5
389,311.0
390,880.75
391,892.0
392,771.25
393,821.5
394,609.5
395,791.0
396,1216.0
397,832.5
398,744.5
399,951.0
400,1230.75
401,1397.25
402,2014.25
403,1115.25
404,937.75
405,645.75
406,788.5
407,619.75
408,502.5
409,520.5
410,586.0
411,490.25
412,498.75
413,543.0
414,497.5
415,1231.0
416,1423.5
417,1297.0
418,1671.75
419,1688.75
420,1126.0
421,993.0
422,874.0
423,883.5
424,1051.25
425,1461.75
426,1717.75
427,1548.25
428,993.5
429,1189.75
430,942.0
431,782.75
432,737.75
433,750.5
434,764.5
435,870.0
436,1021.25
437,957.0
438,732.0
439,1209.0
440,1520.5
441,1396.0
442,1361.25
443,1122.25
444,892.0
445,860.25
446,799.0
447,1347.0
448,1316.75
449,1647.5
450,1942.75
451,1537.25
452,1203.5
453,930.75
454,1307.25
455,842.5
456,719.75
457,762.75
458,763.25
459,614.25
460,573.25
461,654.25
462,764.75
463,1161.75
464,1084.75
465,1074.5
466,950.5
467,990.0
468,930.75
469,890.75
470,1106.0
471,1080.75
472,1226.5
473,2065.75
474,2134.5
475,1727.5
476,1244.25
477,938.75
478,1012.0
479,842.25
480,900.25
481,834.25
482,906.5
483,816.5
484,756.0
485,824.25
486,800.75
487,1423.5
488,1791.75
489,1920.75
490,2430.75
491,1715.25
492,1671.75
493,1549.25
494,1223.5
495,1182.75
496,1594.75
497,1928.25
498,2249.75
499,2389.75
500,2093.5
501,1746.0
502,2181.0
503,1617.75
504,1401.0
505,1077.5
506,915.75
507,738.0
508,653.0
509,643.25
510,695.75
511,1016.25
512,1319.75
513,1110.0
514,1287.0
515,1160.0
516,1055.25
517,1247.0
518,960.25
519,1385.0
520,1641.75
521,1545.25
522,1974.75
523,1691.25
524,1077.75
525,892.75
526,1149.0
527,923.25
528,887.5
529,963.5
530,664.5
531,434.75
532,422.0
533,597.5
534,1268.25
535,1116.75
536,1176.0
537,1358.5
538,1397.25
539,1368.0
540,1326.0
541,1337.75
542,1394.25
543,1766.75
544,2012.0
545,2358.5
546,1885.5
547,2511.0
548,2621.75
549,2450.5
550,3066.0
551,2462.25
552,706.5
553,708.5
554,721.0
555,627.0
556,581.75
557,693.0
558,1344.5
559,1602.25
560,1383.0
561,1252.0
562,1364.25
563,1461.75
564,2068.25
565,2619.75
566,2316.25
567,2358.0
568,1881.75
569,3202.25
570,3701.5
571,3615.25
572,2817.75
573,1777.5
574,1604.25
575,1581.25
576,912.25
577,1085.5
578,742.25
579,704.25
580,740.25
581,631.5
582,1681.5
583,2558.0
584,2958.0
585,2212.0
586,2145.75
587,2101.0
588,1870.5
589,1483.5
590,1634.0
591,1743.0
592,1484.25
593,1872.75
594,1575.0
595,1345.75
596,650.75
597,816.0
598,1060.25
599,1047.0
600,618.75
601,571.5
602,606.0
603,523.5
604,632.75
605,578.25
606,593.75
607,786.5
608,1326.0
609,1271.75
610,1488.0
611,983.25
612,760.0
613,543.0
614,603.25
615,542.25
616,511.25
617,539.0
618,729.75
619,946.25
620,790.25
621,687.25
622,598.75
623,837.25
624,491.5
625,325.5
626,354.25
627,211.0
628,205.75
629,452.5
630,269.25
631,414.25
632,203.5
633,297.75
634,164.5
635,147.0
636,285.5
637,387.5
638,738.0
639,651.0
640,675.5
641,673.25
642,487.0
643,436.25
644,1241.0
645,675.0
646,785.0
647,596.75
648,282.75
649,313.0
650,343.25
651,263.0
652,330.0
653,288.0
654,210.75
655,814.25
656,779.5
657,945.75
658,1106.75
659,977.25
660,997.0
661,521.25
662,196.75
663,190.25
664,224.5
665,811.0
666,1230.75
667,891.5
668,726.0
669,488.5
670,974.25
671,591.5
672,436.25
673,317.25
674,287.5
675,290.25
676,440.75
677,290.25
678,601.25
679,601.0
680,769.75
681,722.25
682,827.0
683,674.0
684,710.0
685,688.25
686,591.0
687,574.0
688,590.25
689,674.75
690,1006.5
691,1093.25
692,802.75
693,607.5
694,507.25
695,587.5
696,428.0
697,286.5
698,449.5
699,491.75
700,548.25
701,771.25
702,511.5
703,845.75
704,1348.25
705,1592.0
706,1429.25
707,1692.25
708,1843.5
709,1543.75
710,1191.25
711,896.5
712,1199.25
713,2485.25
714,2654.0
715,2350.0
716,1426.25
717,1014.0
718,1054.5
719,875.25
720,508.25
721,730.5
722,893.25
723,1100.25
724,1057.0
725,905.5
726,1687.5
727,1125.0
728,1187.75
729,1287.75
730,1345.0
731,1364.25
732,1503.5
733,1416.5
734,1711.5
735,2063.75
736,2336.25
737,3672.75
738,3533.0
739,2069.25
740,903.0
741,754.5
742,805.5
743,841.5
744,500.75
745,478.25
746,565.5
747,503.0
748,465.5
749,423.5
750,623.5
751,1193.5
752,1067.5
753,1104.75
754,1101.25
755,1081.25
756,1485.75
757,1145.75
758,2169.75
759,1897.0
760,1839.25
761,2372.25
762,2824.5
763,2359.75
764,1796.75
765,1097.0
766,1298.5
767,1315.75
768,494.0
769,599.5
770,626.75
771,328.0
772,307.75
773,369.5
774,476.0
775,918.75
776,1369.25
777,1102.5
778,723.75
779,467.75
780,603.25
781,435.25
782,370.25
783,303.75
784,389.25
785,877.75
786,1287.0
787,983.25
788,441.25
789,326.0
790,468.5
791,664.0
792,576.5
793,443.0
